"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","190","Update profile - successful","QA|Nova Bank - Infopool","Fri Jul 11 18:58:41 GMT 2025","passed","Fri Jul 11 18:58:42 GMT 2025","v1 > Profile > Update profile","Bank User","",""
"","36","Update profile - no auth","QA|Nova Bank - Infopool","Fri Jul 11 18:58:42 GMT 2025","passed","Fri Jul 11 18:58:42 GMT 2025","v1 > Profile > Update profile","Bank User","",""
"","32","No auth - managers","QA|Nova Bank - Infopool","Fri Jul 11 18:59:06 GMT 2025","passed","Fri Jul 11 18:59:06 GMT 2025","v1 > Organizations > Managers > Fetch managers of an organization","Bank Admin","",""
"","47","Invalid ID -Get Issue by ID","QA|Nova Bank - Infopool","Fri Jul 11 18:58:44 GMT 2025","passed","Fri Jul 11 18:58:44 GMT 2025","v1 > Customer 360 > Issues > get issue by Id","Bank User","",""
"","123","Invalid current password - Change password","QA|Nova Bank - Infopool","Fri Jul 11 18:58:41 GMT 2025","passed","Fri Jul 11 18:58:41 GMT 2025","v1 > Profile > Password","Bank User","",""
"","84","No auth - Create a New Issue","QA|Nova Bank - Infopool","Fri Jul 11 18:58:43 GMT 2025","passed","Fri Jul 11 18:58:44 GMT 2025","v1 > Customer 360 > Issues > create a new issue","Bank User","",""
"","47","Create organization - no country ID","QA|Nova Bank - Infopool","Fri Jul 11 18:58:58 GMT 2025","failed","Fri Jul 11 18:58:58 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","101","Update definition","QA|Nova Bank - Infopool","Fri Jul 11 18:58:57 GMT 2025","passed","Fri Jul 11 18:58:57 GMT 2025","v1 > Static Definitions > Update definition","Bank Admin","",""
"","41","User does not exist - Forgot Password","QA|Nova Bank - Infopool","Fri Jul 11 18:58:39 GMT 2025","passed","Fri Jul 11 18:58:39 GMT 2025","v1 > Auth > Forgot password > Initiate forget password","Bank User","",""
"","125","Weak password - Change password","QA|Nova Bank - Infopool","Fri Jul 11 18:58:41 GMT 2025","passed","Fri Jul 11 18:58:41 GMT 2025","v1 > Profile > Password","Bank User","",""
"","45","Delete organization details by ID - successful","QA|Nova Bank - Infopool","Fri Jul 11 18:58:59 GMT 2025","passed","Fri Jul 11 18:58:59 GMT 2025","v1 > Organizations > Delete organization","Bank Admin","",""
"","40","Send user invitation token - successful","QA|Nova Bank - Infopool","Fri Jul 11 18:58:43 GMT 2025","passed","Fri Jul 11 18:58:43 GMT 2025","v1 > Onboarding > Complete profile","Bank User","",""
"","65","Create  organization","QA|Nova Bank - Infopool","Fri Jul 11 18:58:58 GMT 2025","failed","Fri Jul 11 18:58:58 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","217","reset password","QA|Nova Bank - Infopool","Fri Jul 11 18:58:39 GMT 2025","passed","Fri Jul 11 18:58:40 GMT 2025","v1 > Auth > Forgot password > Reset password","Bank User","",""
"","34","Empty authentication type - Send user invitation token","QA|Nova Bank - Infopool","Fri Jul 11 18:58:43 GMT 2025","passed","Fri Jul 11 18:58:43 GMT 2025","v1 > Onboarding > Complete profile","Bank User","",""
"","40","No user credentials","QA|Nova Bank - Infopool","Fri Jul 11 18:58:39 GMT 2025","passed","Fri Jul 11 18:58:39 GMT 2025","v1 > Auth > Session > Login","Bank User","",""
"","47","Update profile","QA|Nova Bank - Infopool","Fri Jul 11 18:58:42 GMT 2025","failed","Fri Jul 11 18:58:42 GMT 2025","v1 > Profile > update profile image","Bank User","",""
"","126","Invalid credentials","QA|Nova Bank - Infopool","Fri Jul 11 18:58:32 GMT 2025","passed","Fri Jul 11 18:58:32 GMT 2025","v1 > Auth > Session > Login","Bank User","",""
"","85","Update organization details by ID - successful","QA|Nova Bank - Infopool","Fri Jul 11 18:58:59 GMT 2025","passed","Fri Jul 11 18:58:59 GMT 2025","v1 > Organizations > Update organization","Bank Admin","",""
"","46","ID does not exist - Get single definition","QA|Nova Bank - Infopool","Fri Jul 11 18:58:57 GMT 2025","passed","Fri Jul 11 18:58:57 GMT 2025","v1 > Static Definitions > Retrieve definition by ID","Bank Admin","",""
"","48","Fetch organizations by ID - No Auth","QA|Nova Bank - Infopool","Fri Jul 11 18:58:59 GMT 2025","passed","Fri Jul 11 18:58:59 GMT 2025","v1 > Organizations > Fetch organiation by ID","Bank Admin","",""
"","33","Get events - no auth","QA|Nova Bank - Infopool","Fri Jul 11 18:58:42 GMT 2025","passed","Fri Jul 11 18:58:42 GMT 2025","v1 > Audit trail > Event","Bank User","",""
"","31","Fetch user by ID - invalid ID","QA|Nova Bank - Infopool","Fri Jul 11 18:58:57 GMT 2025","passed","Fri Jul 11 18:58:57 GMT 2025","v1 > Users > Fetch user by ID","Bank Admin","",""
"","44","Update organization details by ID - empty name","QA|Nova Bank - Infopool","Fri Jul 11 18:58:59 GMT 2025","passed","Fri Jul 11 18:58:59 GMT 2025","v1 > Organizations > Update organization","Bank Admin","",""
"","46","Fetch user by ID - ID does not exist","QA|Nova Bank - Infopool","Fri Jul 11 18:58:57 GMT 2025","passed","Fri Jul 11 18:58:57 GMT 2025","v1 > Users > Fetch user by ID","Bank Admin","",""
"","156","Get events - successful","QA|Nova Bank - Infopool","Fri Jul 11 18:58:42 GMT 2025","passed","Fri Jul 11 18:58:42 GMT 2025","v1 > Audit trail > Event","Bank User","",""
"","33","Update profile - No Auth","QA|Nova Bank - Infopool","Fri Jul 11 18:58:42 GMT 2025","passed","Fri Jul 11 18:58:42 GMT 2025","v1 > Profile > update profile image","Bank User","",""
"","34","Invalid email format - Forgot password","QA|Nova Bank - Infopool","Fri Jul 11 18:58:39 GMT 2025","passed","Fri Jul 11 18:58:39 GMT 2025","v1 > Auth > Forgot password > Initiate forget password","Bank User","",""
"","38","Get profile roles - No Auth","QA|Nova Bank - Infopool","Fri Jul 11 18:58:40 GMT 2025","passed","Fri Jul 11 18:58:40 GMT 2025","v1 > Profile > Roles","Bank User","",""
"","54","Invalid ID - Add Comment to Customer","QA|Nova Bank - Infopool","Fri Jul 11 18:58:45 GMT 2025","passed","Fri Jul 11 18:58:45 GMT 2025","v1 > Customer 360 > Comments > add comment to customer","Bank User","",""
"","32","No Auth - Delete Customer Comment","QA|Nova Bank - Infopool","Fri Jul 11 18:58:46 GMT 2025","passed","Fri Jul 11 18:58:46 GMT 2025","v1 > Customer 360 > Comments > delete customer comment","Bank User","",""
"","69","verify OTP","QA|Nova Bank - Infopool","Fri Jul 11 18:58:40 GMT 2025","passed","Fri Jul 11 18:58:40 GMT 2025","v1 > Auth > MFA > Verify","Bank User","",""
"","44","Update organization details by ID - parent_id","QA|Nova Bank - Infopool","Fri Jul 11 18:58:59 GMT 2025","passed","Fri Jul 11 18:58:59 GMT 2025","v1 > Organizations > Update organization","Bank Admin","",""
"","3098","Remove user from an organization - no auth","QA|Nova Bank - Infopool","Fri Jul 11 18:59:00 GMT 2025","passed","Fri Jul 11 18:59:03 GMT 2025","v1 > Organizations > Users > Remove users from an organization","Bank Admin","",""
"","45","Update profile - Invalid file size","QA|Nova Bank - Infopool","Fri Jul 11 18:58:42 GMT 2025","passed","Fri Jul 11 18:58:42 GMT 2025","v1 > Profile > update profile image","Bank User","",""
"","42","Create organization - no name","QA|Nova Bank - Infopool","Fri Jul 11 18:58:58 GMT 2025","passed","Fri Jul 11 18:58:58 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
