"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","19","Get all notification templates - invalid category","QA|Nova Bank - Infopool","Fri Mar 28 18:53:57 GMT 2025","passed","Fri Mar 28 18:53:57 GMT 2025","v1 > Notifications > Templates","Bank Admin","",""
"","24","Fetch user by ID - invalid ID","QA|Nova Bank - Infopool","Fri Mar 28 18:53:54 GMT 2025","passed","Fri Mar 28 18:53:54 GMT 2025","v1 > Users > Fetch user by ID","Bank Admin","",""
"","35","Fetch all users in an organization","QA|Nova Bank - Infopool","Fri Mar 28 18:53:55 GMT 2025","passed","Fri Mar 28 18:53:56 GMT 2025","v1 > Organizations > Users > Fetch users in an organization","Bank Admin","",""
"","38","Fetch user by ID - successful","QA|Nova Bank - Infopool","Fri Mar 28 18:53:54 GMT 2025","passed","Fri Mar 28 18:53:54 GMT 2025","v1 > Users > Fetch user by ID","Bank Admin","",""
"","52","Create a New Issue - empty priority","QA|Nova Bank - Infopool","Fri Mar 28 18:53:42 GMT 2025","passed","Fri Mar 28 18:53:42 GMT 2025","v1 > Customer 360 > Issues > create a new issue","Bank User","",""
"","29","Forgot password - invalid email format","QA|Nova Bank - Infopool","Fri Mar 28 18:53:39 GMT 2025","passed","Fri Mar 28 18:53:39 GMT 2025","v1 > Auth > Forgot password > Initiate forget password","Bank User","",""
"","87","Get all notifications - invalid type","QA|Nova Bank - Infopool","Fri Mar 28 18:53:57 GMT 2025","passed","Fri Mar 28 18:53:57 GMT 2025","v1 > Notifications","Bank Admin","",""
"","25","Get profile - user not logged in","QA|Nova Bank - Infopool","Fri Mar 28 18:53:40 GMT 2025","passed","Fri Mar 28 18:53:40 GMT 2025","v1 > Profile > Get profile","Bank User","",""
"","3160","Fetch Customers Channels","QA|Nova Bank - Infopool","Fri Mar 28 18:53:50 GMT 2025","passed","Fri Mar 28 18:53:53 GMT 2025","v1 > Customer 360 > Fetch customer channel","Bank User","",""
"","64","Delete organization details by ID - successful","QA|Nova Bank - Infopool","Fri Mar 28 18:53:55 GMT 2025","passed","Fri Mar 28 18:53:55 GMT 2025","v1 > Organizations > Delete organization","Bank Admin","",""
"","45","Change password - empty current password","QA|Nova Bank - Infopool","Fri Mar 28 18:53:40 GMT 2025","passed","Fri Mar 28 18:53:40 GMT 2025","v1 > Profile > Password","Bank User","",""
"","47","Update organization details by ID - empty name","QA|Nova Bank - Infopool","Fri Mar 28 18:53:55 GMT 2025","failed","Fri Mar 28 18:53:55 GMT 2025","v1 > Organizations > Update organization","Bank Admin","",""
"","35","Update Issue","QA|Nova Bank - Infopool","Fri Mar 28 18:53:42 GMT 2025","failed","Fri Mar 28 18:53:43 GMT 2025","v1 > Customer 360 > Issues > update issue","Bank User","",""
"","93","Get events - end date earlier than start date","QA|Nova Bank - Infopool","Fri Mar 28 18:53:41 GMT 2025","passed","Fri Mar 28 18:53:41 GMT 2025","v1 > Audit trail > Event","Bank User","",""
"","40","Create roles - invalid type","QA|Nova Bank - Infopool","Fri Mar 28 18:53:56 GMT 2025","passed","Fri Mar 28 18:53:56 GMT 2025","v1 > Roles > Create role","Bank Admin","",""
"","48","Create organization - operations manager ID does not exist","QA|Nova Bank - Infopool","Fri Mar 28 18:53:55 GMT 2025","passed","Fri Mar 28 18:53:55 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","428","Update profile - successful","QA|Nova Bank - Infopool","Fri Mar 28 18:53:40 GMT 2025","passed","Fri Mar 28 18:53:41 GMT 2025","v1 > Profile > Update profile","Bank User","",""
"","62","Update organization details by ID - successful","QA|Nova Bank - Infopool","Fri Mar 28 18:53:55 GMT 2025","passed","Fri Mar 28 18:53:55 GMT 2025","v1 > Organizations > Update organization","Bank Admin","",""
"","160","Invalid credentials","QA|Nova Bank - Infopool","Fri Mar 28 18:53:33 GMT 2025","passed","Fri Mar 28 18:53:33 GMT 2025","v1 > Auth > Session > Login","Bank User","",""
"","35","Get permission by ID - ID does not exist","QA|Nova Bank - Infopool","Fri Mar 28 18:53:57 GMT 2025","failed","Fri Mar 28 18:53:57 GMT 2025","v1 > Permissions > Get permission by ID","Bank Admin","",""
"","30","Forgot password - user does not exist","QA|Nova Bank - Infopool","Fri Mar 28 18:53:39 GMT 2025","passed","Fri Mar 28 18:53:39 GMT 2025","v1 > Auth > Forgot password > Initiate forget password","Bank User","",""
"Get Email or SMS OTP. For OTP, you need to provide either `email` or `phone` if you are not logged in.
    `operation` can be one of: 
- LOGIN
- FORGOT_PASSWORD
- CREATE_ROLE
- UPDATE_ROLE
- DELETE_ROLE","73","Get Email or SMS OTP","QA|Nova Bank - Infopool","Fri Mar 28 18:53:39 GMT 2025","passed","Fri Mar 28 18:53:39 GMT 2025","v1 > Auth > mfa > request","Bank User","",""
"","43","Change password - empty new password","QA|Nova Bank - Infopool","Fri Mar 28 18:53:40 GMT 2025","passed","Fri Mar 28 18:53:40 GMT 2025","v1 > Profile > Password","Bank User","",""
"","64","Create organization - name already exists","QA|Nova Bank - Infopool","Fri Mar 28 18:53:54 GMT 2025","passed","Fri Mar 28 18:53:54 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","33","Create a New Issue - empty issue category","QA|Nova Bank - Infopool","Fri Mar 28 18:53:42 GMT 2025","passed","Fri Mar 28 18:53:42 GMT 2025","v1 > Customer 360 > Issues > create a new issue","Bank User","",""
"","3113","Fetch Customers Accounts","QA|Nova Bank - Infopool","Fri Mar 28 18:53:47 GMT 2025","passed","Fri Mar 28 18:53:50 GMT 2025","v1 > Customer 360 > Fetch customer accounts","Bank User","",""
"","176","Create roles - successful","QA|Nova Bank - Infopool","Fri Mar 28 18:53:56 GMT 2025","passed","Fri Mar 28 18:53:56 GMT 2025","v1 > Roles > Create role","Bank Admin","",""
"","38","Create roles - no description","QA|Nova Bank - Infopool","Fri Mar 28 18:53:56 GMT 2025","passed","Fri Mar 28 18:53:56 GMT 2025","v1 > Roles > Create role","Bank Admin","",""
"","20","Health","QA|Nova Bank - Infopool","Fri Mar 28 18:53:57 GMT 2025","passed","Fri Mar 28 18:53:57 GMT 2025","v1","Bank Admin","",""
"","47","Create organization - no country ID","QA|Nova Bank - Infopool","Fri Mar 28 18:53:55 GMT 2025","passed","Fri Mar 28 18:53:55 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","43","Update user - invalid action","QA|Nova Bank - Infopool","Fri Mar 28 18:53:54 GMT 2025","passed","Fri Mar 28 18:53:54 GMT 2025","v1 > Users > Update user","Bank Admin","",""
"","49","Update organization details by ID - incorrect business manager ID","QA|Nova Bank - Infopool","Fri Mar 28 18:53:55 GMT 2025","passed","Fri Mar 28 18:53:55 GMT 2025","v1 > Organizations > Update organization","Bank Admin","",""
"","66","audit trail","QA|Nova Bank - Infopool","Fri Mar 28 18:53:41 GMT 2025","passed","Fri Mar 28 18:53:41 GMT 2025","v1 > Audit trail > Audit trail","Bank User","",""
"","43","Update organization details by ID - parent_id","QA|Nova Bank - Infopool","Fri Mar 28 18:53:55 GMT 2025","passed","Fri Mar 28 18:53:55 GMT 2025","v1 > Organizations > Update organization","Bank Admin","",""
"","20","Get all notification templates - successful","QA|Nova Bank - Infopool","Fri Mar 28 18:53:57 GMT 2025","passed","Fri Mar 28 18:53:57 GMT 2025","v1 > Notifications > Templates","Bank Admin","",""
"","475","Create a New Issue","QA|Nova Bank - Infopool","Fri Mar 28 18:53:42 GMT 2025","passed","Fri Mar 28 18:53:42 GMT 2025","v1 > Customer 360 > Issues > create a new issue","Bank User","",""
"","75","Send user invitation token - empty last name","QA|Nova Bank - Infopool","Fri Mar 28 18:53:42 GMT 2025","passed","Fri Mar 28 18:53:42 GMT 2025","v1 > Onboarding > Complete profile","Bank User","",""
"","47","Create organization - organization type ID does not exist","QA|Nova Bank - Infopool","Fri Mar 28 18:53:55 GMT 2025","passed","Fri Mar 28 18:53:55 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","47","Update profile","QA|Nova Bank - Infopool","Fri Mar 28 18:53:41 GMT 2025","failed","Fri Mar 28 18:53:41 GMT 2025","v1 > Profile > update profile image","Bank User","",""
"","34","Fetch user by ID - ID does not exist","QA|Nova Bank - Infopool","Fri Mar 28 18:53:54 GMT 2025","passed","Fri Mar 28 18:53:54 GMT 2025","v1 > Users > Fetch user by ID","Bank Admin","",""
"","66","Create  organization","QA|Nova Bank - Infopool","Fri Mar 28 18:53:54 GMT 2025","passed","Fri Mar 28 18:53:54 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","118","Get events - successful","QA|Nova Bank - Infopool","Fri Mar 28 18:53:41 GMT 2025","passed","Fri Mar 28 18:53:41 GMT 2025","v1 > Audit trail > Event","Bank User","",""
"","248","Create  organization - without parent id","QA|Nova Bank - Infopool","Fri Mar 28 18:53:54 GMT 2025","passed","Fri Mar 28 18:53:54 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","42","Create organization - empty mis code","QA|Nova Bank - Infopool","Fri Mar 28 18:53:55 GMT 2025","passed","Fri Mar 28 18:53:55 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
