"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","32","No Auth - Change password","QA|Nova Bank - Infopool","Fri Jul 18 19:00:11 GMT 2025","passed","Fri Jul 18 19:00:11 GMT 2025","v1 > Profile > Password","Bank User","",""
"","80","Add attachment to issue","QA|Nova Bank - Infopool","Fri Jul 18 19:00:15 GMT 2025","failed","Fri Jul 18 19:00:15 GMT 2025","v1 > Customer 360 > Issues > add attachment to issue","Bank User","",""
"Get Email or SMS OTP. For OTP, you need to provide either `email` or `phone` if you are not logged in.
    `operation` can be one of: 
- LOGIN
- FORGOT_PASSWORD
- CREATE_ROLE
- UPDATE_ROLE
- DELETE_ROLE","32","Empty Channel - Get Email or SMS OTP","QA|Nova Bank - Infopool","Fri Jul 18 19:00:11 GMT 2025","passed","Fri Jul 18 19:00:11 GMT 2025","v1 > Auth > MFA > Request","Bank User","",""
"","83","Update organization details by ID - successful","QA|Nova Bank - Infopool","Fri Jul 18 19:00:29 GMT 2025","passed","Fri Jul 18 19:00:30 GMT 2025","v1 > Organizations > Update organization","Bank Admin","",""
"","38","Update profile - no phone number","QA|Nova Bank - Infopool","Fri Jul 18 19:00:12 GMT 2025","passed","Fri Jul 18 19:00:12 GMT 2025","v1 > Profile > Update profile","Bank User","",""
"","50","Get all definitions","QA|Nova Bank - Infopool","Fri Jul 18 19:00:27 GMT 2025","passed","Fri Jul 18 19:00:27 GMT 2025","v1 > Static Definitions > Retrieve definition by ID","Bank Admin","",""
"","34","Update profile - No Auth","QA|Nova Bank - Infopool","Fri Jul 18 19:00:12 GMT 2025","passed","Fri Jul 18 19:00:12 GMT 2025","v1 > Profile > update profile image","Bank User","",""
"","59","Update user - successful","QA|Nova Bank - Infopool","Fri Jul 18 19:00:28 GMT 2025","passed","Fri Jul 18 19:00:28 GMT 2025","v1 > Users > Update user","Bank Admin","",""
"","106","Empty priority - Create a New Issue","QA|Nova Bank - Infopool","Fri Jul 18 19:00:14 GMT 2025","failed","Fri Jul 18 19:00:14 GMT 2025","v1 > Customer 360 > Issues > create a new issue","Bank User","",""
"","40","Generator Customers Transactions Statement - PDF","QA|Nova Bank - Infopool","Fri Jul 18 19:00:27 GMT 2025","failed","Fri Jul 18 19:00:27 GMT 2025","v1 > Customer 360 > Generate customers transaction statement","Bank User","",""
"","29","No Auth - Fetch Customer's Financial Summary","QA|Nova Bank - Infopool","Fri Jul 18 19:00:24 GMT 2025","passed","Fri Jul 18 19:00:24 GMT 2025","v1 > Customer 360 > Fetch customer's financial summary","Bank User","",""
"","32","Empty last name - Send user invitation token","QA|Nova Bank - Infopool","Fri Jul 18 19:00:14 GMT 2025","passed","Fri Jul 18 19:00:14 GMT 2025","v1 > Onboarding > Complete profile","Bank User","",""
"","118","Get events - invalid start date","QA|Nova Bank - Infopool","Fri Jul 18 19:00:13 GMT 2025","passed","Fri Jul 18 19:00:13 GMT 2025","v1 > Audit trail > Event","Bank User","",""
"","36","No Auth - Update definition","QA|Nova Bank - Infopool","Fri Jul 18 19:00:28 GMT 2025","passed","Fri Jul 18 19:00:28 GMT 2025","v1 > Static Definitions > Update definition","Bank Admin","",""
"","118","Get events - end date earlier than start date","QA|Nova Bank - Infopool","Fri Jul 18 19:00:13 GMT 2025","passed","Fri Jul 18 19:00:13 GMT 2025","v1 > Audit trail > Event","Bank User","",""
"","46","Fetch user by ID - successful","QA|Nova Bank - Infopool","Fri Jul 18 19:00:28 GMT 2025","passed","Fri Jul 18 19:00:28 GMT 2025","v1 > Users > Fetch user by ID","Bank Admin","",""
"","34","Update organization details by ID - No auth","QA|Nova Bank - Infopool","Fri Jul 18 19:00:30 GMT 2025","passed","Fri Jul 18 19:00:30 GMT 2025","v1 > Organizations > Update organization","Bank Admin","",""
"","191","Get profile - successfully","QA|Nova Bank - Infopool","Fri Jul 18 19:00:12 GMT 2025","passed","Fri Jul 18 19:00:12 GMT 2025","v1 > Profile > Get profile","Bank User","",""
"","33","No Auth - Update Issue","QA|Nova Bank - Infopool","Fri Jul 18 19:00:15 GMT 2025","passed","Fri Jul 18 19:00:15 GMT 2025","v1 > Customer 360 > Issues > update issue","Bank User","",""
"","36","Get profile roles - No Auth","QA|Nova Bank - Infopool","Fri Jul 18 19:00:11 GMT 2025","passed","Fri Jul 18 19:00:11 GMT 2025","v1 > Profile > Roles","Bank User","",""
"","45","Create organization - business manager ID does not exist","QA|Nova Bank - Infopool","Fri Jul 18 19:00:29 GMT 2025","passed","Fri Jul 18 19:00:29 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","126","Weak password - Change password","QA|Nova Bank - Infopool","Fri Jul 18 19:00:12 GMT 2025","passed","Fri Jul 18 19:00:12 GMT 2025","v1 > Profile > Password","Bank User","",""
"","232","reset password","QA|Nova Bank - Infopool","Fri Jul 18 19:00:10 GMT 2025","passed","Fri Jul 18 19:00:10 GMT 2025","v1 > Auth > Forgot password > Reset password","Bank User","",""
"","41","Update user - empty action field","QA|Nova Bank - Infopool","Fri Jul 18 19:00:28 GMT 2025","passed","Fri Jul 18 19:00:28 GMT 2025","v1 > Users > Update user","Bank Admin","",""
"","84","add_comment_successfully","QA|Nova Bank - Infopool","Fri Jul 18 19:00:16 GMT 2025","passed","Fri Jul 18 19:00:16 GMT 2025","v1 > Customer 360 > Comments > add comment to customer","Bank User","",""
"","72","Invalid attachment id - Delete Attachment from Issue","QA|Nova Bank - Infopool","Fri Jul 18 19:00:16 GMT 2025","failed","Fri Jul 18 19:00:16 GMT 2025","v1 > Customer 360 > Issues > delete attachment to an issue","Bank User","",""
"","46","Invalid ID -Get Issue by ID","QA|Nova Bank - Infopool","Fri Jul 18 19:00:15 GMT 2025","passed","Fri Jul 18 19:00:15 GMT 2025","v1 > Customer 360 > Issues > get issue by Id","Bank User","",""
"","102","Update definition","QA|Nova Bank - Infopool","Fri Jul 18 19:00:28 GMT 2025","passed","Fri Jul 18 19:00:28 GMT 2025","v1 > Static Definitions > Update definition","Bank Admin","",""
"","160","Get Issue by ID","QA|Nova Bank - Infopool","Fri Jul 18 19:00:15 GMT 2025","passed","Fri Jul 18 19:00:15 GMT 2025","v1 > Customer 360 > Issues > get issue by Id","Bank User","",""
"","43","Create organization - empty city value","QA|Nova Bank - Infopool","Fri Jul 18 19:00:29 GMT 2025","failed","Fri Jul 18 19:00:29 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","30","No auth - Generator Customers Transactions Statement - PDF","QA|Nova Bank - Infopool","Fri Jul 18 19:00:27 GMT 2025","passed","Fri Jul 18 19:00:27 GMT 2025","v1 > Customer 360 > Generate customers transaction statement","Bank User","",""
"","32","Update organization details by ID - incorrect business manager ID","QA|Nova Bank - Infopool","Fri Jul 18 19:00:30 GMT 2025","failed","Fri Jul 18 19:00:30 GMT 2025","v1 > Organizations > Update organization","Bank Admin","",""
"","142","Update Customer Comment","QA|Nova Bank - Infopool","Fri Jul 18 19:00:16 GMT 2025","passed","Fri Jul 18 19:00:16 GMT 2025","v1 > Customer 360 > Comments > update comment to customer","Bank User","",""
"","47","ID does not exist - Get single definition","QA|Nova Bank - Infopool","Fri Jul 18 19:00:27 GMT 2025","passed","Fri Jul 18 19:00:28 GMT 2025","v1 > Static Definitions > Retrieve definition by ID","Bank Admin","",""
"","34","Update profile - no auth","QA|Nova Bank - Infopool","Fri Jul 18 19:00:12 GMT 2025","passed","Fri Jul 18 19:00:12 GMT 2025","v1 > Profile > Update profile","Bank User","",""
"","898","Fetch Customer's Financial Summary","QA|Nova Bank - Infopool","Fri Jul 18 19:00:23 GMT 2025","passed","Fri Jul 18 19:00:24 GMT 2025","v1 > Customer 360 > Fetch customer's financial summary","Bank User","",""
"","33","No Auth - Delete Customer Comment","QA|Nova Bank - Infopool","Fri Jul 18 19:00:16 GMT 2025","passed","Fri Jul 18 19:00:16 GMT 2025","v1 > Customer 360 > Comments > delete customer comment","Bank User","",""
"","32","Update user - no auth","QA|Nova Bank - Infopool","Fri Jul 18 19:00:28 GMT 2025","passed","Fri Jul 18 19:00:28 GMT 2025","v1 > Users > Update user","Bank Admin","",""
"","3142","Fetch Customer By ID no Auth","QA|Nova Bank - Infopool","Fri Jul 18 19:00:20 GMT 2025","passed","Fri Jul 18 19:00:23 GMT 2025","v1 > Customer 360 > Fetch customer by ID","Bank User","",""
"","46","Fetch Customers Accounts","QA|Nova Bank - Infopool","Fri Jul 18 19:00:27 GMT 2025","failed","Fri Jul 18 19:00:27 GMT 2025","v1 > Customer 360 > Fetch customer accounts","Bank User","",""
"","42","Delete organization details by ID - successful","QA|Nova Bank - Infopool","Fri Jul 18 19:00:30 GMT 2025","passed","Fri Jul 18 19:00:30 GMT 2025","v1 > Organizations > Delete organization","Bank Admin","",""
"","62","Remove user from an organization - successful","QA|Nova Bank - Infopool","Fri Jul 18 19:00:30 GMT 2025","passed","Fri Jul 18 19:00:30 GMT 2025","v1 > Organizations > Users > Remove users from an organization","Bank Admin","",""
"","48","Update profile - invalid phone number","QA|Nova Bank - Infopool","Fri Jul 18 19:00:12 GMT 2025","passed","Fri Jul 18 19:00:12 GMT 2025","v1 > Profile > Update profile","Bank User","",""
"","82","Delete Customer Comment","QA|Nova Bank - Infopool","Fri Jul 18 19:00:16 GMT 2025","passed","Fri Jul 18 19:00:16 GMT 2025","v1 > Customer 360 > Comments > delete customer comment","Bank User","",""
"","32","Create organization - empty mis code","QA|Nova Bank - Infopool","Fri Jul 18 19:00:29 GMT 2025","failed","Fri Jul 18 19:00:29 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","45","Fetch organizations by ID - successful","QA|Nova Bank - Infopool","Fri Jul 18 19:00:29 GMT 2025","passed","Fri Jul 18 19:00:29 GMT 2025","v1 > Organizations > Fetch organiation by ID","Bank Admin","",""
"","86","Get all Issues","QA|Nova Bank - Infopool","Fri Jul 18 19:00:15 GMT 2025","failed","Fri Jul 18 19:00:15 GMT 2025","v1 > Customer 360 > Issues > get all issues","Bank User","",""
"","42","Update organization details by ID - parent_id","QA|Nova Bank - Infopool","Fri Jul 18 19:00:30 GMT 2025","passed","Fri Jul 18 19:00:30 GMT 2025","v1 > Organizations > Update organization","Bank Admin","",""
"","47","Invalid ID - Delete Customer Comment","QA|Nova Bank - Infopool","Fri Jul 18 19:00:16 GMT 2025","passed","Fri Jul 18 19:00:16 GMT 2025","v1 > Customer 360 > Comments > delete customer comment","Bank User","",""
"","45","Create organization - name already exists","QA|Nova Bank - Infopool","Fri Jul 18 19:00:29 GMT 2025","passed","Fri Jul 18 19:00:29 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","38","Get profile - No Auth","QA|Nova Bank - Infopool","Fri Jul 18 19:00:12 GMT 2025","passed","Fri Jul 18 19:00:12 GMT 2025","v1 > Profile > Get profile","Bank User","",""
"","29","No_auth_add_comments","QA|Nova Bank - Infopool","Fri Jul 18 19:00:16 GMT 2025","passed","Fri Jul 18 19:00:16 GMT 2025","v1 > Customer 360 > Comments > add comment to customer","Bank User","",""
"","147","Add Comment to Issue","QA|Nova Bank - Infopool","Fri Jul 18 19:00:15 GMT 2025","passed","Fri Jul 18 19:00:15 GMT 2025","v1 > Customer 360 > Issues > add comment to an issue","Bank User","",""
"","68","Add user to an organization - successful","QA|Nova Bank - Infopool","Fri Jul 18 19:00:30 GMT 2025","passed","Fri Jul 18 19:00:30 GMT 2025","v1 > Organizations > Users > Add users to an organization","Bank Admin","",""
"","91","No auth - Create a New Issue","QA|Nova Bank - Infopool","Fri Jul 18 19:00:14 GMT 2025","passed","Fri Jul 18 19:00:14 GMT 2025","v1 > Customer 360 > Issues > create a new issue","Bank User","",""
"","46","Empty fields - Update definition","QA|Nova Bank - Infopool","Fri Jul 18 19:00:28 GMT 2025","passed","Fri Jul 18 19:00:28 GMT 2025","v1 > Static Definitions > Update definition","Bank Admin","",""
"","131","Invalid current password - Change password","QA|Nova Bank - Infopool","Fri Jul 18 19:00:11 GMT 2025","passed","Fri Jul 18 19:00:12 GMT 2025","v1 > Profile > Password","Bank User","",""
