"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","39","audit trail - No Auth","QA|Nova Bank - Infopool","Sun Aug 03 20:12:28 GMT 2025","passed","Sun Aug 03 20:12:28 GMT 2025","v1 > Audit trail > Audit trail","Bank User","",""
"","65","Remove user from an organization - successful","QA|Nova Bank - Infopool","Sun Aug 03 20:12:52 GMT 2025","passed","Sun Aug 03 20:12:52 GMT 2025","v1 > Organizations > Users > Remove users from an organization","Bank Admin","",""
"","52","Generator Customers Transactions Statement - PDF","QA|Nova Bank - Infopool","Sun Aug 03 20:12:42 GMT 2025","failed","Sun Aug 03 20:12:42 GMT 2025","v1 > Customer 360 > Generate customers transaction statement","Bank User","",""
"","171","Get Issue by ID","QA|Nova Bank - Infopool","Sun Aug 03 20:12:30 GMT 2025","passed","Sun Aug 03 20:12:30 GMT 2025","v1 > Customer 360 > Issues > get issue by Id","Bank User","",""
"","177","Get events - successful","QA|Nova Bank - Infopool","Sun Aug 03 20:12:28 GMT 2025","passed","Sun Aug 03 20:12:28 GMT 2025","v1 > Audit trail > Event","Bank User","",""
"","141","Invalid credentials","QA|Nova Bank - Infopool","Sun Aug 03 20:12:17 GMT 2025","passed","Sun Aug 03 20:12:18 GMT 2025","v1 > Auth > Session > Login","Bank User","",""
"","34","No auth - get user role","QA|Nova Bank - Infopool","Sun Aug 03 20:12:44 GMT 2025","passed","Sun Aug 03 20:12:44 GMT 2025","v1 > Users > Role > Get role","Bank Admin","",""
"","39","No Auth - Fetch Customers Accounts","QA|Nova Bank - Infopool","Sun Aug 03 20:12:42 GMT 2025","passed","Sun Aug 03 20:12:43 GMT 2025","v1 > Customer 360 > Fetch customer accounts","Bank User","",""
"","38","No auth - Delete Attachment from Issue","QA|Nova Bank - Infopool","Sun Aug 03 20:12:31 GMT 2025","passed","Sun Aug 03 20:12:31 GMT 2025","v1 > Customer 360 > Issues > delete attachment to an issue","Bank User","",""
"","102","Update Customer Comment","QA|Nova Bank - Infopool","Sun Aug 03 20:12:31 GMT 2025","passed","Sun Aug 03 20:12:31 GMT 2025","v1 > Customer 360 > Comments > update comment to customer","Bank User","",""
"","61","Empty fields - Update definition","QA|Nova Bank - Infopool","Sun Aug 03 20:12:43 GMT 2025","passed","Sun Aug 03 20:12:43 GMT 2025","v1 > Static Definitions > Update definition","Bank Admin","",""
"","51","Fetch user by ID - successful","QA|Nova Bank - Infopool","Sun Aug 03 20:12:43 GMT 2025","passed","Sun Aug 03 20:12:43 GMT 2025","v1 > Users > Fetch user by ID","Bank Admin","",""
"","49","Create organization - no name","QA|Nova Bank - Infopool","Sun Aug 03 20:12:44 GMT 2025","passed","Sun Aug 03 20:12:45 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","200","Update profile - successful","QA|Nova Bank - Infopool","Sun Aug 03 20:12:27 GMT 2025","passed","Sun Aug 03 20:12:27 GMT 2025","v1 > Profile > Update profile","Bank User","",""
"","259","audit-search","QA|Nova Bank - Infopool","Sun Aug 03 20:12:28 GMT 2025","passed","Sun Aug 03 20:12:29 GMT 2025","v1 > Audit trail > Audit trail","Bank User","",""
"","49","Invalid ID - Delete Customer Comment","QA|Nova Bank - Infopool","Sun Aug 03 20:12:32 GMT 2025","passed","Sun Aug 03 20:12:32 GMT 2025","v1 > Customer 360 > Comments > delete customer comment","Bank User","",""
"","125","Invalid current password - Change password","QA|Nova Bank - Infopool","Sun Aug 03 20:12:26 GMT 2025","passed","Sun Aug 03 20:12:26 GMT 2025","v1 > Profile > Password","Bank User","",""
"","2874","Fetch Customers Transactions","QA|Nova Bank - Infopool","Sun Aug 03 20:12:39 GMT 2025","passed","Sun Aug 03 20:12:42 GMT 2025","v1 > Customer 360 > Fetch customers transaction","Bank User","",""
"","90","audit trail","QA|Nova Bank - Infopool","Sun Aug 03 20:12:28 GMT 2025","passed","Sun Aug 03 20:12:28 GMT 2025","v1 > Audit trail > Audit trail","Bank User","",""
"","38","Create organization - empty mis code","QA|Nova Bank - Infopool","Sun Aug 03 20:12:45 GMT 2025","failed","Sun Aug 03 20:12:45 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","35","Update user - no auth","QA|Nova Bank - Infopool","Sun Aug 03 20:12:44 GMT 2025","passed","Sun Aug 03 20:12:44 GMT 2025","v1 > Users > Update user","Bank Admin","",""
"","37","No Auth - Fetch Customers Channels","QA|Nova Bank - Infopool","Sun Aug 03 20:12:43 GMT 2025","passed","Sun Aug 03 20:12:43 GMT 2025","v1 > Customer 360 > Fetch customer channel","Bank User","",""
"","148","Weak password - Change password","QA|Nova Bank - Infopool","Sun Aug 03 20:12:26 GMT 2025","passed","Sun Aug 03 20:12:26 GMT 2025","v1 > Profile > Password","Bank User","",""
"","51","Create organization - empty street value","QA|Nova Bank - Infopool","Sun Aug 03 20:12:45 GMT 2025","failed","Sun Aug 03 20:12:45 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","193","Fetch all users","QA|Nova Bank - Infopool","Sun Aug 03 20:12:44 GMT 2025","passed","Sun Aug 03 20:12:44 GMT 2025","v1 > Users > Fetch users","Bank Admin","",""
"","50","Update profile - no phone number","QA|Nova Bank - Infopool","Sun Aug 03 20:12:27 GMT 2025","passed","Sun Aug 03 20:12:27 GMT 2025","v1 > Profile > Update profile","Bank User","",""
"","196","Update definition","QA|Nova Bank - Infopool","Sun Aug 03 20:12:43 GMT 2025","passed","Sun Aug 03 20:12:43 GMT 2025","v1 > Static Definitions > Update definition","Bank Admin","",""
"","35","Fetch user by ID - invalid ID","QA|Nova Bank - Infopool","Sun Aug 03 20:12:43 GMT 2025","passed","Sun Aug 03 20:12:44 GMT 2025","v1 > Users > Fetch user by ID","Bank Admin","",""
"","48","Create organization - operations manager ID does not exist","QA|Nova Bank - Infopool","Sun Aug 03 20:12:45 GMT 2025","passed","Sun Aug 03 20:12:45 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
