"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","102","Update user - ID does not exist","QA|Nova Bank - Infopool","Sun Mar 30 20:25:30 GMT 2025","passed","Sun Mar 30 20:25:30 GMT 2025","v1 > Users > Update user","Bank Admin","",""
"","90","Update organization details by ID - name already exists","QA|Nova Bank - Infopool","Sun Mar 30 20:25:35 GMT 2025","passed","Sun Mar 30 20:25:35 GMT 2025","v1 > Organizations > Update organization","Bank Admin","",""
"","88","Get all Issues","QA|Nova Bank - Infopool","Sun Mar 30 20:25:16 GMT 2025","failed","Sun Mar 30 20:25:16 GMT 2025","v1 > Customer 360 > Issues > get all issues","Bank User","",""
"","92","Create organization - no name","QA|Nova Bank - Infopool","Sun Mar 30 20:25:31 GMT 2025","passed","Sun Mar 30 20:25:31 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","92","Update organization details by ID - incorrect operation manager ID","QA|Nova Bank - Infopool","Sun Mar 30 20:25:36 GMT 2025","failed","Sun Mar 30 20:25:36 GMT 2025","v1 > Organizations > Update organization","Bank Admin","",""
"","89","Create organization - empty mis code","QA|Nova Bank - Infopool","Sun Mar 30 20:25:35 GMT 2025","passed","Sun Mar 30 20:25:35 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","73","Send user invitation token - invalid authentication","QA|Nova Bank - Infopool","Sun Mar 30 20:25:14 GMT 2025","passed","Sun Mar 30 20:25:14 GMT 2025","v1 > Onboarding > Complete profile","Bank User","",""
"","150","Get roles - successful","QA|Nova Bank - Infopool","Sun Mar 30 20:25:37 GMT 2025","passed","Sun Mar 30 20:25:37 GMT 2025","v1 > Roles > Get roles","Bank Admin","",""
"","76","No user credentials","QA|Nova Bank - Infopool","Sun Mar 30 20:25:11 GMT 2025","passed","Sun Mar 30 20:25:11 GMT 2025","v1 > Auth > Session > Login","Bank User","",""
"","100","Create organization - operations manager ID does not exist","QA|Nova Bank - Infopool","Sun Mar 30 20:25:31 GMT 2025","passed","Sun Mar 30 20:25:31 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","134","Search Customers","QA|Nova Bank - Infopool","Sun Mar 30 20:25:17 GMT 2025","passed","Sun Mar 30 20:25:18 GMT 2025","v1 > Customer 360 > Search for a customer > search by phone number","Bank User","",""
"","499","Fetch Customers Transactions","QA|Nova Bank - Infopool","Sun Mar 30 20:25:25 GMT 2025","passed","Sun Mar 30 20:25:25 GMT 2025","v1 > Customer 360 > Fetch customers transaction","Bank User","",""
"","82","Get role by ID - successful","QA|Nova Bank - Infopool","Sun Mar 30 20:25:38 GMT 2025","passed","Sun Mar 30 20:25:38 GMT 2025","v1 > Roles > Get role by ID","Bank Admin","",""
"","76","Validate user invitation token","QA|Nova Bank - Infopool","Sun Mar 30 20:25:14 GMT 2025","passed","Sun Mar 30 20:25:14 GMT 2025","v1 > Onboarding > Validate invitation","Bank User","",""
"","69","Update permissions - successful","QA|Nova Bank - Infopool","Sun Mar 30 20:25:37 GMT 2025","passed","Sun Mar 30 20:25:37 GMT 2025","v1 > Roles > Permissions > Update permission - API needs review","Bank Admin","",""
"","104","Update profile - no phone number","QA|Nova Bank - Infopool","Sun Mar 30 20:25:13 GMT 2025","passed","Sun Mar 30 20:25:13 GMT 2025","v1 > Profile > Update profile","Bank User","",""
"","79","Create a New Issue - empty issue category","QA|Nova Bank - Infopool","Sun Mar 30 20:25:16 GMT 2025","passed","Sun Mar 30 20:25:16 GMT 2025","v1 > Customer 360 > Issues > create a new issue","Bank User","",""
"","92","Update organization details by ID - organisation type id","QA|Nova Bank - Infopool","Sun Mar 30 20:25:35 GMT 2025","passed","Sun Mar 30 20:25:36 GMT 2025","v1 > Organizations > Update organization","Bank Admin","",""
"","95","Change password - empty current password","QA|Nova Bank - Infopool","Sun Mar 30 20:25:12 GMT 2025","passed","Sun Mar 30 20:25:12 GMT 2025","v1 > Profile > Password","Bank User","",""
"","71","Fetch Customer By ID no Auth","QA|Nova Bank - Infopool","Sun Mar 30 20:25:21 GMT 2025","passed","Sun Mar 30 20:25:21 GMT 2025","v1 > Customer 360 > Fetch customer by ID","Bank User","",""
"","134","Get events - end date earlier than start date","QA|Nova Bank - Infopool","Sun Mar 30 20:25:14 GMT 2025","passed","Sun Mar 30 20:25:14 GMT 2025","v1 > Audit trail > Event","Bank User","",""
"","92","Update definition - empty fields","QA|Nova Bank - Infopool","Sun Mar 30 20:25:30 GMT 2025","passed","Sun Mar 30 20:25:30 GMT 2025","v1 > Static Definitions > Update definition","Bank Admin","",""
"","209","Get profile - successfully","QA|Nova Bank - Infopool","Sun Mar 30 20:25:13 GMT 2025","passed","Sun Mar 30 20:25:13 GMT 2025","v1 > Profile > Get profile","Bank User","",""
"","78","Add attachment to issue","QA|Nova Bank - Infopool","Sun Mar 30 20:25:16 GMT 2025","failed","Sun Mar 30 20:25:16 GMT 2025","v1 > Customer 360 > Issues > add attachment to issue","Bank User","",""
"","81","Get profile roles - successful","QA|Nova Bank - Infopool","Sun Mar 30 20:25:12 GMT 2025","passed","Sun Mar 30 20:25:12 GMT 2025","v1 > Profile > Roles","Bank User","",""
"","82","managers","QA|Nova Bank - Infopool","Sun Mar 30 20:25:37 GMT 2025","passed","Sun Mar 30 20:25:37 GMT 2025","v1 > Organizations > Managers > Fetch managers of an organization","Bank Admin","",""
"","71","Fetch user by ID - invalid ID","QA|Nova Bank - Infopool","Sun Mar 30 20:25:30 GMT 2025","passed","Sun Mar 30 20:25:30 GMT 2025","v1 > Users > Fetch user by ID","Bank Admin","",""
"","102","Search Customers - invalid name","QA|Nova Bank - Infopool","Sun Mar 30 20:25:17 GMT 2025","passed","Sun Mar 30 20:25:17 GMT 2025","v1 > Customer 360 > Search for a customer > search by name","Bank User","",""
"","78","Forgot password - user does not exist","QA|Nova Bank - Infopool","Sun Mar 30 20:25:11 GMT 2025","passed","Sun Mar 30 20:25:11 GMT 2025","v1 > Auth > Forgot password > Initiate forget password","Bank User","",""
"","72","Logout session - no session","QA|Nova Bank - Infopool","Sun Mar 30 20:25:39 GMT 2025","passed","Sun Mar 30 20:25:39 GMT 2025","v1 > Logout","Bank Admin","",""
