"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","47","Fetch user by ID - successful","QA|Nova Bank - Infopool","Sun Aug 17 20:12:24 UTC 2025","passed","Sun Aug 17 20:12:24 UTC 2025","v1 > Users > Fetch user by ID","Bank Admin","",""
"","36","No Auth - Fetch all users","QA|Nova Bank - Infopool","Sun Aug 17 20:12:24 UTC 2025","passed","Sun Aug 17 20:12:24 UTC 2025","v1 > Users > Fetch users","Bank Admin","",""
"","110","Create_issue_without_attachment","QA|Nova Bank - Infopool","Sun Aug 17 20:12:10 UTC 2025","passed","Sun Aug 17 20:12:11 UTC 2025","v1 > Customer 360 > Issues > create a new issue","Bank User","",""
"","49","Create organization - no country ID","QA|Nova Bank - Infopool","Sun Aug 17 20:12:25 UTC 2025","failed","Sun Aug 17 20:12:25 UTC 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","30","No_auth_add_comments","QA|Nova Bank - Infopool","Sun Aug 17 20:12:12 UTC 2025","passed","Sun Aug 17 20:12:12 UTC 2025","v1 > Customer 360 > Comments > add comment to customer","Bank User","",""
"","201","Get profile - successfully","QA|Nova Bank - Infopool","Sun Aug 17 20:12:08 UTC 2025","passed","Sun Aug 17 20:12:08 UTC 2025","v1 > Profile > Get profile","Bank User","",""
"","31","Fetch user by ID - invalid ID","QA|Nova Bank - Infopool","Sun Aug 17 20:12:24 UTC 2025","passed","Sun Aug 17 20:12:24 UTC 2025","v1 > Users > Fetch user by ID","Bank Admin","",""
"","139","Update Issue","QA|Nova Bank - Infopool","Sun Aug 17 20:12:11 UTC 2025","passed","Sun Aug 17 20:12:11 UTC 2025","v1 > Customer 360 > Issues > update issue","Bank User","",""
"","78","Delete Customer Comment","QA|Nova Bank - Infopool","Sun Aug 17 20:12:12 UTC 2025","passed","Sun Aug 17 20:12:12 UTC 2025","v1 > Customer 360 > Comments > delete customer comment","Bank User","",""
"","30","No auth - get user role","QA|Nova Bank - Infopool","Sun Aug 17 20:12:25 UTC 2025","passed","Sun Aug 17 20:12:25 UTC 2025","v1 > Users > Role > Get role","Bank Admin","",""
"","122","Weak password - Change password","QA|Nova Bank - Infopool","Sun Aug 17 20:12:08 UTC 2025","passed","Sun Aug 17 20:12:08 UTC 2025","v1 > Profile > Password","Bank User","",""
"","48","Fetch sub-organizations of a parent organization","QA|Nova Bank - Infopool","Sun Aug 17 20:12:26 UTC 2025","passed","Sun Aug 17 20:12:26 UTC 2025","v1 > Organizations > Sub-organizations > Fetch sub-organizations","Bank Admin","",""
"","31","audit trail - No Auth","QA|Nova Bank - Infopool","Sun Aug 17 20:12:09 UTC 2025","passed","Sun Aug 17 20:12:09 UTC 2025","v1 > Audit trail > Audit trail","Bank User","",""
"Get Email or SMS OTP. For OTP, you need to provide either `email` or `phone` if you are not logged in.
    `operation` can be one of: 
- LOGIN
- FORGOT_PASSWORD
- CREATE_ROLE
- UPDATE_ROLE
- DELETE_ROLE","36","Invalid Channel - Get Email or SMS OTP","QA|Nova Bank - Infopool","Sun Aug 17 20:12:07 UTC 2025","passed","Sun Aug 17 20:12:07 UTC 2025","v1 > Auth > MFA > Request","Bank User","",""
