"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","866","Successful login","QA|Nova Bank - Infopool","Fri Aug 22 18:56:55 UTC 2025","passed","Fri Aug 22 18:56:56 UTC 2025","v1 > Auth > Session > Login","Bank User","",""
"","84","Update organization details by ID - incorrect operation manager ID","QA|Nova Bank - Infopool","Fri Aug 22 18:57:38 UTC 2025","failed","Fri Aug 22 18:57:39 UTC 2025","v1 > Organizations > Update organization","Bank Admin","",""
"","85","Get profile - No Auth","QA|Nova Bank - Infopool","Fri Aug 22 18:57:07 UTC 2025","passed","Fri Aug 22 18:57:07 UTC 2025","v1 > Profile > Get profile","Bank User","",""
"","94","No user credentials","QA|Nova Bank - Infopool","Fri Aug 22 18:57:03 UTC 2025","passed","Fri Aug 22 18:57:03 UTC 2025","v1 > Auth > Session > Login","Bank User","",""
"","121","Invalid attachment id - Delete Attachment from Issue","QA|Nova Bank - Infopool","Fri Aug 22 18:57:20 UTC 2025","failed","Fri Aug 22 18:57:20 UTC 2025","v1 > Customer 360 > Issues > delete attachment to an issue","Bank User","",""
"","82","No Auth - Fetch Customers Accounts","QA|Nova Bank - Infopool","Fri Aug 22 18:57:33 UTC 2025","passed","Fri Aug 22 18:57:33 UTC 2025","v1 > Customer 360 > Fetch customer accounts","Bank User","",""
"","3166","Empty issue category - Create a New Issue","QA|Nova Bank - Infopool","Fri Aug 22 18:57:14 UTC 2025","passed","Fri Aug 22 18:57:18 UTC 2025","v1 > Customer 360 > Issues > create a new issue","Bank User","",""
"","94","Get single definition","QA|Nova Bank - Infopool","Fri Aug 22 18:57:33 UTC 2025","passed","Fri Aug 22 18:57:33 UTC 2025","v1 > Static Definitions > Retrieve definition by ID","Bank Admin","",""
"","94","Update profile - no phone number","QA|Nova Bank - Infopool","Fri Aug 22 18:57:07 UTC 2025","passed","Fri Aug 22 18:57:07 UTC 2025","v1 > Profile > Update profile","Bank User","",""
"","84","No Auth - Get profile roles - successful","QA|Nova Bank - Infopool","Fri Aug 22 18:57:05 UTC 2025","passed","Fri Aug 22 18:57:05 UTC 2025","v1 > Profile > Roles","Bank User","",""
"","88","Empty first name - Send user invitation token","QA|Nova Bank - Infopool","Fri Aug 22 18:57:10 UTC 2025","passed","Fri Aug 22 18:57:10 UTC 2025","v1 > Onboarding > Complete profile","Bank User","",""
