"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Update an existing report","68","Update Report","QA|Nova Bank - Infopool","Sun Sep 14 20:11:07 UTC 2025","passed","Sun Sep 14 20:11:07 UTC 2025","v1 > Report > Update Report","Bank Admin","",""
"","72","Update organization details by ID - name already exists","QA|Nova Bank - Infopool","Sun Sep 14 20:10:57 UTC 2025","failed","Sun Sep 14 20:10:57 UTC 2025","v1 > Organizations > Update organization","Bank Admin","",""
"","70","No Auth - Search Customers","QA|Nova Bank - Infopool","Sun Sep 14 20:10:46 UTC 2025","passed","Sun Sep 14 20:10:46 UTC 2025","v1 > Customer 360 > Search for a customer > search by name","Bank User","",""
"","71","Fetch all organizations","QA|Nova Bank - Infopool","Sun Sep 14 20:10:56 UTC 2025","failed","Sun Sep 14 20:10:56 UTC 2025","v1 > Organizations > Fetch organization","Bank Admin","",""
"","78","Empty new password - Change password","QA|Nova Bank - Infopool","Sun Sep 14 20:10:41 UTC 2025","failed","Sun Sep 14 20:10:41 UTC 2025","v1 > Profile > Password","Bank User","",""
"","77","Get Issue by ID","QA|Nova Bank - Infopool","Sun Sep 14 20:10:44 UTC 2025","failed","Sun Sep 14 20:10:44 UTC 2025","v1 > Customer 360 > Issues > get issue by Id","Bank User","",""
"","80","No user credentials","QA|Nova Bank - Infopool","Sun Sep 14 20:10:39 UTC 2025","failed","Sun Sep 14 20:10:39 UTC 2025","v1 > Auth > Session > Login","Bank User","",""
"Get a paginated list of reports with optional filtering","72","Get Reports Stats - No Auth","QA|Nova Bank - Infopool","Sun Sep 14 20:11:00 UTC 2025","passed","Sun Sep 14 20:11:00 UTC 2025","v1 > Report > Get Report Stats","Bank Admin","",""
"","71","Create organization - empty street value","QA|Nova Bank - Infopool","Sun Sep 14 20:10:56 UTC 2025","failed","Sun Sep 14 20:10:56 UTC 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","70","Get events - invalid start date","QA|Nova Bank - Infopool","Sun Sep 14 20:10:42 UTC 2025","failed","Sun Sep 14 20:10:42 UTC 2025","v1 > Audit trail > Event","Bank User","",""
"","69","Fetch organizations by ID - No Auth","QA|Nova Bank - Infopool","Sun Sep 14 20:10:56 UTC 2025","failed","Sun Sep 14 20:10:56 UTC 2025","v1 > Organizations > Fetch organiation by ID","Bank Admin","",""
"","72","No Auth - Get profile roles - successful","QA|Nova Bank - Infopool","Sun Sep 14 20:10:40 UTC 2025","passed","Sun Sep 14 20:10:40 UTC 2025","v1 > Profile > Roles","Bank User","",""
"","72","successfully create corporate_adjustment","QA|Nova Bank - Infopool","Sun Sep 14 20:11:08 UTC 2025","failed","Sun Sep 14 20:11:08 UTC 2025","","corporate Adjustment","",""
"","71","No auth - Delete Attachment from Issue","QA|Nova Bank - Infopool","Sun Sep 14 20:10:45 UTC 2025","failed","Sun Sep 14 20:10:45 UTC 2025","v1 > Customer 360 > Issues > delete attachment to an issue","Bank User","",""
"","71","Get permission by ID - successful","QA|Nova Bank - Infopool","Sun Sep 14 20:10:59 UTC 2025","failed","Sun Sep 14 20:10:59 UTC 2025","v1 > Permissions > Get permission by ID","Bank Admin","",""
"","6640","Successful login","QA|Nova Bank - Infopool","Sun Sep 14 20:10:32 UTC 2025","failed","Sun Sep 14 20:10:39 UTC 2025","v1 > Auth > Session > Login","Bank User","",""
"","73","Invalid Id - Update Issue","QA|Nova Bank - Infopool","Sun Sep 14 20:10:44 UTC 2025","failed","Sun Sep 14 20:10:44 UTC 2025","v1 > Customer 360 > Issues > update issue","Bank User","",""
"","72","successful dashboard embed","QA|Nova Bank - Infopool","Sun Sep 14 20:10:53 UTC 2025","failed","Sun Sep 14 20:10:53 UTC 2025","embed dashboard","Bank User","",""
"","71","No_auth_add_comments","QA|Nova Bank - Infopool","Sun Sep 14 20:10:45 UTC 2025","failed","Sun Sep 14 20:10:45 UTC 2025","v1 > Customer 360 > Comments > add comment to customer","Bank User","",""
"Get Email or SMS OTP. For OTP, you need to provide either `email` or `phone` if you are not logged in.
    `operation` can be one of: 
- LOGIN
- FORGOT_PASSWORD
- CREATE_ROLE
- UPDATE_ROLE
- DELETE_ROLE","79","Invalid Operation - Get Email or SMS OTP","QA|Nova Bank - Infopool","Sun Sep 14 20:10:40 UTC 2025","failed","Sun Sep 14 20:10:40 UTC 2025","v1 > Auth > MFA > Request","Bank User","",""
"","72","No Auth - Update Issue","QA|Nova Bank - Infopool","Sun Sep 14 20:10:44 UTC 2025","failed","Sun Sep 14 20:10:44 UTC 2025","v1 > Customer 360 > Issues > update issue","Bank User","",""
"","72","Empty fields - Update definition","QA|Nova Bank - Infopool","Sun Sep 14 20:10:54 UTC 2025","failed","Sun Sep 14 20:10:54 UTC 2025","v1 > Static Definitions > Update definition","Bank Admin","",""
"","72","Update user - successful","QA|Nova Bank - Infopool","Sun Sep 14 20:10:54 UTC 2025","failed","Sun Sep 14 20:10:54 UTC 2025","v1 > Users > Update user","Bank Admin","",""
"","71","Get events - no auth","QA|Nova Bank - Infopool","Sun Sep 14 20:10:42 UTC 2025","passed","Sun Sep 14 20:10:42 UTC 2025","v1 > Audit trail > Event","Bank User","",""
"","81","No email - Forgot Password","QA|Nova Bank - Infopool","Sun Sep 14 20:10:39 UTC 2025","failed","Sun Sep 14 20:10:39 UTC 2025","v1 > Auth > Forgot password > Initiate forget password","Bank User","",""
"","71","reset password","QA|Nova Bank - Infopool","Sun Sep 14 20:10:39 UTC 2025","passed","Sun Sep 14 20:10:39 UTC 2025","v1 > Auth > Forgot password > Reset password","Bank User","",""
"","72","Update user - no auth","QA|Nova Bank - Infopool","Sun Sep 14 20:10:54 UTC 2025","failed","Sun Sep 14 20:10:55 UTC 2025","v1 > Users > Update user","Bank Admin","",""
"","70","No Auth - Get all definitions","QA|Nova Bank - Infopool","Sun Sep 14 20:10:53 UTC 2025","passed","Sun Sep 14 20:10:54 UTC 2025","v1 > Static Definitions > Retrieve definition by ID","Bank Admin","",""
"Get a specific report by ID","3121","Get Report by UUID - Invalid uuid","QA|Nova Bank - Infopool","Sun Sep 14 20:11:04 UTC 2025","failed","Sun Sep 14 20:11:07 UTC 2025","v1 > Report > Get Report by UUID","Bank Admin","",""
"Verify TOTP or OTP. For OTP, you need to provide either `email` or `phone` as the recipient if you are not logged in.
    Make sure the operation matches the one used to generate the OTP.

    `operation` can be one of: 
- LOGIN
- FORGOT_PASSWORD
- CREATE_ROLE
- UPDATE_ROLE
- DELETE_ROLE
    ","74","Invalid OTP - Verify MFA code, MFA backup code, Email or SMS OTP","QA|Nova Bank - Infopool","Sun Sep 14 20:10:40 UTC 2025","failed","Sun Sep 14 20:10:40 UTC 2025","v1 > Auth > MFA > Verify","Bank User","",""
"","72","Get events - end date earlier than start date","QA|Nova Bank - Infopool","Sun Sep 14 20:10:42 UTC 2025","failed","Sun Sep 14 20:10:42 UTC 2025","v1 > Audit trail > Event","Bank User","",""
"","71","Create roles - empty name field","QA|Nova Bank - Infopool","Sun Sep 14 20:10:59 UTC 2025","failed","Sun Sep 14 20:10:59 UTC 2025","v1 > Roles > Create role","Bank Admin","",""
"","72","Update profile - invalid phone number","QA|Nova Bank - Infopool","Sun Sep 14 20:10:41 UTC 2025","failed","Sun Sep 14 20:10:41 UTC 2025","v1 > Profile > Update profile","Bank User","",""
"","72","Fetch all users","QA|Nova Bank - Infopool","Sun Sep 14 20:10:54 UTC 2025","failed","Sun Sep 14 20:10:54 UTC 2025","v1 > Users > Fetch users","Bank Admin","",""
"","72","Weak password - Change password","QA|Nova Bank - Infopool","Sun Sep 14 20:10:41 UTC 2025","failed","Sun Sep 14 20:10:41 UTC 2025","v1 > Profile > Password","Bank User","",""
"","69","Logout session - no session","QA|Nova Bank - Infopool","Sun Sep 14 20:11:00 UTC 2025","failed","Sun Sep 14 20:11:00 UTC 2025","v1 > Logout","Bank Admin","",""
"","70","No auth - category by id","QA|Nova Bank - Infopool","Sun Sep 14 20:11:00 UTC 2025","passed","Sun Sep 14 20:11:00 UTC 2025","v1 > Notifications > Category > Fetch category by d","Bank Admin","",""
"","71","Update organization details by ID - incorrect business manager ID","QA|Nova Bank - Infopool","Sun Sep 14 20:10:57 UTC 2025","failed","Sun Sep 14 20:10:57 UTC 2025","v1 > Organizations > Update organization","Bank Admin","",""
"","71","Get roles - No Auth","QA|Nova Bank - Infopool","Sun Sep 14 20:10:58 UTC 2025","passed","Sun Sep 14 20:10:58 UTC 2025","v1 > Roles > Get roles","Bank Admin","",""
