"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","79","Fetch user by ID - successful","QA|Nova Bank - Infopool","Wed Oct 08 18:49:33 UTC 2025","failed","Wed Oct 08 18:49:33 UTC 2025","v1 > Users > Fetch user by ID","Bank Admin","",""
"","78","Role does not exist - update role","QA|Nova Bank - Infopool","Wed Oct 08 18:49:34 UTC 2025","failed","Wed Oct 08 18:49:34 UTC 2025","v1 > Users > Role > Update role","Bank Admin","",""
"","82","Invalid email format - Forgot password","QA|Nova Bank - Infopool","Wed Oct 08 18:49:17 UTC 2025","failed","Wed Oct 08 18:49:17 UTC 2025","v1 > Auth > Forgot password > Initiate forget password","Bank User","",""
"","80","No auth - update role","QA|Nova Bank - Infopool","Wed Oct 08 18:49:34 UTC 2025","failed","Wed Oct 08 18:49:34 UTC 2025","v1 > Users > Role > Update role","Bank Admin","",""
"","78","Get single definition","QA|Nova Bank - Infopool","Wed Oct 08 18:49:32 UTC 2025","failed","Wed Oct 08 18:49:32 UTC 2025","v1 > Static Definitions > Retrieve definition by ID","Bank Admin","",""
"","79","Get all permissions","QA|Nova Bank - Infopool","Wed Oct 08 18:49:39 UTC 2025","failed","Wed Oct 08 18:49:39 UTC 2025","v1 > Permissions > Get permissions","Bank Admin","",""
"Create a new report","82","Create Report - Duplicate name","QA|Nova Bank - Infopool","Wed Oct 08 18:49:47 UTC 2025","failed","Wed Oct 08 18:49:47 UTC 2025","v1 > Report > Create Report","Bank Admin","",""
"","79","Invalid ID - Delete Customer Comment","QA|Nova Bank - Infopool","Wed Oct 08 18:49:24 UTC 2025","failed","Wed Oct 08 18:49:24 UTC 2025","v1 > Customer 360 > Comments > delete customer comment","Bank User","",""
"","80","Invalid ID -Get Issue by ID","QA|Nova Bank - Infopool","Wed Oct 08 18:49:22 UTC 2025","failed","Wed Oct 08 18:49:22 UTC 2025","v1 > Customer 360 > Issues > get issue by Id","Bank User","",""
"","79","Add Comment to Issue","QA|Nova Bank - Infopool","Wed Oct 08 18:49:23 UTC 2025","failed","Wed Oct 08 18:49:23 UTC 2025","v1 > Customer 360 > Issues > add comment to an issue","Bank User","",""
"","78","Get events - no auth","QA|Nova Bank - Infopool","Wed Oct 08 18:49:20 UTC 2025","passed","Wed Oct 08 18:49:20 UTC 2025","v1 > Audit trail > Event","Bank User","",""
"Delete a report (soft delete)","79","Delete Report","QA|Nova Bank - Infopool","Wed Oct 08 18:49:47 UTC 2025","failed","Wed Oct 08 18:49:47 UTC 2025","v1 > Report > Delete Report","Bank Admin","",""
"","78","Get role by ID - no auth","QA|Nova Bank - Infopool","Wed Oct 08 18:49:38 UTC 2025","passed","Wed Oct 08 18:49:38 UTC 2025","v1 > Roles > Get role by ID","Bank Admin","",""
"","82","Weak password - Change password","QA|Nova Bank - Infopool","Wed Oct 08 18:49:19 UTC 2025","failed","Wed Oct 08 18:49:19 UTC 2025","v1 > Profile > Password","Bank User","",""
"","81","No_auth_add_comments","QA|Nova Bank - Infopool","Wed Oct 08 18:49:23 UTC 2025","failed","Wed Oct 08 18:49:24 UTC 2025","v1 > Customer 360 > Comments > add comment to customer","Bank User","",""
"Get a specific report by ID","80","Get Report by ID - No auth","QA|Nova Bank - Infopool","Wed Oct 08 18:49:46 UTC 2025","passed","Wed Oct 08 18:49:46 UTC 2025","v1 > Report > Get Report by Id","Bank Admin","",""
"","82","Create  organization","QA|Nova Bank - Infopool","Wed Oct 08 18:49:34 UTC 2025","failed","Wed Oct 08 18:49:34 UTC 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","79","No auth - Create  organization","QA|Nova Bank - Infopool","Wed Oct 08 18:49:34 UTC 2025","failed","Wed Oct 08 18:49:34 UTC 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","78","Invalid ID - Get single definition","QA|Nova Bank - Infopool","Wed Oct 08 18:49:32 UTC 2025","failed","Wed Oct 08 18:49:32 UTC 2025","v1 > Static Definitions > Retrieve definition by ID","Bank Admin","",""
"","78","Create roles - empty name field","QA|Nova Bank - Infopool","Wed Oct 08 18:49:38 UTC 2025","failed","Wed Oct 08 18:49:38 UTC 2025","v1 > Roles > Create role","Bank Admin","",""
"","88","Add user to an organization -user ID does not exist","QA|Nova Bank - Infopool","Wed Oct 08 18:49:37 UTC 2025","failed","Wed Oct 08 18:49:37 UTC 2025","v1 > Organizations > Users > Add users to an organization","Bank Admin","",""
"","6218","Invalid email format","QA|Nova Bank - Infopool","Wed Oct 08 18:49:11 UTC 2025","failed","Wed Oct 08 18:49:17 UTC 2025","v1 > Auth > Session > Login","Bank User","",""
"","82","successfully create corporate_adjustment","QA|Nova Bank - Infopool","Wed Oct 08 18:49:48 UTC 2025","failed","Wed Oct 08 18:49:48 UTC 2025","","corporate Adjustment","",""
"","82","Create organization - operations manager ID does not exist","QA|Nova Bank - Infopool","Wed Oct 08 18:49:35 UTC 2025","failed","Wed Oct 08 18:49:35 UTC 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","77","No Auth - Fetch all users","QA|Nova Bank - Infopool","Wed Oct 08 18:49:33 UTC 2025","passed","Wed Oct 08 18:49:33 UTC 2025","v1 > Users > Fetch users","Bank Admin","",""
"","84","User does not exist - Forgot Password","QA|Nova Bank - Infopool","Wed Oct 08 18:49:17 UTC 2025","failed","Wed Oct 08 18:49:17 UTC 2025","v1 > Auth > Forgot password > Initiate forget password","Bank User","",""
"","79","reset password","QA|Nova Bank - Infopool","Wed Oct 08 18:49:17 UTC 2025","passed","Wed Oct 08 18:49:17 UTC 2025","v1 > Auth > Forgot password > Reset password","Bank User","",""
"Get Email or SMS OTP. For OTP, you need to provide either `email` or `phone` if you are not logged in.
    `operation` can be one of: 
- LOGIN
- FORGOT_PASSWORD
- CREATE_ROLE
- UPDATE_ROLE
- DELETE_ROLE","82","Invalid Auth - Empty Channel - Get Email or SMS OTP","QA|Nova Bank - Infopool","Wed Oct 08 18:49:18 UTC 2025","failed","Wed Oct 08 18:49:18 UTC 2025","v1 > Auth > MFA > Request","Bank User","",""
"","82","Create  organization - without parent id","QA|Nova Bank - Infopool","Wed Oct 08 18:49:34 UTC 2025","failed","Wed Oct 08 18:49:34 UTC 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","82","Invalid authentication - Send user invitation token","QA|Nova Bank - Infopool","Wed Oct 08 18:49:21 UTC 2025","failed","Wed Oct 08 18:49:21 UTC 2025","v1 > Onboarding > Complete profile","Bank User","",""
"","79","Empty fields - Update definition","QA|Nova Bank - Infopool","Wed Oct 08 18:49:33 UTC 2025","failed","Wed Oct 08 18:49:33 UTC 2025","v1 > Static Definitions > Update definition","Bank Admin","",""
"","79","No auth - Update role status","QA|Nova Bank - Infopool","Wed Oct 08 18:49:38 UTC 2025","failed","Wed Oct 08 18:49:38 UTC 2025","v1 > Roles > Update role","Bank Admin","",""
"","77","Get permission by ID - No auth","QA|Nova Bank - Infopool","Wed Oct 08 18:49:38 UTC 2025","passed","Wed Oct 08 18:49:39 UTC 2025","v1 > Permissions > Get permission by ID","Bank Admin","",""
"Get Email or SMS OTP. For OTP, you need to provide either `email` or `phone` if you are not logged in.
    `operation` can be one of: 
- LOGIN
- FORGOT_PASSWORD
- CREATE_ROLE
- UPDATE_ROLE
- DELETE_ROLE","83","Empty Channel - Get Email or SMS OTP","QA|Nova Bank - Infopool","Wed Oct 08 18:49:18 UTC 2025","failed","Wed Oct 08 18:49:18 UTC 2025","v1 > Auth > MFA > Request","Bank User","",""
