"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","96","Add attachment to issue","QA|Nova Bank - Infopool","Wed Oct 15 18:48:49 UTC 2025","failed","Wed Oct 15 18:48:49 UTC 2025","v1 > Customer 360 > Issues > add attachment to issue","Bank User","",""
"","93","Fetch Customer By ID","QA|Nova Bank - Infopool","Wed Oct 15 18:48:57 UTC 2025","failed","Wed Oct 15 18:48:57 UTC 2025","v1 > Customer 360 > Fetch customer by ID","Bank User","",""
"","92","Export Report Data","QA|Nova Bank - Infopool","Wed Oct 15 18:49:16 UTC 2025","failed","Wed Oct 15 18:49:16 UTC 2025","v1 > Report > Export Report Data","Bank Admin","",""
"","90","No Auth - Search Customers","QA|Nova Bank - Infopool","Wed Oct 15 18:48:57 UTC 2025","passed","Wed Oct 15 18:48:57 UTC 2025","v1 > Customer 360 > Search for a customer > search by name","Bank User","",""
"","97","No email - Forgot Password","QA|Nova Bank - Infopool","Wed Oct 15 18:48:42 UTC 2025","failed","Wed Oct 15 18:48:43 UTC 2025","v1 > Auth > Forgot password > Initiate forget password","Bank User","",""
"Verify TOTP or OTP. For OTP, you need to provide either `email` or `phone` as the recipient if you are not logged in.
    Make sure the operation matches the one used to generate the OTP.

    `operation` can be one of: 
- LOGIN
- FORGOT_PASSWORD
- CREATE_ROLE
- UPDATE_ROLE
- DELETE_ROLE
    ","96","Invalid OTP - Verify MFA code, MFA backup code, Email or SMS OTP","QA|Nova Bank - Infopool","Wed Oct 15 18:48:43 UTC 2025","failed","Wed Oct 15 18:48:44 UTC 2025","v1 > Auth > MFA > Verify","Bank User","",""
"","93","Add user to an organization - successful","QA|Nova Bank - Infopool","Wed Oct 15 18:49:10 UTC 2025","failed","Wed Oct 15 18:49:11 UTC 2025","v1 > Organizations > Users > Add users to an organization","Bank Admin","",""
"","92","Fetch user by ID - no auth","QA|Nova Bank - Infopool","Wed Oct 15 18:49:00 UTC 2025","passed","Wed Oct 15 18:49:00 UTC 2025","v1 > Users > Fetch user by ID","Bank Admin","",""
"","102","Update profile - Invalid file size","QA|Nova Bank - Infopool","Wed Oct 15 18:48:45 UTC 2025","failed","Wed Oct 15 18:48:45 UTC 2025","v1 > Profile > update profile image","Bank User","",""
"","91","Fetch organizations by ID - No Auth","QA|Nova Bank - Infopool","Wed Oct 15 18:49:03 UTC 2025","failed","Wed Oct 15 18:49:03 UTC 2025","v1 > Organizations > Fetch organiation by ID","Bank Admin","",""
"","90","Get permission by ID - No auth","QA|Nova Bank - Infopool","Wed Oct 15 18:49:12 UTC 2025","passed","Wed Oct 15 18:49:12 UTC 2025","v1 > Permissions > Get permission by ID","Bank Admin","",""
"","93","Empty priority - Create a New Issue","QA|Nova Bank - Infopool","Wed Oct 15 18:48:48 UTC 2025","failed","Wed Oct 15 18:48:48 UTC 2025","v1 > Customer 360 > Issues > create a new issue","Bank User","",""
"","93","Update organization details by ID - incorrect operation manager ID","QA|Nova Bank - Infopool","Wed Oct 15 18:49:03 UTC 2025","failed","Wed Oct 15 18:49:03 UTC 2025","v1 > Organizations > Update organization","Bank Admin","",""
"","93","Empty authentication type - Send user invitation token","QA|Nova Bank - Infopool","Wed Oct 15 18:48:47 UTC 2025","failed","Wed Oct 15 18:48:47 UTC 2025","v1 > Onboarding > Complete profile","Bank User","",""
"","96","Get profile - successfully","QA|Nova Bank - Infopool","Wed Oct 15 18:48:45 UTC 2025","failed","Wed Oct 15 18:48:45 UTC 2025","v1 > Profile > Get profile","Bank User","",""
"","102","verifyOTP","QA|Nova Bank - Infopool","Wed Oct 15 18:48:42 UTC 2025","failed","Wed Oct 15 18:48:42 UTC 2025","v1 > Auth > Session > verify OTP","Bank User","",""
"Update an existing report","93","Update Report - Invalid id","QA|Nova Bank - Infopool","Wed Oct 15 18:49:15 UTC 2025","failed","Wed Oct 15 18:49:15 UTC 2025","v1 > Report > Update Report","Bank Admin","",""
"","90","No auth - category by id","QA|Nova Bank - Infopool","Wed Oct 15 18:49:13 UTC 2025","passed","Wed Oct 15 18:49:13 UTC 2025","v1 > Notifications > Category > Fetch category by d","Bank Admin","",""
"Delete a report (soft delete)","92","Delete Report","QA|Nova Bank - Infopool","Wed Oct 15 18:49:15 UTC 2025","failed","Wed Oct 15 18:49:15 UTC 2025","v1 > Report > Delete Report","Bank Admin","",""
"","91","Export Report Data - No auth","QA|Nova Bank - Infopool","Wed Oct 15 18:49:16 UTC 2025","passed","Wed Oct 15 18:49:16 UTC 2025","v1 > Report > Export Report Data","Bank Admin","",""
"","92","Update definition","QA|Nova Bank - Infopool","Wed Oct 15 18:48:59 UTC 2025","failed","Wed Oct 15 18:48:59 UTC 2025","v1 > Static Definitions > Update definition","Bank Admin","",""
"","92","duplicate corporate Adjustment","QA|Nova Bank - Infopool","Wed Oct 15 18:49:16 UTC 2025","failed","Wed Oct 15 18:49:16 UTC 2025","","corporate Adjustment","",""
"Get Email or SMS OTP. For OTP, you need to provide either `email` or `phone` if you are not logged in.
    `operation` can be one of: 
- LOGIN
- FORGOT_PASSWORD
- CREATE_ROLE
- UPDATE_ROLE
- DELETE_ROLE","96","Invalid Auth - Empty Channel - Get Email or SMS OTP","QA|Nova Bank - Infopool","Wed Oct 15 18:48:43 UTC 2025","failed","Wed Oct 15 18:48:43 UTC 2025","v1 > Auth > MFA > Request","Bank User","",""
"","92","Remove user from an organization - successful","QA|Nova Bank - Infopool","Wed Oct 15 18:49:11 UTC 2025","failed","Wed Oct 15 18:49:11 UTC 2025","v1 > Organizations > Users > Remove users from an organization","Bank Admin","",""
"","94","Invalid Id - Update Issue","QA|Nova Bank - Infopool","Wed Oct 15 18:48:49 UTC 2025","failed","Wed Oct 15 18:48:49 UTC 2025","v1 > Customer 360 > Issues > update issue","Bank User","",""
"Get a paginated list of reports with optional filtering","92","Get Report Objects - Question","QA|Nova Bank - Infopool","Wed Oct 15 18:49:14 UTC 2025","failed","Wed Oct 15 18:49:14 UTC 2025","v1 > Report > Get Report Object","Bank Admin","",""
"","93","No Auth - Get profile roles - successful","QA|Nova Bank - Infopool","Wed Oct 15 18:48:44 UTC 2025","passed","Wed Oct 15 18:48:44 UTC 2025","v1 > Profile > Roles","Bank User","",""
"","90","No Auth - Fetch Customers Accounts","QA|Nova Bank - Infopool","Wed Oct 15 18:48:58 UTC 2025","passed","Wed Oct 15 18:48:58 UTC 2025","v1 > Customer 360 > Fetch customer accounts","Bank User","",""
"","90","No Auth - Fetch all organizations","QA|Nova Bank - Infopool","Wed Oct 15 18:49:02 UTC 2025","passed","Wed Oct 15 18:49:03 UTC 2025","v1 > Organizations > Fetch organization","Bank Admin","",""
"","91","Generator Customers Transactions Statement - PDF","QA|Nova Bank - Infopool","Wed Oct 15 18:48:58 UTC 2025","failed","Wed Oct 15 18:48:58 UTC 2025","v1 > Customer 360 > Generate customers transaction statement","Bank User","",""
"","90","Get all definitions","QA|Nova Bank - Infopool","Wed Oct 15 18:48:59 UTC 2025","failed","Wed Oct 15 18:48:59 UTC 2025","v1 > Static Definitions > Retrieve definition by ID","Bank Admin","",""
"","91","Get profile - No Auth","QA|Nova Bank - Infopool","Wed Oct 15 18:48:45 UTC 2025","passed","Wed Oct 15 18:48:45 UTC 2025","v1 > Profile > Get profile","Bank User","",""
"","92","Search Customers","QA|Nova Bank - Infopool","Wed Oct 15 18:48:57 UTC 2025","failed","Wed Oct 15 18:48:57 UTC 2025","v1 > Customer 360 > Search for a customer > search by name","Bank User","",""
"","96","No auth - managers","QA|Nova Bank - Infopool","Wed Oct 15 18:49:11 UTC 2025","passed","Wed Oct 15 18:49:11 UTC 2025","v1 > Organizations > Managers > Fetch managers of an organization","Bank Admin","",""
"Delete a report (soft delete)","94","Delete Report - Invalid id","QA|Nova Bank - Infopool","Wed Oct 15 18:49:15 UTC 2025","failed","Wed Oct 15 18:49:16 UTC 2025","v1 > Report > Delete Report","Bank Admin","",""
"","91","Get role by ID - no auth","QA|Nova Bank - Infopool","Wed Oct 15 18:49:12 UTC 2025","passed","Wed Oct 15 18:49:12 UTC 2025","v1 > Roles > Get role by ID","Bank Admin","",""
"","92","Invalid user phone number - Search Customers","QA|Nova Bank - Infopool","Wed Oct 15 18:48:57 UTC 2025","failed","Wed Oct 15 18:48:57 UTC 2025","v1 > Customer 360 > Search for a customer > search by phone number","Bank User","",""
"","93","Create  organization - without parent id","QA|Nova Bank - Infopool","Wed Oct 15 18:49:01 UTC 2025","failed","Wed Oct 15 18:49:01 UTC 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","92","Create organization - empty city value","QA|Nova Bank - Infopool","Wed Oct 15 18:49:02 UTC 2025","failed","Wed Oct 15 18:49:02 UTC 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","89","No Auth - Search Customers","QA|Nova Bank - Infopool","Wed Oct 15 18:48:57 UTC 2025","passed","Wed Oct 15 18:48:57 UTC 2025","v1 > Customer 360 > Search for a customer > search by phone number","Bank User","",""
"","90","category by id","QA|Nova Bank - Infopool","Wed Oct 15 18:49:13 UTC 2025","failed","Wed Oct 15 18:49:13 UTC 2025","v1 > Notifications > Category > Fetch category by d","Bank Admin","",""
"","94","Get events - successful","QA|Nova Bank - Infopool","Wed Oct 15 18:48:45 UTC 2025","failed","Wed Oct 15 18:48:46 UTC 2025","v1 > Audit trail > Event","Bank User","",""
"","95","Get all Issues","QA|Nova Bank - Infopool","Wed Oct 15 18:48:48 UTC 2025","failed","Wed Oct 15 18:48:48 UTC 2025","v1 > Customer 360 > Issues > get all issues","Bank User","",""
"","91","No Auth - Get all definitions","QA|Nova Bank - Infopool","Wed Oct 15 18:48:59 UTC 2025","passed","Wed Oct 15 18:48:59 UTC 2025","v1 > Static Definitions > Retrieve definition by ID","Bank Admin","",""
