"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","31","Get profile roles - No Auth","QA|Nova Bank - Infopool","Fri Oct 17 18:55:26 UTC 2025","passed","Fri Oct 17 18:55:26 UTC 2025","v1 > Profile > Roles","Bank User","",""
"Get a paginated list of reports with optional filtering","30","Get Reports - filter by invalid category Id","QA|Nova Bank - Infopool","Fri Oct 17 18:55:32 UTC 2025","failed","Fri Oct 17 18:55:32 UTC 2025","v1 > Report > Get Report","Bank Admin","",""
"","29","Update definition","QA|Nova Bank - Infopool","Fri Oct 17 18:55:29 UTC 2025","failed","Fri Oct 17 18:55:29 UTC 2025","v1 > Static Definitions > Update definition","Bank Admin","",""
"","29","Update organization details by ID - successful","QA|Nova Bank - Infopool","Fri Oct 17 18:55:30 UTC 2025","failed","Fri Oct 17 18:55:30 UTC 2025","v1 > Organizations > Update organization","Bank Admin","",""
"","3105","duplicate corporate Adjustment","QA|Nova Bank - Infopool","Fri Oct 17 18:55:33 UTC 2025","failed","Fri Oct 17 18:55:36 UTC 2025","","corporate Adjustment","",""
"","29","No Auth - Add attachment to issue","QA|Nova Bank - Infopool","Fri Oct 17 18:55:28 UTC 2025","failed","Fri Oct 17 18:55:28 UTC 2025","v1 > Customer 360 > Issues > add attachment to issue","Bank User","",""
"","33","Create  organization","QA|Nova Bank - Infopool","Fri Oct 17 18:55:29 UTC 2025","failed","Fri Oct 17 18:55:30 UTC 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","28","Get permission by ID - successful","QA|Nova Bank - Infopool","Fri Oct 17 18:55:31 UTC 2025","failed","Fri Oct 17 18:55:31 UTC 2025","v1 > Permissions > Get permission by ID","Bank Admin","",""
"","28","search Corporate Adjustment","QA|Nova Bank - Infopool","Fri Oct 17 18:55:39 UTC 2025","failed","Fri Oct 17 18:55:39 UTC 2025","","corporate Adjustment","",""
"Get Email or SMS OTP. For OTP, you need to provide either `email` or `phone` if you are not logged in.
    `operation` can be one of: 
- LOGIN
- FORGOT_PASSWORD
- CREATE_ROLE
- UPDATE_ROLE
- DELETE_ROLE","38","Get Email or SMS OTP","QA|Nova Bank - Infopool","Fri Oct 17 18:55:25 UTC 2025","failed","Fri Oct 17 18:55:25 UTC 2025","v1 > Auth > MFA > Request","Bank User","",""
"","32","Update user - invalid action","QA|Nova Bank - Infopool","Fri Oct 17 18:55:29 UTC 2025","failed","Fri Oct 17 18:55:29 UTC 2025","v1 > Users > Update user","Bank Admin","",""
