"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","77","Update user - successful","QA|Nova Bank - Infopool","Fri Oct 31 18:57:17 UTC 2025","failed","Fri Oct 31 18:57:17 UTC 2025","v1 > Users > Update user","Bank Admin","",""
"","75","Update organization details by ID - incorrect business manager ID","QA|Nova Bank - Infopool","Fri Oct 31 18:57:19 UTC 2025","failed","Fri Oct 31 18:57:19 UTC 2025","v1 > Organizations > Update organization","Bank Admin","",""
"","76","Update role status - role does not exist","QA|Nova Bank - Infopool","Fri Oct 31 18:57:21 UTC 2025","failed","Fri Oct 31 18:57:21 UTC 2025","v1 > Roles > Update role","Bank Admin","",""
"","77","Update organization details by ID - successful","QA|Nova Bank - Infopool","Fri Oct 31 18:57:19 UTC 2025","failed","Fri Oct 31 18:57:19 UTC 2025","v1 > Organizations > Update organization","Bank Admin","",""
"","76","Search Customers","QA|Nova Bank - Infopool","Fri Oct 31 18:57:08 UTC 2025","failed","Fri Oct 31 18:57:08 UTC 2025","v1 > Customer 360 > Search for a customer > search by name","Bank User","",""
"","76","Add user to an organization - no auth","QA|Nova Bank - Infopool","Fri Oct 31 18:57:20 UTC 2025","failed","Fri Oct 31 18:57:20 UTC 2025","v1 > Organizations > Users > Add users to an organization","Bank Admin","",""
"","75","Fetch organizations by ID - successful","QA|Nova Bank - Infopool","Fri Oct 31 18:57:18 UTC 2025","failed","Fri Oct 31 18:57:19 UTC 2025","v1 > Organizations > Fetch organiation by ID","Bank Admin","",""
"","78","Invalid current password - Change password","QA|Nova Bank - Infopool","Fri Oct 31 18:57:02 UTC 2025","failed","Fri Oct 31 18:57:02 UTC 2025","v1 > Profile > Password","Bank User","",""
"Get a paginated list of reports with optional filtering","74","Get Reports Stats - No Auth","QA|Nova Bank - Infopool","Fri Oct 31 18:57:29 UTC 2025","passed","Fri Oct 31 18:57:29 UTC 2025","v1 > Report > Get Report Stats","Bank Admin","",""
"","74","Fetch Customer's Financial Summary","QA|Nova Bank - Infopool","Fri Oct 31 18:57:14 UTC 2025","failed","Fri Oct 31 18:57:14 UTC 2025","v1 > Customer 360 > Fetch customer's financial summary","Bank User","",""
"","75","Update profile - no phone number","QA|Nova Bank - Infopool","Fri Oct 31 18:57:03 UTC 2025","failed","Fri Oct 31 18:57:03 UTC 2025","v1 > Profile > Update profile","Bank User","",""
"","81","Get events - successful","QA|Nova Bank - Infopool","Fri Oct 31 18:57:03 UTC 2025","failed","Fri Oct 31 18:57:03 UTC 2025","v1 > Audit trail > Event","Bank User","",""
"","76","Get Report Data - Invalid id","QA|Nova Bank - Infopool","Fri Oct 31 18:57:30 UTC 2025","failed","Fri Oct 31 18:57:31 UTC 2025","v1 > Report > Get Report Data","Bank Admin","",""
"","78","Get profile roles - successful","QA|Nova Bank - Infopool","Fri Oct 31 18:57:02 UTC 2025","failed","Fri Oct 31 18:57:02 UTC 2025","v1 > Profile > Roles","Bank User","",""
"","74","No auth - Fetch all users in an organization","QA|Nova Bank - Infopool","Fri Oct 31 18:57:20 UTC 2025","passed","Fri Oct 31 18:57:20 UTC 2025","v1 > Organizations > Users > Fetch users in an organization","Bank Admin","",""
"","75","No auth - Delete Attachment from Issue","QA|Nova Bank - Infopool","Fri Oct 31 18:57:07 UTC 2025","failed","Fri Oct 31 18:57:07 UTC 2025","v1 > Customer 360 > Issues > delete attachment to an issue","Bank User","",""
"","76","Update definition","QA|Nova Bank - Infopool","Fri Oct 31 18:57:16 UTC 2025","failed","Fri Oct 31 18:57:16 UTC 2025","v1 > Static Definitions > Update definition","Bank Admin","",""
"","75","Fetch Customers Accounts","QA|Nova Bank - Infopool","Fri Oct 31 18:57:15 UTC 2025","failed","Fri Oct 31 18:57:15 UTC 2025","v1 > Customer 360 > Fetch customer accounts","Bank User","",""
"","81","Update profile - Invalid file size","QA|Nova Bank - Infopool","Fri Oct 31 18:57:03 UTC 2025","failed","Fri Oct 31 18:57:03 UTC 2025","v1 > Profile > update profile image","Bank User","",""
"","77","Fetch user by ID - successful","QA|Nova Bank - Infopool","Fri Oct 31 18:57:16 UTC 2025","failed","Fri Oct 31 18:57:16 UTC 2025","v1 > Users > Fetch user by ID","Bank Admin","",""
"","76","Create organization - business manager ID does not exist","QA|Nova Bank - Infopool","Fri Oct 31 18:57:18 UTC 2025","failed","Fri Oct 31 18:57:18 UTC 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","75","Update Issue","QA|Nova Bank - Infopool","Fri Oct 31 18:57:06 UTC 2025","failed","Fri Oct 31 18:57:06 UTC 2025","v1 > Customer 360 > Issues > update issue","Bank User","",""
"","75","Create roles - empty name field","QA|Nova Bank - Infopool","Fri Oct 31 18:57:21 UTC 2025","failed","Fri Oct 31 18:57:21 UTC 2025","v1 > Roles > Create role","Bank Admin","",""
"","73","Get roles - No Auth","QA|Nova Bank - Infopool","Fri Oct 31 18:57:21 UTC 2025","passed","Fri Oct 31 18:57:21 UTC 2025","v1 > Roles > Get roles","Bank Admin","",""
"","74","Get roles - successful","QA|Nova Bank - Infopool","Fri Oct 31 18:57:21 UTC 2025","passed","Fri Oct 31 18:57:21 UTC 2025","v1 > Roles > Get roles","Bank Admin","",""
"Get Email or SMS OTP. For OTP, you need to provide either `email` or `phone` if you are not logged in.
    `operation` can be one of: 
- LOGIN
- FORGOT_PASSWORD
- CREATE_ROLE
- UPDATE_ROLE
- DELETE_ROLE","86","Invalid Channel - Get Email or SMS OTP","QA|Nova Bank - Infopool","Fri Oct 31 18:57:01 UTC 2025","failed","Fri Oct 31 18:57:01 UTC 2025","v1 > Auth > MFA > Request","Bank User","",""
"Create a new report","74","Create Report - Duplicate name","QA|Nova Bank - Infopool","Fri Oct 31 18:57:30 UTC 2025","failed","Fri Oct 31 18:57:30 UTC 2025","v1 > Report > Create Report","Bank Admin","",""
"Verify TOTP or OTP. For OTP, you need to provide either `email` or `phone` as the recipient if you are not logged in.
    Make sure the operation matches the one used to generate the OTP.

    `operation` can be one of: 
- LOGIN
- FORGOT_PASSWORD
- CREATE_ROLE
- UPDATE_ROLE
- DELETE_ROLE
    ","77","Invalid OTP - Verify MFA code, MFA backup code, Email or SMS OTP","QA|Nova Bank - Infopool","Fri Oct 31 18:57:02 UTC 2025","failed","Fri Oct 31 18:57:02 UTC 2025","v1 > Auth > MFA > Verify","Bank User","",""
"","7029","Successful login","QA|Nova Bank - Infopool","Fri Oct 31 18:56:53 UTC 2025","failed","Fri Oct 31 18:57:00 UTC 2025","v1 > Auth > Session > Login","Bank User","",""
"","73","successful dashboard embed","QA|Nova Bank - Infopool","Fri Oct 31 18:57:15 UTC 2025","failed","Fri Oct 31 18:57:15 UTC 2025","embed dashboard","Bank User","",""
"","77","Invalid ID - Add Comment to Customer","QA|Nova Bank - Infopool","Fri Oct 31 18:57:07 UTC 2025","failed","Fri Oct 31 18:57:07 UTC 2025","v1 > Customer 360 > Comments > add comment to customer","Bank User","",""
"","83","No email - Forgot Password","QA|Nova Bank - Infopool","Fri Oct 31 18:57:01 UTC 2025","failed","Fri Oct 31 18:57:01 UTC 2025","v1 > Auth > Forgot password > Initiate forget password","Bank User","",""
"","75","No Auth - Get all Issues","QA|Nova Bank - Infopool","Fri Oct 31 18:57:06 UTC 2025","passed","Fri Oct 31 18:57:06 UTC 2025","v1 > Customer 360 > Issues > get all issues","Bank User","",""
"","82","User does not exist - Forgot Password","QA|Nova Bank - Infopool","Fri Oct 31 18:57:01 UTC 2025","failed","Fri Oct 31 18:57:01 UTC 2025","v1 > Auth > Forgot password > Initiate forget password","Bank User","",""
"","82","Create_issue_without_attachment","QA|Nova Bank - Infopool","Fri Oct 31 18:57:05 UTC 2025","failed","Fri Oct 31 18:57:06 UTC 2025","v1 > Customer 360 > Issues > create a new issue","Bank User","",""
"Update an existing report","71","Update Report","QA|Nova Bank - Infopool","Fri Oct 31 18:57:30 UTC 2025","passed","Fri Oct 31 18:57:30 UTC 2025","v1 > Report > Update Report","Bank Admin","",""
"","74","No Auth - Add Comment to Issue","QA|Nova Bank - Infopool","Fri Oct 31 18:57:06 UTC 2025","failed","Fri Oct 31 18:57:06 UTC 2025","v1 > Customer 360 > Issues > add comment to an issue","Bank User","",""
"","75","No Auth - Fetch Customers Accounts","QA|Nova Bank - Infopool","Fri Oct 31 18:57:15 UTC 2025","failed","Fri Oct 31 18:57:15 UTC 2025","v1 > Customer 360 > Fetch customer accounts","Bank User","",""
"","75","audit trail - No Auth","QA|Nova Bank - Infopool","Fri Oct 31 18:57:04 UTC 2025","passed","Fri Oct 31 18:57:04 UTC 2025","v1 > Audit trail > Audit trail","Bank User","",""
"","74","search Corporate Adjustment","QA|Nova Bank - Infopool","Fri Oct 31 18:57:31 UTC 2025","failed","Fri Oct 31 18:57:31 UTC 2025","","corporate Adjustment","",""
"","74","Fetch all users","QA|Nova Bank - Infopool","Fri Oct 31 18:57:16 UTC 2025","failed","Fri Oct 31 18:57:16 UTC 2025","v1 > Users > Fetch users","Bank Admin","",""
"","77","Empty password - Send user invitation token","QA|Nova Bank - Infopool","Fri Oct 31 18:57:05 UTC 2025","failed","Fri Oct 31 18:57:05 UTC 2025","v1 > Onboarding > Complete profile","Bank User","",""
"","73","No_auth_add_comments","QA|Nova Bank - Infopool","Fri Oct 31 18:57:07 UTC 2025","failed","Fri Oct 31 18:57:07 UTC 2025","v1 > Customer 360 > Comments > add comment to customer","Bank User","",""
"Get a specific report by ID","77","Get Report by UUID - Invalid uuid","QA|Nova Bank - Infopool","Fri Oct 31 18:57:29 UTC 2025","failed","Fri Oct 31 18:57:30 UTC 2025","v1 > Report > Get Report by UUID","Bank Admin","",""
"","76","managers","QA|Nova Bank - Infopool","Fri Oct 31 18:57:20 UTC 2025","failed","Fri Oct 31 18:57:20 UTC 2025","v1 > Organizations > Managers > Fetch managers of an organization","Bank Admin","",""
"","75","Update organization details by ID - No auth","QA|Nova Bank - Infopool","Fri Oct 31 18:57:19 UTC 2025","failed","Fri Oct 31 18:57:19 UTC 2025","v1 > Organizations > Update organization","Bank Admin","",""
"Get a paginated list of reports with optional filtering","74","Get Report Objects - Question","QA|Nova Bank - Infopool","Fri Oct 31 18:57:29 UTC 2025","failed","Fri Oct 31 18:57:29 UTC 2025","v1 > Report > Get Report Object","Bank Admin","",""
