"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","156","No Auth - Fetch all users","QA|Nova Bank - Infopool","Sun Nov 09 20:11:04 UTC 2025","broken","Sun Nov 09 20:11:05 UTC 2025","v1 > Users > Fetch users","Bank Admin","",""
"","146","No auth - Fetch all users in an organization","QA|Nova Bank - Infopool","Sun Nov 09 20:11:12 UTC 2025","broken","Sun Nov 09 20:11:12 UTC 2025","v1 > Organizations > Users > Fetch users in an organization","Bank Admin","",""
"","150","Fetch user by ID - invalid ID","QA|Nova Bank - Infopool","Sun Nov 09 20:11:04 UTC 2025","broken","Sun Nov 09 20:11:04 UTC 2025","v1 > Users > Fetch user by ID","Bank Admin","",""
"","147","Logout session successfully","QA|Nova Bank - Infopool","Sun Nov 09 20:11:16 UTC 2025","broken","Sun Nov 09 20:11:16 UTC 2025","v1 > Logout","Bank Admin","",""
"","144","No auth - get all category","QA|Nova Bank - Infopool","Sun Nov 09 20:11:16 UTC 2025","broken","Sun Nov 09 20:11:16 UTC 2025","v1 > Notifications > Category > Fetch all category","Bank Admin","",""
"","144","Invalid name - Search Customers","QA|Nova Bank - Infopool","Sun Nov 09 20:11:00 UTC 2025","broken","Sun Nov 09 20:11:00 UTC 2025","v1 > Customer 360 > Search for a customer > search by name","Bank User","",""
"","148","Add attachment to issue","QA|Nova Bank - Infopool","Sun Nov 09 20:10:57 UTC 2025","broken","Sun Nov 09 20:10:57 UTC 2025","v1 > Customer 360 > Issues > add attachment to issue","Bank User","",""
"Get Email or SMS OTP. For OTP, you need to provide either `email` or `phone` if you are not logged in.
    `operation` can be one of: 
- LOGIN
- FORGOT_PASSWORD
- CREATE_ROLE
- UPDATE_ROLE
- DELETE_ROLE","144","Empty Operation - Get Email or SMS OTP","QA|Nova Bank - Infopool","Sun Nov 09 20:10:49 UTC 2025","broken","Sun Nov 09 20:10:49 UTC 2025","v1 > Auth > MFA > Request","Bank User","",""
"","146","Fetch Customers Transactions","QA|Nova Bank - Infopool","Sun Nov 09 20:11:01 UTC 2025","broken","Sun Nov 09 20:11:01 UTC 2025","v1 > Customer 360 > Fetch customers transaction","Bank User","",""
"","139","Create roles - No auth","QA|Nova Bank - Infopool","Sun Nov 09 20:11:14 UTC 2025","broken","Sun Nov 09 20:11:14 UTC 2025","v1 > Roles > Create role","Bank Admin","",""
"","145","Update profile - no auth","QA|Nova Bank - Infopool","Sun Nov 09 20:10:52 UTC 2025","broken","Sun Nov 09 20:10:52 UTC 2025","v1 > Profile > Update profile","Bank User","",""
"","146","Fetch sub-organizations of a parent organization","QA|Nova Bank - Infopool","Sun Nov 09 20:11:12 UTC 2025","broken","Sun Nov 09 20:11:12 UTC 2025","v1 > Organizations > Sub-organizations > Fetch sub-organizations","Bank Admin","",""
"","143","Create roles - empty name field","QA|Nova Bank - Infopool","Sun Nov 09 20:11:14 UTC 2025","broken","Sun Nov 09 20:11:14 UTC 2025","v1 > Roles > Create role","Bank Admin","",""
"","145","Export Report Data - No auth","QA|Nova Bank - Infopool","Sun Nov 09 20:11:21 UTC 2025","broken","Sun Nov 09 20:11:21 UTC 2025","v1 > Report > Export Report Data","Bank Admin","",""
"","157","No Auth - Add attachment to issue","QA|Nova Bank - Infopool","Sun Nov 09 20:10:57 UTC 2025","broken","Sun Nov 09 20:10:57 UTC 2025","v1 > Customer 360 > Issues > add attachment to issue","Bank User","",""
"","161","verifyOTP","QA|Nova Bank - Infopool","Sun Nov 09 20:10:47 UTC 2025","broken","Sun Nov 09 20:10:48 UTC 2025","v1 > Auth > Session > verify OTP","Bank User","",""
"","137","Get all permissions","QA|Nova Bank - Infopool","Sun Nov 09 20:11:15 UTC 2025","broken","Sun Nov 09 20:11:15 UTC 2025","v1 > Permissions > Get permissions","Bank Admin","",""
"","148","Fetch organizations by ID - No Auth","QA|Nova Bank - Infopool","Sun Nov 09 20:11:10 UTC 2025","broken","Sun Nov 09 20:11:10 UTC 2025","v1 > Organizations > Fetch organiation by ID","Bank Admin","",""
"","144","Get Report Data - No auth","QA|Nova Bank - Infopool","Sun Nov 09 20:11:21 UTC 2025","broken","Sun Nov 09 20:11:21 UTC 2025","v1 > Report > Get Report Data","Bank Admin","",""
"","143","Get events - no auth","QA|Nova Bank - Infopool","Sun Nov 09 20:10:53 UTC 2025","broken","Sun Nov 09 20:10:53 UTC 2025","v1 > Audit trail > Event","Bank User","",""
"","149","Empty current password - Change password","QA|Nova Bank - Infopool","Sun Nov 09 20:10:51 UTC 2025","broken","Sun Nov 09 20:10:51 UTC 2025","v1 > Profile > Password","Bank User","",""
"","138","Get role by ID - invalid ID","QA|Nova Bank - Infopool","Sun Nov 09 20:11:15 UTC 2025","broken","Sun Nov 09 20:11:15 UTC 2025","v1 > Roles > Get role by ID","Bank Admin","",""
"","146","Logout session - no session","QA|Nova Bank - Infopool","Sun Nov 09 20:11:16 UTC 2025","broken","Sun Nov 09 20:11:17 UTC 2025","v1 > Logout","Bank Admin","",""
"Get a paginated list of reports with optional filtering","145","Get Reports - No auth","QA|Nova Bank - Infopool","Sun Nov 09 20:11:17 UTC 2025","broken","Sun Nov 09 20:11:17 UTC 2025","v1 > Report > Get Report","Bank Admin","",""
