"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","89","Create roles - empty name field","QA|Nova Bank - Infopool","Wed Nov 12 18:47:30 UTC 2025","broken","Wed Nov 12 18:47:31 UTC 2025","v1 > Roles > Create role","Bank Admin","",""
"","97","User does not exist - Forgot Password","QA|Nova Bank - Infopool","Wed Nov 12 18:47:14 UTC 2025","broken","Wed Nov 12 18:47:14 UTC 2025","v1 > Auth > Forgot password > Initiate forget password","Bank User","",""
"","96","Create organization - no country ID","QA|Nova Bank - Infopool","Wed Nov 12 18:47:27 UTC 2025","broken","Wed Nov 12 18:47:27 UTC 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","91","Fetch user by ID - successful","QA|Nova Bank - Infopool","Wed Nov 12 18:47:25 UTC 2025","broken","Wed Nov 12 18:47:25 UTC 2025","v1 > Users > Fetch user by ID","Bank Admin","",""
"","92","Invalid authentication - Send user invitation token","QA|Nova Bank - Infopool","Wed Nov 12 18:47:18 UTC 2025","broken","Wed Nov 12 18:47:18 UTC 2025","v1 > Onboarding > Complete profile","Bank User","",""
"","94","Get Report Data - Dashboard","QA|Nova Bank - Infopool","Wed Nov 12 18:47:34 UTC 2025","broken","Wed Nov 12 18:47:35 UTC 2025","v1 > Report > Get Report Data","Bank Admin","",""
"","91","No auth - Fetch sub-organizations of a parent organization","QA|Nova Bank - Infopool","Wed Nov 12 18:47:29 UTC 2025","broken","Wed Nov 12 18:47:29 UTC 2025","v1 > Organizations > Sub-organizations > Fetch sub-organizations","Bank Admin","",""
"","97","Empty new password - Change password","QA|Nova Bank - Infopool","Wed Nov 12 18:47:16 UTC 2025","broken","Wed Nov 12 18:47:16 UTC 2025","v1 > Profile > Password","Bank User","",""
"Get a specific report by ID","92","Get Report by ID","QA|Nova Bank - Infopool","Wed Nov 12 18:47:33 UTC 2025","broken","Wed Nov 12 18:47:33 UTC 2025","v1 > Report > Get Report by Id","Bank Admin","",""
"","98","Export Report Data","QA|Nova Bank - Infopool","Wed Nov 12 18:47:35 UTC 2025","broken","Wed Nov 12 18:47:35 UTC 2025","v1 > Report > Export Report Data","Bank Admin","",""
"","92","Get profile roles - No Auth","QA|Nova Bank - Infopool","Wed Nov 12 18:47:16 UTC 2025","broken","Wed Nov 12 18:47:16 UTC 2025","v1 > Profile > Roles","Bank User","",""
"","101","Update profile","QA|Nova Bank - Infopool","Wed Nov 12 18:47:17 UTC 2025","broken","Wed Nov 12 18:47:17 UTC 2025","v1 > Profile > update profile image","Bank User","",""
"Get Email or SMS OTP. For OTP, you need to provide either `email` or `phone` if you are not logged in.
    `operation` can be one of: 
- LOGIN
- FORGOT_PASSWORD
- CREATE_ROLE
- UPDATE_ROLE
- DELETE_ROLE","99","Invalid Operation - Get Email or SMS OTP","QA|Nova Bank - Infopool","Wed Nov 12 18:47:15 UTC 2025","broken","Wed Nov 12 18:47:15 UTC 2025","v1 > Auth > MFA > Request","Bank User","",""
"","92","Delete organization details by ID - successful","QA|Nova Bank - Infopool","Wed Nov 12 18:47:29 UTC 2025","broken","Wed Nov 12 18:47:29 UTC 2025","v1 > Organizations > Delete organization","Bank Admin","",""
"","91","Update organization details by ID - incorrect business manager ID","QA|Nova Bank - Infopool","Wed Nov 12 18:47:29 UTC 2025","broken","Wed Nov 12 18:47:29 UTC 2025","v1 > Organizations > Update organization","Bank Admin","",""
"","89","No Auth - Get Issue by ID","QA|Nova Bank - Infopool","Wed Nov 12 18:47:20 UTC 2025","broken","Wed Nov 12 18:47:20 UTC 2025","v1 > Customer 360 > Issues > get issue by Id","Bank User","",""
"","92","Update role status - role does not exist","QA|Nova Bank - Infopool","Wed Nov 12 18:47:31 UTC 2025","broken","Wed Nov 12 18:47:31 UTC 2025","v1 > Roles > Update role","Bank Admin","",""
"","91","Fetch all users in an organization","QA|Nova Bank - Infopool","Wed Nov 12 18:47:29 UTC 2025","broken","Wed Nov 12 18:47:29 UTC 2025","v1 > Organizations > Users > Fetch users in an organization","Bank Admin","",""
"","92","Empty current password - Change password","QA|Nova Bank - Infopool","Wed Nov 12 18:47:16 UTC 2025","broken","Wed Nov 12 18:47:16 UTC 2025","v1 > Profile > Password","Bank User","",""
"","91","Add user to an organization -user ID does not exist","QA|Nova Bank - Infopool","Wed Nov 12 18:47:29 UTC 2025","broken","Wed Nov 12 18:47:30 UTC 2025","v1 > Organizations > Users > Add users to an organization","Bank Admin","",""
"","90","No Auth - Get profile roles - successful","QA|Nova Bank - Infopool","Wed Nov 12 18:47:16 UTC 2025","broken","Wed Nov 12 18:47:16 UTC 2025","v1 > Profile > Roles","Bank User","",""
"","122","Create a New Issue","QA|Nova Bank - Infopool","Wed Nov 12 18:47:19 UTC 2025","broken","Wed Nov 12 18:47:19 UTC 2025","v1 > Customer 360 > Issues > create a new issue","Bank User","",""
"","91","Fetch all users","QA|Nova Bank - Infopool","Wed Nov 12 18:47:25 UTC 2025","broken","Wed Nov 12 18:47:25 UTC 2025","v1 > Users > Fetch users","Bank Admin","",""
"","88","No Auth - Fetch Customer Comments","QA|Nova Bank - Infopool","Wed Nov 12 18:47:21 UTC 2025","broken","Wed Nov 12 18:47:21 UTC 2025","v1 > Customer 360 > Comments > fetch customer comment","Bank User","",""
"Get a specific report by ID","98","Get Report by UUID - No auth","QA|Nova Bank - Infopool","Wed Nov 12 18:47:33 UTC 2025","broken","Wed Nov 12 18:47:33 UTC 2025","v1 > Report > Get Report by UUID","Bank Admin","",""
"Get a paginated list of reports with optional filtering","92","Get Reports Stats","QA|Nova Bank - Infopool","Wed Nov 12 18:47:32 UTC 2025","broken","Wed Nov 12 18:47:32 UTC 2025","v1 > Report > Get Report Stats","Bank Admin","",""
"","93","Invalid ID - Add Comment to Customer","QA|Nova Bank - Infopool","Wed Nov 12 18:47:21 UTC 2025","broken","Wed Nov 12 18:47:21 UTC 2025","v1 > Customer 360 > Comments > add comment to customer","Bank User","",""
