"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","52","No Auth - Update Issue","QA|Nova Bank - Infopool","Wed Nov 19 18:48:29 UTC 2025","broken","Wed Nov 19 18:48:29 UTC 2025","v1 > Customer 360 > Issues > update issue","Bank User","",""
"","55","Fetch organizations by ID - No Auth","QA|Nova Bank - Infopool","Wed Nov 19 18:48:34 UTC 2025","broken","Wed Nov 19 18:48:34 UTC 2025","v1 > Organizations > Fetch organiation by ID","Bank Admin","",""
"","55","Weak password - Change password","QA|Nova Bank - Infopool","Wed Nov 19 18:48:27 UTC 2025","broken","Wed Nov 19 18:48:27 UTC 2025","v1 > Profile > Password","Bank User","",""
"","57","Add user to an organization - no auth","QA|Nova Bank - Infopool","Wed Nov 19 18:48:35 UTC 2025","broken","Wed Nov 19 18:48:35 UTC 2025","v1 > Organizations > Users > Add users to an organization","Bank Admin","",""
"","54","No Auth - Fetch Customer's Financial Summary","QA|Nova Bank - Infopool","Wed Nov 19 18:48:31 UTC 2025","broken","Wed Nov 19 18:48:31 UTC 2025","v1 > Customer 360 > Fetch customer's financial summary","Bank User","",""
"","80","Invalid email format","QA|Nova Bank - Infopool","Wed Nov 19 18:48:25 UTC 2025","broken","Wed Nov 19 18:48:25 UTC 2025","v1 > Auth > Session > Login","Bank User","",""
"","59","verifyOTP","QA|Nova Bank - Infopool","Wed Nov 19 18:48:25 UTC 2025","broken","Wed Nov 19 18:48:25 UTC 2025","v1 > Auth > Session > verify OTP","Bank User","",""
"","55","Get all definitions","QA|Nova Bank - Infopool","Wed Nov 19 18:48:32 UTC 2025","broken","Wed Nov 19 18:48:32 UTC 2025","v1 > Static Definitions > Retrieve definition by ID","Bank Admin","",""
"","51","Send user invitation token - successful","QA|Nova Bank - Infopool","Wed Nov 19 18:48:28 UTC 2025","broken","Wed Nov 19 18:48:28 UTC 2025","v1 > Onboarding > Complete profile","Bank User","",""
"","56","Search Customers","QA|Nova Bank - Infopool","Wed Nov 19 18:48:30 UTC 2025","broken","Wed Nov 19 18:48:31 UTC 2025","v1 > Customer 360 > Search for a customer > search by name","Bank User","",""
"","54","Fetch Customer By ID - invalid id","QA|Nova Bank - Infopool","Wed Nov 19 18:48:31 UTC 2025","broken","Wed Nov 19 18:48:31 UTC 2025","v1 > Customer 360 > Fetch customer by ID","Bank User","",""
"Create a new report","55","Create Report","QA|Nova Bank - Infopool","Wed Nov 19 18:48:37 UTC 2025","broken","Wed Nov 19 18:48:38 UTC 2025","v1 > Report > Create Report","Bank Admin","",""
"Get a paginated list of reports with optional filtering","55","Get Reports","QA|Nova Bank - Infopool","Wed Nov 19 18:48:37 UTC 2025","broken","Wed Nov 19 18:48:37 UTC 2025","v1 > Report > Get Report","Bank Admin","",""
"Get a specific report by ID","53","Get Report by UUID - No auth","QA|Nova Bank - Infopool","Wed Nov 19 18:48:37 UTC 2025","broken","Wed Nov 19 18:48:37 UTC 2025","v1 > Report > Get Report by UUID","Bank Admin","",""
"","55","Add user to an organization - successful","QA|Nova Bank - Infopool","Wed Nov 19 18:48:35 UTC 2025","broken","Wed Nov 19 18:48:35 UTC 2025","v1 > Organizations > Users > Add users to an organization","Bank Admin","",""
"","51","Delete organization details by ID - successful","QA|Nova Bank - Infopool","Wed Nov 19 18:48:35 UTC 2025","broken","Wed Nov 19 18:48:35 UTC 2025","v1 > Organizations > Delete organization","Bank Admin","",""
