"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","128","Invalid Id - Update Issue","QA|Nova Bank - Infopool","Fri Nov 21 18:55:58 UTC 2025","broken","Fri Nov 21 18:55:58 UTC 2025","v1 > Customer 360 > Issues > update issue","Bank User","",""
"","142","Fetch Customers Channels","QA|Nova Bank - Infopool","Fri Nov 21 18:56:03 UTC 2025","broken","Fri Nov 21 18:56:03 UTC 2025","v1 > Customer 360 > Fetch customer channel","Bank User","",""
"","126","No auth - get user role","QA|Nova Bank - Infopool","Fri Nov 21 18:56:06 UTC 2025","broken","Fri Nov 21 18:56:06 UTC 2025","v1 > Users > Role > Get role","Bank Admin","",""
"","139","Fetch all users","QA|Nova Bank - Infopool","Fri Nov 21 18:56:05 UTC 2025","broken","Fri Nov 21 18:56:05 UTC 2025","v1 > Users > Fetch users","Bank Admin","",""
"","135","Update profile","QA|Nova Bank - Infopool","Fri Nov 21 18:55:54 UTC 2025","broken","Fri Nov 21 18:55:54 UTC 2025","v1 > Profile > update profile image","Bank User","",""
"","123","Fetch all organizations","QA|Nova Bank - Infopool","Fri Nov 21 18:56:09 UTC 2025","broken","Fri Nov 21 18:56:09 UTC 2025","v1 > Organizations > Fetch organization","Bank Admin","",""
"Get a specific report by ID","130","Get Report by ID - No auth","QA|Nova Bank - Infopool","Fri Nov 21 18:56:16 UTC 2025","broken","Fri Nov 21 18:56:17 UTC 2025","v1 > Report > Get Report by Id","Bank Admin","",""
"","128","Update Issue","QA|Nova Bank - Infopool","Fri Nov 21 18:55:58 UTC 2025","broken","Fri Nov 21 18:55:58 UTC 2025","v1 > Customer 360 > Issues > update issue","Bank User","",""
"","146","Get profile roles - No Auth","QA|Nova Bank - Infopool","Fri Nov 21 18:55:52 UTC 2025","broken","Fri Nov 21 18:55:52 UTC 2025","v1 > Profile > Roles","Bank User","",""
"","123","No Auth - Update definition","QA|Nova Bank - Infopool","Fri Nov 21 18:56:04 UTC 2025","broken","Fri Nov 21 18:56:04 UTC 2025","v1 > Static Definitions > Update definition","Bank Admin","",""
"","129","Invalid attachment id - Delete Attachment from Issue","QA|Nova Bank - Infopool","Fri Nov 21 18:55:59 UTC 2025","broken","Fri Nov 21 18:55:59 UTC 2025","v1 > Customer 360 > Issues > delete attachment to an issue","Bank User","",""
"","127","Fetch Customer By ID no Auth","QA|Nova Bank - Infopool","Fri Nov 21 18:56:01 UTC 2025","broken","Fri Nov 21 18:56:02 UTC 2025","v1 > Customer 360 > Fetch customer by ID","Bank User","",""
"","131","audit-search","QA|Nova Bank - Infopool","Fri Nov 21 18:55:55 UTC 2025","broken","Fri Nov 21 18:55:55 UTC 2025","v1 > Audit trail > Audit trail","Bank User","",""
"Get a paginated list of reports with optional filtering","122","Get Reports Stats - No Auth","QA|Nova Bank - Infopool","Fri Nov 21 18:56:16 UTC 2025","broken","Fri Nov 21 18:56:16 UTC 2025","v1 > Report > Get Report Stats","Bank Admin","",""
"","126","get user role","QA|Nova Bank - Infopool","Fri Nov 21 18:56:06 UTC 2025","broken","Fri Nov 21 18:56:06 UTC 2025","v1 > Users > Role > Get role","Bank Admin","",""
"","126","No Auth - Fetch all users","QA|Nova Bank - Infopool","Fri Nov 21 18:56:05 UTC 2025","broken","Fri Nov 21 18:56:05 UTC 2025","v1 > Users > Fetch users","Bank Admin","",""
"","144","Update profile - No Auth","QA|Nova Bank - Infopool","Fri Nov 21 18:55:54 UTC 2025","broken","Fri Nov 21 18:55:54 UTC 2025","v1 > Profile > update profile image","Bank User","",""
"","121","Invalid ID - Delete Customer Comment","QA|Nova Bank - Infopool","Fri Nov 21 18:56:00 UTC 2025","broken","Fri Nov 21 18:56:00 UTC 2025","v1 > Customer 360 > Comments > delete customer comment","Bank User","",""
"","143","Search Customers","QA|Nova Bank - Infopool","Fri Nov 21 18:56:01 UTC 2025","broken","Fri Nov 21 18:56:01 UTC 2025","v1 > Customer 360 > Search for a customer > search by phone number","Bank User","",""
"","128","ID does not exist - Get single definition","QA|Nova Bank - Infopool","Fri Nov 21 18:56:04 UTC 2025","broken","Fri Nov 21 18:56:04 UTC 2025","v1 > Static Definitions > Retrieve definition by ID","Bank Admin","",""
