"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","143","Get all permissions","QA|Nova Bank - Infopool","Wed Nov 26 18:47:20 UTC 2025","broken","Wed Nov 26 18:47:20 UTC 2025","v1 > Permissions > Get permissions","Bank Admin","",""
"","144","Empty priority - Create a New Issue","QA|Nova Bank - Infopool","Wed Nov 26 18:47:02 UTC 2025","broken","Wed Nov 26 18:47:02 UTC 2025","v1 > Customer 360 > Issues > create a new issue","Bank User","",""
"","140","Empty authentication type - Send user invitation token","QA|Nova Bank - Infopool","Wed Nov 26 18:47:01 UTC 2025","broken","Wed Nov 26 18:47:01 UTC 2025","v1 > Onboarding > Complete profile","Bank User","",""
"","142","User does not exist - Forgot Password","QA|Nova Bank - Infopool","Wed Nov 26 18:46:54 UTC 2025","broken","Wed Nov 26 18:46:55 UTC 2025","v1 > Auth > Forgot password > Initiate forget password","Bank User","",""
"","150","Delete Customer Comment","QA|Nova Bank - Infopool","Wed Nov 26 18:47:05 UTC 2025","broken","Wed Nov 26 18:47:05 UTC 2025","v1 > Customer 360 > Comments > delete customer comment","Bank User","",""
"","141","Export Report Data - Invalid format","QA|Nova Bank - Infopool","Wed Nov 26 18:47:26 UTC 2025","broken","Wed Nov 26 18:47:26 UTC 2025","v1 > Report > Export Report Data","Bank Admin","",""
"","136","Invalid name - Search Customers","QA|Nova Bank - Infopool","Wed Nov 26 18:47:06 UTC 2025","broken","Wed Nov 26 18:47:06 UTC 2025","v1 > Customer 360 > Search for a customer > search by name","Bank User","",""
"","145","Fetch user by ID - invalid ID","QA|Nova Bank - Infopool","Wed Nov 26 18:47:10 UTC 2025","broken","Wed Nov 26 18:47:10 UTC 2025","v1 > Users > Fetch user by ID","Bank Admin","",""
"","136","Fetch all users","QA|Nova Bank - Infopool","Wed Nov 26 18:47:10 UTC 2025","broken","Wed Nov 26 18:47:11 UTC 2025","v1 > Users > Fetch users","Bank Admin","",""
"","135","Update Customer Comment","QA|Nova Bank - Infopool","Wed Nov 26 18:47:05 UTC 2025","broken","Wed Nov 26 18:47:05 UTC 2025","v1 > Customer 360 > Comments > update comment to customer","Bank User","",""
"","142","audit-search","QA|Nova Bank - Infopool","Wed Nov 26 18:47:00 UTC 2025","broken","Wed Nov 26 18:47:00 UTC 2025","v1 > Audit trail > Audit trail","Bank User","",""
"","147","No Auth - Fetch Customer's Financial Summary","QA|Nova Bank - Infopool","Wed Nov 26 18:47:07 UTC 2025","broken","Wed Nov 26 18:47:07 UTC 2025","v1 > Customer 360 > Fetch customer's financial summary","Bank User","",""
"Get a paginated list of reports with optional filtering","138","Get Reports - No auth","QA|Nova Bank - Infopool","Wed Nov 26 18:47:21 UTC 2025","broken","Wed Nov 26 18:47:22 UTC 2025","v1 > Report > Get Report","Bank Admin","",""
"","144","Create  organization","QA|Nova Bank - Infopool","Wed Nov 26 18:47:12 UTC 2025","broken","Wed Nov 26 18:47:12 UTC 2025","v1 > Organizations > Create organization","Bank Admin","",""
"Get a paginated list of reports with optional filtering","135","Get Report Objects - No Auth","QA|Nova Bank - Infopool","Wed Nov 26 18:47:22 UTC 2025","broken","Wed Nov 26 18:47:22 UTC 2025","v1 > Report > Get Report Object","Bank Admin","",""
"","144","Fetch organizations by ID - No Auth","QA|Nova Bank - Infopool","Wed Nov 26 18:47:14 UTC 2025","broken","Wed Nov 26 18:47:15 UTC 2025","v1 > Organizations > Fetch organiation by ID","Bank Admin","",""
"Get Email or SMS OTP. For OTP, you need to provide either `email` or `phone` if you are not logged in.
    `operation` can be one of: 
- LOGIN
- FORGOT_PASSWORD
- CREATE_ROLE
- UPDATE_ROLE
- DELETE_ROLE","147","Invalid Channel - Get Email or SMS OTP","QA|Nova Bank - Infopool","Wed Nov 26 18:46:55 UTC 2025","broken","Wed Nov 26 18:46:55 UTC 2025","v1 > Auth > MFA > Request","Bank User","",""
"","141","Invalid user phone number - Search Customers","QA|Nova Bank - Infopool","Wed Nov 26 18:47:06 UTC 2025","broken","Wed Nov 26 18:47:06 UTC 2025","v1 > Customer 360 > Search for a customer > search by phone number","Bank User","",""
"","145","Add user to an organization - successful","QA|Nova Bank - Infopool","Wed Nov 26 18:47:17 UTC 2025","broken","Wed Nov 26 18:47:17 UTC 2025","v1 > Organizations > Users > Add users to an organization","Bank Admin","",""
"","143","No Auth - Fetch Customers Accounts","QA|Nova Bank - Infopool","Wed Nov 26 18:47:08 UTC 2025","broken","Wed Nov 26 18:47:08 UTC 2025","v1 > Customer 360 > Fetch customer accounts","Bank User","",""
"","140","Search Customers","QA|Nova Bank - Infopool","Wed Nov 26 18:47:06 UTC 2025","broken","Wed Nov 26 18:47:06 UTC 2025","v1 > Customer 360 > Search for a customer > search by name","Bank User","",""
"","139","Update user - invalid action","QA|Nova Bank - Infopool","Wed Nov 26 18:47:11 UTC 2025","broken","Wed Nov 26 18:47:11 UTC 2025","v1 > Users > Update user","Bank Admin","",""
"Get a specific report by ID","139","Get Report by UUID - Invalid uuid","QA|Nova Bank - Infopool","Wed Nov 26 18:47:23 UTC 2025","broken","Wed Nov 26 18:47:23 UTC 2025","v1 > Report > Get Report by UUID","Bank Admin","",""
"","144","Forgot password - successful","QA|Nova Bank - Infopool","Wed Nov 26 18:46:54 UTC 2025","broken","Wed Nov 26 18:46:54 UTC 2025","v1 > Auth > Forgot password > Initiate forget password","Bank User","",""
"Create a new report","138","Create Report - Duplicate name","QA|Nova Bank - Infopool","Wed Nov 26 18:47:24 UTC 2025","broken","Wed Nov 26 18:47:24 UTC 2025","v1 > Report > Create Report","Bank Admin","",""
"","141","Add Comment to Issue","QA|Nova Bank - Infopool","Wed Nov 26 18:47:03 UTC 2025","broken","Wed Nov 26 18:47:03 UTC 2025","v1 > Customer 360 > Issues > add comment to an issue","Bank User","",""
"","148","Logout session successfully","QA|Nova Bank - Infopool","Wed Nov 26 18:47:21 UTC 2025","broken","Wed Nov 26 18:47:21 UTC 2025","v1 > Logout","Bank Admin","",""
"","148","Get profile - No Auth","QA|Nova Bank - Infopool","Wed Nov 26 18:46:58 UTC 2025","broken","Wed Nov 26 18:46:58 UTC 2025","v1 > Profile > Get profile","Bank User","",""
"Get a specific report by ID","139","Get Report by UUID - No auth","QA|Nova Bank - Infopool","Wed Nov 26 18:47:23 UTC 2025","broken","Wed Nov 26 18:47:23 UTC 2025","v1 > Report > Get Report by UUID","Bank Admin","",""
"","140","Fetch Customer's Financial Summary","QA|Nova Bank - Infopool","Wed Nov 26 18:47:07 UTC 2025","broken","Wed Nov 26 18:47:07 UTC 2025","v1 > Customer 360 > Fetch customer's financial summary","Bank User","",""
"","143","Invalid ID - Update Customer Comment","QA|Nova Bank - Infopool","Wed Nov 26 18:47:05 UTC 2025","broken","Wed Nov 26 18:47:05 UTC 2025","v1 > Customer 360 > Comments > update comment to customer","Bank User","",""
"","139","Create organization - empty street value","QA|Nova Bank - Infopool","Wed Nov 26 18:47:14 UTC 2025","broken","Wed Nov 26 18:47:14 UTC 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","137","Remove user from an organization - successful","QA|Nova Bank - Infopool","Wed Nov 26 18:47:17 UTC 2025","broken","Wed Nov 26 18:47:17 UTC 2025","v1 > Organizations > Users > Remove users from an organization","Bank Admin","",""
"","145","Empty issue category - Create a New Issue","QA|Nova Bank - Infopool","Wed Nov 26 18:47:02 UTC 2025","broken","Wed Nov 26 18:47:02 UTC 2025","v1 > Customer 360 > Issues > create a new issue","Bank User","",""
