"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","130","Get Report Data - No auth","QA|Nova Bank - Infopool","Sun Nov 30 20:12:38 UTC 2025","broken","Sun Nov 30 20:12:38 UTC 2025","v1 > Report > Get Report Data","Bank Admin","",""
"","129","Get events - invalid end date","QA|Nova Bank - Infopool","Sun Nov 30 20:12:14 UTC 2025","broken","Sun Nov 30 20:12:14 UTC 2025","v1 > Audit trail > Event","Bank User","",""
"","125","Empty password - Send user invitation token","QA|Nova Bank - Infopool","Sun Nov 30 20:12:16 UTC 2025","broken","Sun Nov 30 20:12:16 UTC 2025","v1 > Onboarding > Complete profile","Bank User","",""
"","130","Update Customer Comment","QA|Nova Bank - Infopool","Sun Nov 30 20:12:19 UTC 2025","broken","Sun Nov 30 20:12:19 UTC 2025","v1 > Customer 360 > Comments > update comment to customer","Bank User","",""
"","131","Fetch user by ID - no auth","QA|Nova Bank - Infopool","Sun Nov 30 20:12:24 UTC 2025","broken","Sun Nov 30 20:12:24 UTC 2025","v1 > Users > Fetch user by ID","Bank Admin","",""
"","129","Empty first name - Send user invitation token","QA|Nova Bank - Infopool","Sun Nov 30 20:12:15 UTC 2025","broken","Sun Nov 30 20:12:15 UTC 2025","v1 > Onboarding > Complete profile","Bank User","",""
"","127","No Auth - Fetch Customer's Financial Summary","QA|Nova Bank - Infopool","Sun Nov 30 20:12:21 UTC 2025","broken","Sun Nov 30 20:12:21 UTC 2025","v1 > Customer 360 > Fetch customer's financial summary","Bank User","",""
"","127","Fetch user by ID - ID does not exist","QA|Nova Bank - Infopool","Sun Nov 30 20:12:24 UTC 2025","broken","Sun Nov 30 20:12:24 UTC 2025","v1 > Users > Fetch user by ID","Bank Admin","",""
"Get Email or SMS OTP. For OTP, you need to provide either `email` or `phone` if you are not logged in.
    `operation` can be one of: 
- LOGIN
- FORGOT_PASSWORD
- CREATE_ROLE
- UPDATE_ROLE
- DELETE_ROLE","126","Empty Operation - Get Email or SMS OTP","QA|Nova Bank - Infopool","Sun Nov 30 20:12:10 UTC 2025","broken","Sun Nov 30 20:12:10 UTC 2025","v1 > Auth > MFA > Request","Bank User","",""
"","128","No Auth - Get Issue by ID","QA|Nova Bank - Infopool","Sun Nov 30 20:12:17 UTC 2025","broken","Sun Nov 30 20:12:17 UTC 2025","v1 > Customer 360 > Issues > get issue by Id","Bank User","",""
"","130","Remove user from an organization - successful","QA|Nova Bank - Infopool","Sun Nov 30 20:12:31 UTC 2025","broken","Sun Nov 30 20:12:31 UTC 2025","v1 > Organizations > Users > Remove users from an organization","Bank Admin","",""
