"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Update an existing report","76","Update Report - No auth","QA|Nova Bank - Infopool","Wed Dec 10 18:52:56 UTC 2025","broken","Wed Dec 10 18:52:56 UTC 2025","v1 > Report > Update Report","Bank Admin","",""
"","59","Update definition","QA|Nova Bank - Infopool","Wed Dec 10 18:52:49 UTC 2025","broken","Wed Dec 10 18:52:49 UTC 2025","v1 > Static Definitions > Update definition","Bank Admin","",""
"","344","Successful login","QA|Nova Bank - Infopool","Wed Dec 10 18:52:40 UTC 2025","broken","Wed Dec 10 18:52:40 UTC 2025","v1 > Auth > Session > Login","Bank User","",""
"","76","Update organization details by ID - parent_id","QA|Nova Bank - Infopool","Wed Dec 10 18:52:51 UTC 2025","broken","Wed Dec 10 18:52:51 UTC 2025","v1 > Organizations > Update organization","Bank Admin","",""
"Get a paginated list of reports with optional filtering","63","Get Reports - filter by invalid category Id","QA|Nova Bank - Infopool","Wed Dec 10 18:52:55 UTC 2025","broken","Wed Dec 10 18:52:55 UTC 2025","v1 > Report > Get Report","Bank Admin","",""
"Get a paginated list of reports with optional filtering","62","Get Reports Stats","QA|Nova Bank - Infopool","Wed Dec 10 18:52:55 UTC 2025","broken","Wed Dec 10 18:52:55 UTC 2025","v1 > Report > Get Report Stats","Bank Admin","",""
"","59","Get roles - successful","QA|Nova Bank - Infopool","Wed Dec 10 18:52:53 UTC 2025","broken","Wed Dec 10 18:52:53 UTC 2025","v1 > Roles > Get roles","Bank Admin","",""
"","64","Delete organization details by ID - No auth","QA|Nova Bank - Infopool","Wed Dec 10 18:52:52 UTC 2025","broken","Wed Dec 10 18:52:52 UTC 2025","v1 > Organizations > Delete organization","Bank Admin","",""
"","55","Create organization - organization type ID does not exist","QA|Nova Bank - Infopool","Wed Dec 10 18:52:50 UTC 2025","broken","Wed Dec 10 18:52:51 UTC 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","56","Update organization details by ID - organisation type id","QA|Nova Bank - Infopool","Wed Dec 10 18:52:51 UTC 2025","broken","Wed Dec 10 18:52:51 UTC 2025","v1 > Organizations > Update organization","Bank Admin","",""
"","81","Create roles - empty name field","QA|Nova Bank - Infopool","Wed Dec 10 18:52:53 UTC 2025","broken","Wed Dec 10 18:52:53 UTC 2025","v1 > Roles > Create role","Bank Admin","",""
"","53","Generator Customers Transactions Statement - CSV","QA|Nova Bank - Infopool","Wed Dec 10 18:52:48 UTC 2025","broken","Wed Dec 10 18:52:48 UTC 2025","v1 > Customer 360 > Generate customers transaction statement","Bank User","",""
"","70","Change password - successful","QA|Nova Bank - Infopool","Wed Dec 10 18:52:42 UTC 2025","broken","Wed Dec 10 18:52:42 UTC 2025","v1 > Profile > Password","Bank User","",""
"","69","No_auth_add_comments","QA|Nova Bank - Infopool","Wed Dec 10 18:52:46 UTC 2025","broken","Wed Dec 10 18:52:46 UTC 2025","v1 > Customer 360 > Comments > add comment to customer","Bank User","",""
"","79","successfully create corporate_adjustment","QA|Nova Bank - Infopool","Wed Dec 10 18:52:57 UTC 2025","broken","Wed Dec 10 18:52:57 UTC 2025","","corporate Adjustment","",""
"","61","Get role by ID - no auth","QA|Nova Bank - Infopool","Wed Dec 10 18:52:53 UTC 2025","broken","Wed Dec 10 18:52:54 UTC 2025","v1 > Roles > Get role by ID","Bank Admin","",""
"","93","Get profile - No Auth","QA|Nova Bank - Infopool","Wed Dec 10 18:52:42 UTC 2025","broken","Wed Dec 10 18:52:43 UTC 2025","v1 > Profile > Get profile","Bank User","",""
"","82","Get permission by ID - successful","QA|Nova Bank - Infopool","Wed Dec 10 18:52:54 UTC 2025","broken","Wed Dec 10 18:52:54 UTC 2025","v1 > Permissions > Get permission by ID","Bank Admin","",""
"","78","Logout session successfully","QA|Nova Bank - Infopool","Wed Dec 10 18:52:54 UTC 2025","broken","Wed Dec 10 18:52:54 UTC 2025","v1 > Logout","Bank Admin","",""
"","59","Logout session - no session","QA|Nova Bank - Infopool","Wed Dec 10 18:52:54 UTC 2025","broken","Wed Dec 10 18:52:54 UTC 2025","v1 > Logout","Bank Admin","",""
"","65","Remove user from an organization - user ID does not exist","QA|Nova Bank - Infopool","Wed Dec 10 18:52:53 UTC 2025","broken","Wed Dec 10 18:52:53 UTC 2025","v1 > Organizations > Users > Remove users from an organization","Bank Admin","",""
"","78","Create_issue_without_attachment","QA|Nova Bank - Infopool","Wed Dec 10 18:52:45 UTC 2025","broken","Wed Dec 10 18:52:45 UTC 2025","v1 > Customer 360 > Issues > create a new issue","Bank User","",""
"","74","Get profile roles - No Auth","QA|Nova Bank - Infopool","Wed Dec 10 18:52:42 UTC 2025","broken","Wed Dec 10 18:52:42 UTC 2025","v1 > Profile > Roles","Bank User","",""
