"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","128","Weak password - Change password","QA|Nova Bank - Infopool","Fri Dec 19 19:00:07 UTC 2025","broken","Fri Dec 19 19:00:07 UTC 2025","v1 > Profile > Password","Bank User","",""
"","64","Get role by ID - no auth","QA|Nova Bank - Infopool","Fri Dec 19 19:00:18 UTC 2025","broken","Fri Dec 19 19:00:18 UTC 2025","v1 > Roles > Get role by ID","Bank Admin","",""
"","65","Get Report Data - Question","QA|Nova Bank - Infopool","Fri Dec 19 19:00:20 UTC 2025","broken","Fri Dec 19 19:00:20 UTC 2025","v1 > Report > Get Report Data","Bank Admin","",""
"","71","Update profile - Invalid file size","QA|Nova Bank - Infopool","Fri Dec 19 19:00:08 UTC 2025","broken","Fri Dec 19 19:00:08 UTC 2025","v1 > Profile > update profile image","Bank User","",""
"","65","update role","QA|Nova Bank - Infopool","Fri Dec 19 19:00:14 UTC 2025","broken","Fri Dec 19 19:00:14 UTC 2025","v1 > Users > Role > Update role","Bank Admin","",""
"","64","No Auth - Fetch all organizations","QA|Nova Bank - Infopool","Fri Dec 19 19:00:15 UTC 2025","broken","Fri Dec 19 19:00:16 UTC 2025","v1 > Organizations > Fetch organization","Bank Admin","",""
"","64","add_comment_successfully","QA|Nova Bank - Infopool","Fri Dec 19 19:00:11 UTC 2025","broken","Fri Dec 19 19:00:11 UTC 2025","v1 > Customer 360 > Comments > add comment to customer","Bank User","",""
"","65","Role does not exist - update role","QA|Nova Bank - Infopool","Fri Dec 19 19:00:14 UTC 2025","broken","Fri Dec 19 19:00:14 UTC 2025","v1 > Users > Role > Update role","Bank Admin","",""
"","65","No Auth - Fetch Customer Comments","QA|Nova Bank - Infopool","Fri Dec 19 19:00:11 UTC 2025","broken","Fri Dec 19 19:00:11 UTC 2025","v1 > Customer 360 > Comments > fetch customer comment","Bank User","",""
"","66","Create organization - empty mis code","QA|Nova Bank - Infopool","Fri Dec 19 19:00:15 UTC 2025","broken","Fri Dec 19 19:00:15 UTC 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","64","No auth - managers","QA|Nova Bank - Infopool","Fri Dec 19 19:00:17 UTC 2025","broken","Fri Dec 19 19:00:17 UTC 2025","v1 > Organizations > Managers > Fetch managers of an organization","Bank Admin","",""
"","65","Update user - no auth","QA|Nova Bank - Infopool","Fri Dec 19 19:00:14 UTC 2025","broken","Fri Dec 19 19:00:14 UTC 2025","v1 > Users > Update user","Bank Admin","",""
"Update an existing report","64","Update Report","QA|Nova Bank - Infopool","Fri Dec 19 19:00:20 UTC 2025","broken","Fri Dec 19 19:00:20 UTC 2025","v1 > Report > Update Report","Bank Admin","",""
"","67","Invalid current password - Change password","QA|Nova Bank - Infopool","Fri Dec 19 19:00:07 UTC 2025","broken","Fri Dec 19 19:00:07 UTC 2025","v1 > Profile > Password","Bank User","",""
"","94","Create organization - business manager ID does not exist","QA|Nova Bank - Infopool","Fri Dec 19 19:00:15 UTC 2025","broken","Fri Dec 19 19:00:15 UTC 2025","v1 > Organizations > Create organization","Bank Admin","",""
