"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","63","No auth - update role","QA|Nova Bank - Infopool","Wed Jan 07 18:55:43 UTC 2026","broken","Wed Jan 07 18:55:43 UTC 2026","v1 > Users > Role > Update role","Bank Admin","",""
"","61","Get events - invalid end date","QA|Nova Bank - Infopool","Wed Jan 07 18:55:37 UTC 2026","broken","Wed Jan 07 18:55:37 UTC 2026","v1 > Audit trail > Event","Bank User","",""
"","64","Add attachment to issue","QA|Nova Bank - Infopool","Wed Jan 07 18:55:39 UTC 2026","broken","Wed Jan 07 18:55:39 UTC 2026","v1 > Customer 360 > Issues > add attachment to issue","Bank User","",""
"","65","Update organization details by ID - No auth","QA|Nova Bank - Infopool","Wed Jan 07 18:55:45 UTC 2026","broken","Wed Jan 07 18:55:45 UTC 2026","v1 > Organizations > Update organization","Bank Admin","",""
"","64","Get permission by ID - successful","QA|Nova Bank - Infopool","Wed Jan 07 18:55:47 UTC 2026","broken","Wed Jan 07 18:55:47 UTC 2026","v1 > Permissions > Get permission by ID","Bank Admin","",""
"","162","No auth - Create a New Issue","QA|Nova Bank - Infopool","Wed Jan 07 18:55:38 UTC 2026","broken","Wed Jan 07 18:55:38 UTC 2026","v1 > Customer 360 > Issues > create a new issue","Bank User","",""
"","73","No auth - Delete Attachment from Issue","QA|Nova Bank - Infopool","Wed Jan 07 18:55:39 UTC 2026","broken","Wed Jan 07 18:55:40 UTC 2026","v1 > Customer 360 > Issues > delete attachment to an issue","Bank User","",""
"","65","Update definition","QA|Nova Bank - Infopool","Wed Jan 07 18:55:42 UTC 2026","broken","Wed Jan 07 18:55:42 UTC 2026","v1 > Static Definitions > Update definition","Bank Admin","",""
"","62","Delete Customer Comment","QA|Nova Bank - Infopool","Wed Jan 07 18:55:40 UTC 2026","broken","Wed Jan 07 18:55:40 UTC 2026","v1 > Customer 360 > Comments > delete customer comment","Bank User","",""
"","63","Get permission by ID - ID does not exist","QA|Nova Bank - Infopool","Wed Jan 07 18:55:47 UTC 2026","broken","Wed Jan 07 18:55:47 UTC 2026","v1 > Permissions > Get permission by ID","Bank Admin","",""
"","64","No auth - Generator Customers Transactions Statement - PDF","QA|Nova Bank - Infopool","Wed Jan 07 18:55:41 UTC 2026","broken","Wed Jan 07 18:55:41 UTC 2026","v1 > Customer 360 > Generate customers transaction statement","Bank User","",""
"","62","Create organization - operations manager ID does not exist","QA|Nova Bank - Infopool","Wed Jan 07 18:55:44 UTC 2026","broken","Wed Jan 07 18:55:44 UTC 2026","v1 > Organizations > Create organization","Bank Admin","",""
"","65","Export Report Data - No auth","QA|Nova Bank - Infopool","Wed Jan 07 18:55:49 UTC 2026","broken","Wed Jan 07 18:55:50 UTC 2026","v1 > Report > Export Report Data","Bank Admin","",""
