"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","141","Get Report Data - Question","QA|Nova Bank - Infopool","Wed Jan 21 19:05:33 UTC 2026","broken","Wed Jan 21 19:05:33 UTC 2026","v1 > Report > Get Report Data","Bank Admin","",""
"","142","Update organization details by ID - incorrect business manager ID","QA|Nova Bank - Infopool","Wed Jan 21 19:05:24 UTC 2026","broken","Wed Jan 21 19:05:24 UTC 2026","v1 > Organizations > Update organization","Bank Admin","",""
"Verify TOTP or OTP. For OTP, you need to provide either `email` or `phone` as the recipient if you are not logged in.
    Make sure the operation matches the one used to generate the OTP.

    `operation` can be one of: 
- LOGIN
- FORGOT_PASSWORD
- CREATE_ROLE
- UPDATE_ROLE
- DELETE_ROLE
    ","140","Invalid OTP - Verify MFA code, MFA backup code, Email or SMS OTP","QA|Nova Bank - Infopool","Wed Jan 21 19:05:04 UTC 2026","broken","Wed Jan 21 19:05:04 UTC 2026","v1 > Auth > MFA > Verify","Bank User","",""
"","137","Empty current password - Change password","QA|Nova Bank - Infopool","Wed Jan 21 19:05:05 UTC 2026","broken","Wed Jan 21 19:05:05 UTC 2026","v1 > Profile > Password","Bank User","",""
"","137","Fetch Customer By ID no Auth","QA|Nova Bank - Infopool","Wed Jan 21 19:05:15 UTC 2026","broken","Wed Jan 21 19:05:15 UTC 2026","v1 > Customer 360 > Fetch customer by ID","Bank User","",""
"","137","Fetch user by ID - no auth","QA|Nova Bank - Infopool","Wed Jan 21 19:05:18 UTC 2026","broken","Wed Jan 21 19:05:18 UTC 2026","v1 > Users > Fetch user by ID","Bank Admin","",""
"","137","get user role","QA|Nova Bank - Infopool","Wed Jan 21 19:05:19 UTC 2026","broken","Wed Jan 21 19:05:20 UTC 2026","v1 > Users > Role > Get role","Bank Admin","",""
"","138","Get role by ID - invalid ID","QA|Nova Bank - Infopool","Wed Jan 21 19:05:27 UTC 2026","broken","Wed Jan 21 19:05:27 UTC 2026","v1 > Roles > Get role by ID","Bank Admin","",""
"","141","Get role by ID - successful","QA|Nova Bank - Infopool","Wed Jan 21 19:05:27 UTC 2026","broken","Wed Jan 21 19:05:27 UTC 2026","v1 > Roles > Get role by ID","Bank Admin","",""
"","144","Create organization - empty description","QA|Nova Bank - Infopool","Wed Jan 21 19:05:21 UTC 2026","broken","Wed Jan 21 19:05:21 UTC 2026","v1 > Organizations > Create organization","Bank Admin","",""
"","138","No auth - Delete Attachment from Issue","QA|Nova Bank - Infopool","Wed Jan 21 19:05:12 UTC 2026","broken","Wed Jan 21 19:05:12 UTC 2026","v1 > Customer 360 > Issues > delete attachment to an issue","Bank User","",""
