"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","40","Fetch user by ID - no auth","QA|Nova Bank - Infopool","Fri Jan 23 19:04:46 UTC 2026","broken","Fri Jan 23 19:04:46 UTC 2026","v1 > Users > Fetch user by ID","Bank Admin","",""
"","47","category by id","QA|Nova Bank - Infopool","Fri Jan 23 19:04:50 UTC 2026","broken","Fri Jan 23 19:04:50 UTC 2026","v1 > Notifications > Category > Fetch category by d","Bank Admin","",""
"","41","No_auth_add_comments","QA|Nova Bank - Infopool","Fri Jan 23 19:04:44 UTC 2026","broken","Fri Jan 23 19:04:44 UTC 2026","v1 > Customer 360 > Comments > add comment to customer","Bank User","",""
"","59","Fetch Customer By ID","QA|Nova Bank - Infopool","Fri Jan 23 19:04:45 UTC 2026","broken","Fri Jan 23 19:04:45 UTC 2026","v1 > Customer 360 > Fetch customer by ID","Bank User","",""
"","41","No Auth - Fetch all organizations","QA|Nova Bank - Infopool","Fri Jan 23 19:04:48 UTC 2026","broken","Fri Jan 23 19:04:48 UTC 2026","v1 > Organizations > Fetch organization","Bank Admin","",""
"","43","Fetch user by ID - successful","QA|Nova Bank - Infopool","Fri Jan 23 19:04:46 UTC 2026","broken","Fri Jan 23 19:04:46 UTC 2026","v1 > Users > Fetch user by ID","Bank Admin","",""
"Delete a report (soft delete)","43","Delete Report - Invalid id","QA|Nova Bank - Infopool","Fri Jan 23 19:04:51 UTC 2026","broken","Fri Jan 23 19:04:51 UTC 2026","v1 > Report > Delete Report","Bank Admin","",""
"","39","Get role by ID - no auth","QA|Nova Bank - Infopool","Fri Jan 23 19:04:49 UTC 2026","broken","Fri Jan 23 19:04:49 UTC 2026","v1 > Roles > Get role by ID","Bank Admin","",""
"","42","Export Report Data - No auth","QA|Nova Bank - Infopool","Fri Jan 23 19:04:51 UTC 2026","broken","Fri Jan 23 19:04:51 UTC 2026","v1 > Report > Export Report Data","Bank Admin","",""
"","39","No Auth - Get all definitions","QA|Nova Bank - Infopool","Fri Jan 23 19:04:46 UTC 2026","broken","Fri Jan 23 19:04:46 UTC 2026","v1 > Static Definitions > Retrieve definition by ID","Bank Admin","",""
"Get Email or SMS OTP. For OTP, you need to provide either `email` or `phone` if you are not logged in.
    `operation` can be one of: 
- LOGIN
- FORGOT_PASSWORD
- CREATE_ROLE
- UPDATE_ROLE
- DELETE_ROLE","52","Get Email or SMS OTP","QA|Nova Bank - Infopool","Fri Jan 23 19:04:41 UTC 2026","broken","Fri Jan 23 19:04:41 UTC 2026","v1 > Auth > MFA > Request","Bank User","",""
"","40","update role","QA|Nova Bank - Infopool","Fri Jan 23 19:04:47 UTC 2026","broken","Fri Jan 23 19:04:47 UTC 2026","v1 > Users > Role > Update role","Bank Admin","",""
