"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","64","Fetch Customer By ID no Auth","QA|Nova Bank - Infopool","Sun Feb 01 20:14:44 UTC 2026","broken","Sun Feb 01 20:14:44 UTC 2026","v1 > Customer 360 > Fetch customer by ID","Bank User","",""
"","61","No Auth - Fetch Customers Accounts","QA|Nova Bank - Infopool","Sun Feb 01 20:14:45 UTC 2026","broken","Sun Feb 01 20:14:45 UTC 2026","v1 > Customer 360 > Fetch customer accounts","Bank User","",""
"Get a specific report by ID","62","Get Report by ID - Invalid id","QA|Nova Bank - Infopool","Sun Feb 01 20:14:52 UTC 2026","broken","Sun Feb 01 20:14:52 UTC 2026","v1 > Report > Get Report by Id","Bank Admin","",""
"","64","Get all Issues","QA|Nova Bank - Infopool","Sun Feb 01 20:14:42 UTC 2026","broken","Sun Feb 01 20:14:42 UTC 2026","v1 > Customer 360 > Issues > get all issues","Bank User","",""
"","65","successfully create corporate_adjustment","QA|Nova Bank - Infopool","Sun Feb 01 20:14:53 UTC 2026","broken","Sun Feb 01 20:14:53 UTC 2026","","corporate Adjustment","",""
"","76","Invalid Id - Update Issue","QA|Nova Bank - Infopool","Sun Feb 01 20:14:43 UTC 2026","broken","Sun Feb 01 20:14:43 UTC 2026","v1 > Customer 360 > Issues > update issue","Bank User","",""
"","127","audit trail","QA|Nova Bank - Infopool","Sun Feb 01 20:14:41 UTC 2026","broken","Sun Feb 01 20:14:41 UTC 2026","v1 > Audit trail > Audit trail","Bank User","",""
"","60","Send user invitation token - successful","QA|Nova Bank - Infopool","Sun Feb 01 20:14:41 UTC 2026","broken","Sun Feb 01 20:14:41 UTC 2026","v1 > Onboarding > Complete profile","Bank User","",""
"","64","Fetch all organizations","QA|Nova Bank - Infopool","Sun Feb 01 20:14:48 UTC 2026","broken","Sun Feb 01 20:14:48 UTC 2026","v1 > Organizations > Fetch organization","Bank Admin","",""
"Create a new report","61","Create Report - Empty category","QA|Nova Bank - Infopool","Sun Feb 01 20:14:52 UTC 2026","broken","Sun Feb 01 20:14:52 UTC 2026","v1 > Report > Create Report","Bank Admin","",""
"Get a paginated list of reports with optional filtering","62","Get Report Objects - Question","QA|Nova Bank - Infopool","Sun Feb 01 20:14:51 UTC 2026","broken","Sun Feb 01 20:14:51 UTC 2026","v1 > Report > Get Report Object","Bank Admin","",""
"","65","Fetch all users","QA|Nova Bank - Infopool","Sun Feb 01 20:14:46 UTC 2026","broken","Sun Feb 01 20:14:46 UTC 2026","v1 > Users > Fetch users","Bank Admin","",""
"","63","Fetch user by ID - successful","QA|Nova Bank - Infopool","Sun Feb 01 20:14:46 UTC 2026","broken","Sun Feb 01 20:14:46 UTC 2026","v1 > Users > Fetch user by ID","Bank Admin","",""
"Get Email or SMS OTP. For OTP, you need to provide either `email` or `phone` if you are not logged in.
    `operation` can be one of: 
- LOGIN
- FORGOT_PASSWORD
- CREATE_ROLE
- UPDATE_ROLE
- DELETE_ROLE","67","Invalid Auth - Empty Channel - Get Email or SMS OTP","QA|Nova Bank - Infopool","Sun Feb 01 20:14:39 UTC 2026","broken","Sun Feb 01 20:14:39 UTC 2026","v1 > Auth > MFA > Request","Bank User","",""
"","65","Update user - successful","QA|Nova Bank - Infopool","Sun Feb 01 20:14:46 UTC 2026","broken","Sun Feb 01 20:14:46 UTC 2026","v1 > Users > Update user","Bank Admin","",""
"","62","Delete Customer Comment","QA|Nova Bank - Infopool","Sun Feb 01 20:14:44 UTC 2026","broken","Sun Feb 01 20:14:44 UTC 2026","v1 > Customer 360 > Comments > delete customer comment","Bank User","",""
"","66","Delete organization details by ID -Invalid Id","QA|Nova Bank - Infopool","Sun Feb 01 20:14:49 UTC 2026","broken","Sun Feb 01 20:14:49 UTC 2026","v1 > Organizations > Delete organization","Bank Admin","",""
"Get a specific report by ID","71","Get Report by UUID - Invalid uuid","QA|Nova Bank - Infopool","Sun Feb 01 20:14:52 UTC 2026","broken","Sun Feb 01 20:14:52 UTC 2026","v1 > Report > Get Report by UUID","Bank Admin","",""
"","65","Invalid ID -Get Issue by ID","QA|Nova Bank - Infopool","Sun Feb 01 20:14:42 UTC 2026","broken","Sun Feb 01 20:14:42 UTC 2026","v1 > Customer 360 > Issues > get issue by Id","Bank User","",""
"","91","reset password","QA|Nova Bank - Infopool","Sun Feb 01 20:14:38 UTC 2026","broken","Sun Feb 01 20:14:38 UTC 2026","v1 > Auth > Forgot password > Reset password","Bank User","",""
"","66","Delete organization details by ID - No auth","QA|Nova Bank - Infopool","Sun Feb 01 20:14:49 UTC 2026","broken","Sun Feb 01 20:14:49 UTC 2026","v1 > Organizations > Delete organization","Bank Admin","",""
"","64","No auth - category by id","QA|Nova Bank - Infopool","Sun Feb 01 20:14:51 UTC 2026","broken","Sun Feb 01 20:14:51 UTC 2026","v1 > Notifications > Category > Fetch category by d","Bank Admin","",""
"","61","Get Report Data - Invalid id","QA|Nova Bank - Infopool","Sun Feb 01 20:14:53 UTC 2026","broken","Sun Feb 01 20:14:53 UTC 2026","v1 > Report > Get Report Data","Bank Admin","",""
"","65","Create organization - empty mis code","QA|Nova Bank - Infopool","Sun Feb 01 20:14:48 UTC 2026","broken","Sun Feb 01 20:14:48 UTC 2026","v1 > Organizations > Create organization","Bank Admin","",""
"","64","No auth - Create  organization","QA|Nova Bank - Infopool","Sun Feb 01 20:14:47 UTC 2026","broken","Sun Feb 01 20:14:47 UTC 2026","v1 > Organizations > Create organization","Bank Admin","",""
"","65","add_comment_successfully","QA|Nova Bank - Infopool","Sun Feb 01 20:14:43 UTC 2026","broken","Sun Feb 01 20:14:43 UTC 2026","v1 > Customer 360 > Comments > add comment to customer","Bank User","",""
"Get Email or SMS OTP. For OTP, you need to provide either `email` or `phone` if you are not logged in.
    `operation` can be one of: 
- LOGIN
- FORGOT_PASSWORD
- CREATE_ROLE
- UPDATE_ROLE
- DELETE_ROLE","90","Get Email or SMS OTP","QA|Nova Bank - Infopool","Sun Feb 01 20:14:38 UTC 2026","broken","Sun Feb 01 20:14:38 UTC 2026","v1 > Auth > MFA > Request","Bank User","",""
