target_parent_id,target_key,target_name,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,FY Target
"income-statement-target-type","gross-earnings","Gross Earnings","5688562","5918099","6877320","6929519","7302166","7286212","7517906","7438654","7418693","7645109","7755981","8115658","85893879"
"income-statement-target-type","interest-income-lcy","Interest Income LCY","2937678","3236631","4130728","4160184","4542743","4468053","4746713","4637252","4568781","4827055","4912452","5196455","52364725"
"income-statement-target-type","interest-expense-lcy","Interest Expense LCY","1464033","1064408","1158283","1116389","1188229","1173566","1204840","1197237","1157030","1227369","1210730","1279126","14441240"
"income-statement-target-type","nrff-lcy","NRFF LCY","1473640","2172223","2972442","3043793","3354512","3294481","3541869","3440011","3411749","3599679","3701722","3917324","37923445"
"income-statement-target-type","interest-income-fcy","Interest Income FCY","397918","287103","321377","342572","377251","334748","331917","388028","390988","382999","392069","437110","4384080"
"income-statement-target-type","interest-expense-fcy","Interest Expense FCY","235510","225569","240921","155599","85785","84055","85178","83477","81794","85577","83852","87730","1535047"
"income-statement-target-type","nrff-fcy","NRFF FCY","162408","61534","80456","186973","291466","250693","246739","304551","309194","297422","308217","349380","2849033"
"income-statement-target-type","pool-income-expense","Pool Income/Expense","-148179","-246384","-331459","-395013","-119197","-116425","-854221","-570421","-621034","-311622","-224628","-162788","-4101371"
"income-statement-target-type","total-nrff","Total NRFF","1487873","1987372","2721437","2835755","3526781","3428749","2934387","3174139","3099908","3585482","3785311","4103917","36671111"
"income-statement-target-type","ifrs-impairment-charge","IFRS Impairment Charge","-164612","-81752","-144779","-144329","-44138","-118218","-94946","-92846","-49157","-99670","-107280","-315248","-1456975"
"income-statement-target-type","recoveries","Recoveries","0","0","0","0","0","0","0","0","0","0","0","0","0"
"income-statement-target-type","net-provisions","Net Provisions","-164612","-81752","-144779","-144329","-44138","-118218","-94946","-92846","-49157","-99670","-107280","-315248","-1456975"
"income-statement-target-type","net-interest-income","Net Interest Income","1323262","1905620","2576655","2691421","3482638","3310526","2839439","3081289","3050747","3485805","3678027","3788664","35214093"
"income-statement-target-type","fixed-income-trading-gains","Fixed Income Trading Gains","191178","191178","191178","191178","191178","191178","191178","191178","191178","191178","191178","191178","2294136"
"income-statement-target-type","fx-trading-income","FX Trading Income","975423","975423","975423","975423","952880","952880","952880","930337","907796","907796","885252","862710","11254223"
