"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","89","Update profile - No Auth","QA|Nova Bank - Infopool","Mon Apr 14 07:33:05 GMT 2025","passed","Mon Apr 14 07:33:05 GMT 2025","v1 > Profile > update profile image","Bank User","",""
"","90","No auth - Update role status","QA|Nova Bank - Infopool","Mon Apr 14 07:33:43 GMT 2025","passed","Mon Apr 14 07:33:44 GMT 2025","v1 > Roles > Update role","Bank Admin","",""
"Get Email or SMS OTP. For OTP, you need to provide either `email` or `phone` if you are not logged in.
    `operation` can be one of: 
- LOGIN
- FORGOT_PASSWORD
- CREATE_ROLE
- UPDATE_ROLE
- DELETE_ROLE","95","Empty Operation - Get Email or SMS OTP","QA|Nova Bank - Infopool","Mon Apr 14 07:33:02 GMT 2025","passed","Mon Apr 14 07:33:02 GMT 2025","v1 > Auth > MFA > Request","Bank User","",""
"","8","New Request","QA|Nova Bank - Infopool","Mon Apr 14 07:33:02 GMT 2025","broken","Mon Apr 14 07:33:02 GMT 2025","v1 > Auth > Forgot password > Reset password","Bank User","",""
"","3162","Get role by ID - invalid ID","QA|Nova Bank - Infopool","Mon Apr 14 07:33:44 GMT 2025","passed","Mon Apr 14 07:33:47 GMT 2025","v1 > Roles > Get role by ID","Bank Admin","",""
"","87","Empty last name - Send user invitation token","QA|Nova Bank - Infopool","Mon Apr 14 07:33:07 GMT 2025","passed","Mon Apr 14 07:33:07 GMT 2025","v1 > Onboarding > Complete profile","Bank User","",""
"","90","No auth - Create  organization","QA|Nova Bank - Infopool","Mon Apr 14 07:33:38 GMT 2025","passed","Mon Apr 14 07:33:39 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","88","Update user - no auth","QA|Nova Bank - Infopool","Mon Apr 14 07:33:37 GMT 2025","passed","Mon Apr 14 07:33:37 GMT 2025","v1 > Users > Update user","Bank Admin","",""
"Get a paginated list of reports with optional filtering","101","Get Reports Stats","QA|Nova Bank - Infopool","Mon Apr 14 07:33:52 GMT 2025","passed","Mon Apr 14 07:33:52 GMT 2025","v1 > Report > Get Report Stats","Bank Admin","",""
"","114","Update organization details by ID - name already exists","QA|Nova Bank - Infopool","Mon Apr 14 07:33:40 GMT 2025","passed","Mon Apr 14 07:33:41 GMT 2025","v1 > Organizations > Update organization","Bank Admin","",""
"","92","No Auth - Fetch all organizations","QA|Nova Bank - Infopool","Mon Apr 14 07:33:40 GMT 2025","passed","Mon Apr 14 07:33:40 GMT 2025","v1 > Organizations > Fetch organization","Bank Admin","",""
"","3196","No Auth - Fetch Customers Accounts","QA|Nova Bank - Infopool","Mon Apr 14 07:33:23 GMT 2025","passed","Mon Apr 14 07:33:26 GMT 2025","v1 > Customer 360 > Fetch customer accounts","Bank User","",""
"","5","New Request","QA|Nova Bank - Infopool","Mon Apr 14 07:33:36 GMT 2025","broken","Mon Apr 14 07:33:36 GMT 2025","v1 > Static Definitions > Retrieve definition by ID","Bank Admin","",""
"","111","Create roles - Existing role","QA|Nova Bank - Infopool","Mon Apr 14 07:33:43 GMT 2025","passed","Mon Apr 14 07:33:43 GMT 2025","v1 > Roles > Create role","Bank Admin","",""
"","3182","No Auth - Get all Issues","QA|Nova Bank - Infopool","Mon Apr 14 07:33:09 GMT 2025","passed","Mon Apr 14 07:33:12 GMT 2025","v1 > Customer 360 > Issues > get all issues","Bank User","",""
"","87","Empty password - Send user invitation token","QA|Nova Bank - Infopool","Mon Apr 14 07:33:07 GMT 2025","passed","Mon Apr 14 07:33:07 GMT 2025","v1 > Onboarding > Complete profile","Bank User","",""
"","129","Forgot password - successful","QA|Nova Bank - Infopool","Mon Apr 14 07:33:02 GMT 2025","passed","Mon Apr 14 07:33:02 GMT 2025","v1 > Auth > Forgot password > Initiate forget password","Bank User","",""
"","171","Invalid credentials","QA|Nova Bank - Infopool","Mon Apr 14 07:32:55 GMT 2025","passed","Mon Apr 14 07:32:55 GMT 2025","v1 > Auth > Session > Login","Bank User","",""
"","104","Logout session successfully","QA|Nova Bank - Infopool","Mon Apr 14 07:33:51 GMT 2025","passed","Mon Apr 14 07:33:51 GMT 2025","v1 > Logout","Bank Admin","",""
"","90","Get profile - No Auth","QA|Nova Bank - Infopool","Mon Apr 14 07:33:04 GMT 2025","passed","Mon Apr 14 07:33:04 GMT 2025","v1 > Profile > Get profile","Bank User","",""
"","88","No auth - get all category","QA|Nova Bank - Infopool","Mon Apr 14 07:33:51 GMT 2025","passed","Mon Apr 14 07:33:51 GMT 2025","v1 > Notifications > Category > Fetch all category","Bank Admin","",""
"","87","Update profile - no auth","QA|Nova Bank - Infopool","Mon Apr 14 07:33:05 GMT 2025","passed","Mon Apr 14 07:33:05 GMT 2025","v1 > Profile > Update profile","Bank User","",""
"Update an existing report","105","Update Report - Invalid id","QA|Nova Bank - Infopool","Mon Apr 14 07:34:00 GMT 2025","passed","Mon Apr 14 07:34:00 GMT 2025","v1 > Report > Update Report","Bank Admin","",""
"","123","Add user to an organization - successful","QA|Nova Bank - Infopool","Mon Apr 14 07:33:42 GMT 2025","passed","Mon Apr 14 07:33:42 GMT 2025","v1 > Organizations > Users > Add users to an organization","Bank Admin","",""
"","96","Fetch user by ID - ID does not exist","QA|Nova Bank - Infopool","Mon Apr 14 07:33:37 GMT 2025","passed","Mon Apr 14 07:33:37 GMT 2025","v1 > Users > Fetch user by ID","Bank Admin","",""
"","120","Update definition","QA|Nova Bank - Infopool","Mon Apr 14 07:33:36 GMT 2025","passed","Mon Apr 14 07:33:36 GMT 2025","v1 > Static Definitions > Update definition","Bank Admin","",""
