"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","59","Get role by ID - no auth","QA|Nova Bank - Infopool","Sun Feb 15 20:14:48 UTC 2026","broken","Sun Feb 15 20:14:49 UTC 2026","v1 > Roles > Get role by ID","Bank Admin","",""
"","62","No auth - Generator Customers Transactions Statement - PDF","QA|Nova Bank - Infopool","Sun Feb 15 20:14:43 UTC 2026","broken","Sun Feb 15 20:14:43 UTC 2026","v1 > Customer 360 > Generate customers transaction statement","Bank User","",""
"","560","Successful login","QA|Nova Bank - Infopool","Sun Feb 15 20:14:36 UTC 2026","broken","Sun Feb 15 20:14:36 UTC 2026","v1 > Auth > Session > Login","Bank User","",""
"","91","Invalid email format - Forgot password","QA|Nova Bank - Infopool","Sun Feb 15 20:14:37 UTC 2026","broken","Sun Feb 15 20:14:37 UTC 2026","v1 > Auth > Forgot password > Initiate forget password","Bank User","",""
"","60","managers","QA|Nova Bank - Infopool","Sun Feb 15 20:14:48 UTC 2026","broken","Sun Feb 15 20:14:48 UTC 2026","v1 > Organizations > Managers > Fetch managers of an organization","Bank Admin","",""
"","57","audit-search","QA|Nova Bank - Infopool","Sun Feb 15 20:14:40 UTC 2026","broken","Sun Feb 15 20:14:40 UTC 2026","v1 > Audit trail > Audit trail","Bank User","",""
"","132","Update profile - No Auth","QA|Nova Bank - Infopool","Sun Feb 15 20:14:39 UTC 2026","broken","Sun Feb 15 20:14:39 UTC 2026","v1 > Profile > update profile image","Bank User","",""
"","67","Invalid credentials","QA|Nova Bank - Infopool","Sun Feb 15 20:14:36 UTC 2026","broken","Sun Feb 15 20:14:36 UTC 2026","v1 > Auth > Session > Login","Bank User","",""
"","63","No Auth - Get all permissions","QA|Nova Bank - Infopool","Sun Feb 15 20:14:49 UTC 2026","broken","Sun Feb 15 20:14:49 UTC 2026","v1 > Permissions > Get permissions","Bank Admin","",""
"","59","Get all permissions","QA|Nova Bank - Infopool","Sun Feb 15 20:14:49 UTC 2026","broken","Sun Feb 15 20:14:49 UTC 2026","v1 > Permissions > Get permissions","Bank Admin","",""
"","69","Update profile","QA|Nova Bank - Infopool","Sun Feb 15 20:14:39 UTC 2026","broken","Sun Feb 15 20:14:39 UTC 2026","v1 > Profile > update profile image","Bank User","",""
