"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","143","Update profile - No Auth","QA|Nova Bank - Infopool","Sun Feb 22 20:14:36 UTC 2026","broken","Sun Feb 22 20:14:36 UTC 2026","v1 > Profile > update profile image","Bank User","",""
"","135","Invalid attachment id - Delete Attachment from Issue","QA|Nova Bank - Infopool","Sun Feb 22 20:14:41 UTC 2026","broken","Sun Feb 22 20:14:41 UTC 2026","v1 > Customer 360 > Issues > delete attachment to an issue","Bank User","",""
"","136","Create roles","QA|Nova Bank - Infopool","Sun Feb 22 20:14:56 UTC 2026","broken","Sun Feb 22 20:14:56 UTC 2026","v1 > Roles > Create role","Bank Admin","",""
"","138","Empty new password - Change password","QA|Nova Bank - Infopool","Sun Feb 22 20:14:35 UTC 2026","broken","Sun Feb 22 20:14:35 UTC 2026","v1 > Profile > Password","Bank User","",""
"","138","Update organization details by ID - parent_id","QA|Nova Bank - Infopool","Sun Feb 22 20:14:53 UTC 2026","broken","Sun Feb 22 20:14:53 UTC 2026","v1 > Organizations > Update organization","Bank Admin","",""
"Get a paginated list of reports with optional filtering","138","Get Reports - filter by invalid category Id","QA|Nova Bank - Infopool","Sun Feb 22 20:14:59 UTC 2026","broken","Sun Feb 22 20:14:59 UTC 2026","v1 > Report > Get Report","Bank Admin","",""
"","140","Search Customers","QA|Nova Bank - Infopool","Sun Feb 22 20:14:43 UTC 2026","broken","Sun Feb 22 20:14:43 UTC 2026","v1 > Customer 360 > Search for a customer > search by name","Bank User","",""
"","141","Empty password - Send user invitation token","QA|Nova Bank - Infopool","Sun Feb 22 20:14:38 UTC 2026","broken","Sun Feb 22 20:14:39 UTC 2026","v1 > Onboarding > Complete profile","Bank User","",""
"","142","No auth - Generator Customers Transactions Statement - PDF","QA|Nova Bank - Infopool","Sun Feb 22 20:14:45 UTC 2026","broken","Sun Feb 22 20:14:45 UTC 2026","v1 > Customer 360 > Generate customers transaction statement","Bank User","",""
"","136","Empty last name - Send user invitation token","QA|Nova Bank - Infopool","Sun Feb 22 20:14:38 UTC 2026","broken","Sun Feb 22 20:14:38 UTC 2026","v1 > Onboarding > Complete profile","Bank User","",""
"","142","Invalid name - Search Customers","QA|Nova Bank - Infopool","Sun Feb 22 20:14:43 UTC 2026","broken","Sun Feb 22 20:14:43 UTC 2026","v1 > Customer 360 > Search for a customer > search by name","Bank User","",""
"","135","Invalid Id - Update Issue","QA|Nova Bank - Infopool","Sun Feb 22 20:14:40 UTC 2026","broken","Sun Feb 22 20:14:41 UTC 2026","v1 > Customer 360 > Issues > update issue","Bank User","",""
"","138","Get events - end date earlier than start date","QA|Nova Bank - Infopool","Sun Feb 22 20:14:37 UTC 2026","broken","Sun Feb 22 20:14:37 UTC 2026","v1 > Audit trail > Event","Bank User","",""
"","142","Invalid ID - Delete Customer Comment","QA|Nova Bank - Infopool","Sun Feb 22 20:14:43 UTC 2026","broken","Sun Feb 22 20:14:43 UTC 2026","v1 > Customer 360 > Comments > delete customer comment","Bank User","",""
"","143","Role does not exist - update role","QA|Nova Bank - Infopool","Sun Feb 22 20:14:49 UTC 2026","broken","Sun Feb 22 20:14:49 UTC 2026","v1 > Users > Role > Update role","Bank Admin","",""
"","146","Export Report Data - Invalid format","QA|Nova Bank - Infopool","Sun Feb 22 20:15:03 UTC 2026","broken","Sun Feb 22 20:15:03 UTC 2026","v1 > Report > Export Report Data","Bank Admin","",""
"","134","Update role status","QA|Nova Bank - Infopool","Sun Feb 22 20:14:56 UTC 2026","broken","Sun Feb 22 20:14:56 UTC 2026","v1 > Roles > Update role","Bank Admin","",""
