"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","73","successful dashboard embed","QA|Nova Bank - Infopool","Fri Feb 27 19:23:30 UTC 2026","broken","Fri Feb 27 19:23:30 UTC 2026","embed dashboard","Bank User","",""
"","59","No Auth - Get all Issues","QA|Nova Bank - Infopool","Fri Feb 27 19:23:27 UTC 2026","broken","Fri Feb 27 19:23:27 UTC 2026","v1 > Customer 360 > Issues > get all issues","Bank User","",""
"","77","Get roles - No Auth","QA|Nova Bank - Infopool","Fri Feb 27 19:23:34 UTC 2026","broken","Fri Feb 27 19:23:34 UTC 2026","v1 > Roles > Get roles","Bank Admin","",""
"","84","Invalid email format","QA|Nova Bank - Infopool","Fri Feb 27 19:23:22 UTC 2026","broken","Fri Feb 27 19:23:22 UTC 2026","v1 > Auth > Session > Login","Bank User","",""
"","53","Remove user from an organization - user ID does not exist","QA|Nova Bank - Infopool","Fri Feb 27 19:23:34 UTC 2026","broken","Fri Feb 27 19:23:34 UTC 2026","v1 > Organizations > Users > Remove users from an organization","Bank Admin","",""
"","106","Create a New Issue","QA|Nova Bank - Infopool","Fri Feb 27 19:23:26 UTC 2026","broken","Fri Feb 27 19:23:26 UTC 2026","v1 > Customer 360 > Issues > create a new issue","Bank User","",""
"","73","No Auth - Fetch Customers Accounts","QA|Nova Bank - Infopool","Fri Feb 27 19:23:29 UTC 2026","broken","Fri Feb 27 19:23:29 UTC 2026","v1 > Customer 360 > Fetch customer accounts","Bank User","",""
"","55","Update role status","QA|Nova Bank - Infopool","Fri Feb 27 19:23:35 UTC 2026","broken","Fri Feb 27 19:23:35 UTC 2026","v1 > Roles > Update role","Bank Admin","",""
"","54","verify OTP","QA|Nova Bank - Infopool","Fri Feb 27 19:23:23 UTC 2026","broken","Fri Feb 27 19:23:23 UTC 2026","v1 > Auth > MFA > Verify","Bank User","",""
"Get a paginated list of reports with optional filtering","60","Get Reports Stats","QA|Nova Bank - Infopool","Fri Feb 27 19:23:36 UTC 2026","broken","Fri Feb 27 19:23:36 UTC 2026","v1 > Report > Get Report Stats","Bank Admin","",""
"","54","Create organization - operations manager ID does not exist","QA|Nova Bank - Infopool","Fri Feb 27 19:23:32 UTC 2026","broken","Fri Feb 27 19:23:32 UTC 2026","v1 > Organizations > Create organization","Bank Admin","",""
"","81","No Auth - Add Comment to Issue","QA|Nova Bank - Infopool","Fri Feb 27 19:23:27 UTC 2026","broken","Fri Feb 27 19:23:27 UTC 2026","v1 > Customer 360 > Issues > add comment to an issue","Bank User","",""
"","53","Update organization details by ID - incorrect business manager ID","QA|Nova Bank - Infopool","Fri Feb 27 19:23:33 UTC 2026","broken","Fri Feb 27 19:23:33 UTC 2026","v1 > Organizations > Update organization","Bank Admin","",""
"","73","Add user to an organization - successful","QA|Nova Bank - Infopool","Fri Feb 27 19:23:34 UTC 2026","broken","Fri Feb 27 19:23:34 UTC 2026","v1 > Organizations > Users > Add users to an organization","Bank Admin","",""
"Get Email or SMS OTP. For OTP, you need to provide either `email` or `phone` if you are not logged in.
    `operation` can be one of: 
- LOGIN
- FORGOT_PASSWORD
- CREATE_ROLE
- UPDATE_ROLE
- DELETE_ROLE","71","Empty Operation - Get Email or SMS OTP","QA|Nova Bank - Infopool","Fri Feb 27 19:23:23 UTC 2026","broken","Fri Feb 27 19:23:23 UTC 2026","v1 > Auth > MFA > Request","Bank User","",""
"","54","Create organization - no country ID","QA|Nova Bank - Infopool","Fri Feb 27 19:23:32 UTC 2026","broken","Fri Feb 27 19:23:32 UTC 2026","v1 > Organizations > Create organization","Bank Admin","",""
"","72","Add Comment to Issue","QA|Nova Bank - Infopool","Fri Feb 27 19:23:27 UTC 2026","broken","Fri Feb 27 19:23:27 UTC 2026","v1 > Customer 360 > Issues > add comment to an issue","Bank User","",""
"","59","managers","QA|Nova Bank - Infopool","Fri Feb 27 19:23:34 UTC 2026","broken","Fri Feb 27 19:23:34 UTC 2026","v1 > Organizations > Managers > Fetch managers of an organization","Bank Admin","",""
"","75","Empty issue category - Create a New Issue","QA|Nova Bank - Infopool","Fri Feb 27 19:23:26 UTC 2026","broken","Fri Feb 27 19:23:26 UTC 2026","v1 > Customer 360 > Issues > create a new issue","Bank User","",""
"","52","Invalid user phone number - Search Customers","QA|Nova Bank - Infopool","Fri Feb 27 19:23:29 UTC 2026","broken","Fri Feb 27 19:23:29 UTC 2026","v1 > Customer 360 > Search for a customer > search by phone number","Bank User","",""
"","72","Get events - end date earlier than start date","QA|Nova Bank - Infopool","Fri Feb 27 19:23:25 UTC 2026","broken","Fri Feb 27 19:23:25 UTC 2026","v1 > Audit trail > Event","Bank User","",""
"","73","No Auth - Fetch Customer's Financial Summary","QA|Nova Bank - Infopool","Fri Feb 27 19:23:29 UTC 2026","broken","Fri Feb 27 19:23:29 UTC 2026","v1 > Customer 360 > Fetch customer's financial summary","Bank User","",""
"","74","No auth - Update role status","QA|Nova Bank - Infopool","Fri Feb 27 19:23:35 UTC 2026","broken","Fri Feb 27 19:23:35 UTC 2026","v1 > Roles > Update role","Bank Admin","",""
"","81","Invalid credentials","QA|Nova Bank - Infopool","Fri Feb 27 19:23:22 UTC 2026","broken","Fri Feb 27 19:23:22 UTC 2026","v1 > Auth > Session > Login","Bank User","",""
"","55","Create roles - No auth","QA|Nova Bank - Infopool","Fri Feb 27 19:23:34 UTC 2026","broken","Fri Feb 27 19:23:35 UTC 2026","v1 > Roles > Create role","Bank Admin","",""
"","77","Get all permissions","QA|Nova Bank - Infopool","Fri Feb 27 19:23:35 UTC 2026","broken","Fri Feb 27 19:23:35 UTC 2026","v1 > Permissions > Get permissions","Bank Admin","",""
"","75","Update organization details by ID - empty name","QA|Nova Bank - Infopool","Fri Feb 27 19:23:33 UTC 2026","broken","Fri Feb 27 19:23:33 UTC 2026","v1 > Organizations > Update organization","Bank Admin","",""
"","54","Fetch Customer By ID","QA|Nova Bank - Infopool","Fri Feb 27 19:23:29 UTC 2026","broken","Fri Feb 27 19:23:29 UTC 2026","v1 > Customer 360 > Fetch customer by ID","Bank User","",""
"","87","Get Report Data - No auth","QA|Nova Bank - Infopool","Fri Feb 27 19:23:38 UTC 2026","broken","Fri Feb 27 19:23:38 UTC 2026","v1 > Report > Get Report Data","Bank Admin","",""
"","68","Create  organization - without parent id","QA|Nova Bank - Infopool","Fri Feb 27 19:23:32 UTC 2026","broken","Fri Feb 27 19:23:32 UTC 2026","v1 > Organizations > Create organization","Bank Admin","",""
"","80","Get Report Data - Question","QA|Nova Bank - Infopool","Fri Feb 27 19:23:37 UTC 2026","broken","Fri Feb 27 19:23:37 UTC 2026","v1 > Report > Get Report Data","Bank Admin","",""
"","76","No auth - get all category","QA|Nova Bank - Infopool","Fri Feb 27 19:23:35 UTC 2026","broken","Fri Feb 27 19:23:35 UTC 2026","v1 > Notifications > Category > Fetch all category","Bank Admin","",""
"","478","Successful login","QA|Nova Bank - Infopool","Fri Feb 27 19:23:21 UTC 2026","broken","Fri Feb 27 19:23:22 UTC 2026","v1 > Auth > Session > Login","Bank User","",""
"","58","Remove user from an organization - successful","QA|Nova Bank - Infopool","Fri Feb 27 19:23:34 UTC 2026","broken","Fri Feb 27 19:23:34 UTC 2026","v1 > Organizations > Users > Remove users from an organization","Bank Admin","",""
"","71","Get events - invalid end date","QA|Nova Bank - Infopool","Fri Feb 27 19:23:25 UTC 2026","broken","Fri Feb 27 19:23:25 UTC 2026","v1 > Audit trail > Event","Bank User","",""
"","53","Create organization - organization type ID does not exist","QA|Nova Bank - Infopool","Fri Feb 27 19:23:32 UTC 2026","broken","Fri Feb 27 19:23:32 UTC 2026","v1 > Organizations > Create organization","Bank Admin","",""
"Get Email or SMS OTP. For OTP, you need to provide either `email` or `phone` if you are not logged in.
    `operation` can be one of: 
- LOGIN
- FORGOT_PASSWORD
- CREATE_ROLE
- UPDATE_ROLE
- DELETE_ROLE","57","Invalid Channel - Get Email or SMS OTP","QA|Nova Bank - Infopool","Fri Feb 27 19:23:23 UTC 2026","broken","Fri Feb 27 19:23:23 UTC 2026","v1 > Auth > MFA > Request","Bank User","",""
"","51","No auth - category by id","QA|Nova Bank - Infopool","Fri Feb 27 19:23:36 UTC 2026","broken","Fri Feb 27 19:23:36 UTC 2026","v1 > Notifications > Category > Fetch category by d","Bank Admin","",""
"","74","Create organization - business manager ID does not exist","QA|Nova Bank - Infopool","Fri Feb 27 19:23:32 UTC 2026","broken","Fri Feb 27 19:23:32 UTC 2026","v1 > Organizations > Create organization","Bank Admin","",""
"","64","Update organization details by ID - No auth","QA|Nova Bank - Infopool","Fri Feb 27 19:23:33 UTC 2026","broken","Fri Feb 27 19:23:33 UTC 2026","v1 > Organizations > Update organization","Bank Admin","",""
"","114","No user credentials","QA|Nova Bank - Infopool","Fri Feb 27 19:23:22 UTC 2026","broken","Fri Feb 27 19:23:22 UTC 2026","v1 > Auth > Session > Login","Bank User","",""
"","74","Update organization details by ID - name already exists","QA|Nova Bank - Infopool","Fri Feb 27 19:23:33 UTC 2026","broken","Fri Feb 27 19:23:33 UTC 2026","v1 > Organizations > Update organization","Bank Admin","",""
"","78","Update user - successful","QA|Nova Bank - Infopool","Fri Feb 27 19:23:31 UTC 2026","broken","Fri Feb 27 19:23:31 UTC 2026","v1 > Users > Update user","Bank Admin","",""
"","72","No auth - managers","QA|Nova Bank - Infopool","Fri Feb 27 19:23:34 UTC 2026","broken","Fri Feb 27 19:23:34 UTC 2026","v1 > Organizations > Managers > Fetch managers of an organization","Bank Admin","",""
"","61","Delete Customer Comment","QA|Nova Bank - Infopool","Fri Feb 27 19:23:28 UTC 2026","broken","Fri Feb 27 19:23:28 UTC 2026","v1 > Customer 360 > Comments > delete customer comment","Bank User","",""
"","75","Delete organization details by ID - successful","QA|Nova Bank - Infopool","Fri Feb 27 19:23:33 UTC 2026","broken","Fri Feb 27 19:23:33 UTC 2026","v1 > Organizations > Delete organization","Bank Admin","",""
"","56","No Auth - Get all definitions","QA|Nova Bank - Infopool","Fri Feb 27 19:23:30 UTC 2026","broken","Fri Feb 27 19:23:30 UTC 2026","v1 > Static Definitions > Retrieve definition by ID","Bank Admin","",""
"","76","successfully create corporate_adjustment","QA|Nova Bank - Infopool","Fri Feb 27 19:23:38 UTC 2026","broken","Fri Feb 27 19:23:38 UTC 2026","","corporate Adjustment","",""
"Update an existing report","55","Update Report - No auth","QA|Nova Bank - Infopool","Fri Feb 27 19:23:37 UTC 2026","broken","Fri Feb 27 19:23:37 UTC 2026","v1 > Report > Update Report","Bank Admin","",""
