"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","91","Get permission by ID - successful","QA|Nova Bank - Infopool","Sun May 11 20:26:04 GMT 2025","failed","Sun May 11 20:26:04 GMT 2025","v1 > Permissions > Get permission by ID","Bank Admin","",""
"","85","No auth - get all category","QA|Nova Bank - Infopool","Sun May 11 20:26:04 GMT 2025","passed","Sun May 11 20:26:04 GMT 2025","v1 > Notifications > Category > Fetch all category","Bank Admin","",""
"","89","Get roles - successful","QA|Nova Bank - Infopool","Sun May 11 20:26:03 GMT 2025","passed","Sun May 11 20:26:03 GMT 2025","v1 > Roles > Get roles","Bank Admin","",""
"","89","Get profile - successfully","QA|Nova Bank - Infopool","Sun May 11 20:25:36 GMT 2025","failed","Sun May 11 20:25:36 GMT 2025","v1 > Profile > Get profile","Bank User","",""
"","90","Create organization - operations manager ID does not exist","QA|Nova Bank - Infopool","Sun May 11 20:25:53 GMT 2025","failed","Sun May 11 20:25:54 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","94","audit trail","QA|Nova Bank - Infopool","Sun May 11 20:25:38 GMT 2025","failed","Sun May 11 20:25:38 GMT 2025","v1 > Audit trail > Audit trail","Bank User","",""
"Get a paginated list of reports with optional filtering","96","Get Reports","QA|Nova Bank - Infopool","Sun May 11 20:26:05 GMT 2025","failed","Sun May 11 20:26:05 GMT 2025","v1 > Report > Get Report","Bank Admin","",""
"","85","No Auth - Fetch all organizations","QA|Nova Bank - Infopool","Sun May 11 20:25:54 GMT 2025","passed","Sun May 11 20:25:54 GMT 2025","v1 > Organizations > Fetch organization","Bank Admin","",""
"","86","No Auth - Get Issue by ID","QA|Nova Bank - Infopool","Sun May 11 20:25:40 GMT 2025","passed","Sun May 11 20:25:40 GMT 2025","v1 > Customer 360 > Issues > get issue by Id","Bank User","",""
"","92","Export Report Data","QA|Nova Bank - Infopool","Sun May 11 20:26:14 GMT 2025","failed","Sun May 11 20:26:14 GMT 2025","v1 > Report > Export Report Data","Bank Admin","",""
"","87","audit trail - No Auth","QA|Nova Bank - Infopool","Sun May 11 20:25:38 GMT 2025","passed","Sun May 11 20:25:38 GMT 2025","v1 > Audit trail > Audit trail","Bank User","",""
"","97","Update profile - successful","QA|Nova Bank - Infopool","Sun May 11 20:25:37 GMT 2025","failed","Sun May 11 20:25:37 GMT 2025","v1 > Profile > Update profile","Bank User","",""
