"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Get a specific report by ID","52","Get Report by ID - No auth","QA|Nova Bank - Infopool","Wed May 14 16:11:56 GMT 2025","passed","Wed May 14 16:11:56 GMT 2025","v1 > Report > Get Report by Id","Bank Admin","",""
"Delete a report (soft delete)","56","Delete Report - Invalid id","QA|Nova Bank - Infopool","Wed May 14 16:12:03 GMT 2025","failed","Wed May 14 16:12:03 GMT 2025","v1 > Report > Delete Report","Bank Admin","",""
"","61","Create organization - organization type ID does not exist","QA|Nova Bank - Infopool","Wed May 14 16:11:52 GMT 2025","failed","Wed May 14 16:11:52 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","56","Invalid ID - Update Customer Comment","QA|Nova Bank - Infopool","Wed May 14 16:11:42 GMT 2025","failed","Wed May 14 16:11:42 GMT 2025","v1 > Customer 360 > Comments > update comment to customer","Bank User","",""
"Get a paginated list of reports with optional filtering","58","Get Reports - filter by invalid category Id","QA|Nova Bank - Infopool","Wed May 14 16:11:55 GMT 2025","failed","Wed May 14 16:11:55 GMT 2025","v1 > Report > Get Report","Bank Admin","",""
"Get a specific report by ID","57","Get Report by ID - Invalid id","QA|Nova Bank - Infopool","Wed May 14 16:11:56 GMT 2025","failed","Wed May 14 16:11:56 GMT 2025","v1 > Report > Get Report by Id","Bank Admin","",""
"","53","No auth - Add Comment to Customer","QA|Nova Bank - Infopool","Wed May 14 16:11:42 GMT 2025","passed","Wed May 14 16:11:42 GMT 2025","v1 > Customer 360 > Comments > add comment to customer","Bank User","",""
"","53","Get role by ID - no auth","QA|Nova Bank - Infopool","Wed May 14 16:11:55 GMT 2025","passed","Wed May 14 16:11:55 GMT 2025","v1 > Roles > Get role by ID","Bank Admin","",""
"","57","Add Comment to Issue","QA|Nova Bank - Infopool","Wed May 14 16:11:41 GMT 2025","failed","Wed May 14 16:11:41 GMT 2025","v1 > Customer 360 > Issues > add comment to an issue","Bank User","",""
"","60","Update organization details by ID - incorrect business manager ID","QA|Nova Bank - Infopool","Wed May 14 16:11:53 GMT 2025","failed","Wed May 14 16:11:53 GMT 2025","v1 > Organizations > Update organization","Bank Admin","",""
"","54","Empty first name - Send user invitation token","QA|Nova Bank - Infopool","Wed May 14 16:11:40 GMT 2025","passed","Wed May 14 16:11:40 GMT 2025","v1 > Onboarding > Complete profile","Bank User","",""
"","57","Update profile - invalid phone number","QA|Nova Bank - Infopool","Wed May 14 16:11:39 GMT 2025","failed","Wed May 14 16:11:39 GMT 2025","v1 > Profile > Update profile","Bank User","",""
"","61","Get all Issues","QA|Nova Bank - Infopool","Wed May 14 16:11:41 GMT 2025","failed","Wed May 14 16:11:41 GMT 2025","v1 > Customer 360 > Issues > get all issues","Bank User","",""
"","52","Get roles - successful","QA|Nova Bank - Infopool","Wed May 14 16:11:54 GMT 2025","passed","Wed May 14 16:11:54 GMT 2025","v1 > Roles > Get roles","Bank Admin","",""
"","54","No Auth - Get all Issues","QA|Nova Bank - Infopool","Wed May 14 16:11:41 GMT 2025","passed","Wed May 14 16:11:41 GMT 2025","v1 > Customer 360 > Issues > get all issues","Bank User","",""
"","58","Create organization - operations manager ID does not exist","QA|Nova Bank - Infopool","Wed May 14 16:11:52 GMT 2025","failed","Wed May 14 16:11:52 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","53","No auth - get user role","QA|Nova Bank - Infopool","Wed May 14 16:11:51 GMT 2025","passed","Wed May 14 16:11:51 GMT 2025","v1 > Users > Role > Get role","Bank Admin","",""
"","59","Create organization - business manager ID does not exist","QA|Nova Bank - Infopool","Wed May 14 16:11:52 GMT 2025","failed","Wed May 14 16:11:52 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"Get a specific report by ID","56","Get Report by ID","QA|Nova Bank - Infopool","Wed May 14 16:11:56 GMT 2025","failed","Wed May 14 16:11:56 GMT 2025","v1 > Report > Get Report by Id","Bank Admin","",""
"","57","Invalid ID - Get single definition","QA|Nova Bank - Infopool","Wed May 14 16:11:50 GMT 2025","failed","Wed May 14 16:11:50 GMT 2025","v1 > Static Definitions > Retrieve definition by ID","Bank Admin","",""
"Create a new report","58","Create Report","QA|Nova Bank - Infopool","Wed May 14 16:11:56 GMT 2025","failed","Wed May 14 16:11:56 GMT 2025","v1 > Report > Create Report","Bank Admin","",""
