"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","37","update role","QA|Nova Bank - Infopool","Wed May 14 16:22:15 GMT 2025","failed","Wed May 14 16:22:15 GMT 2025","v1 > Users > Role > Update role","Bank Admin","",""
"Delete a report (soft delete)","35","Delete Report - Invalid id","QA|Nova Bank - Infopool","Wed May 14 16:22:25 GMT 2025","failed","Wed May 14 16:22:25 GMT 2025","v1 > Report > Delete Report","Bank Admin","",""
"","29","Logout session - no session","QA|Nova Bank - Infopool","Wed May 14 16:22:18 GMT 2025","passed","Wed May 14 16:22:18 GMT 2025","v1 > Logout","Bank Admin","",""
"","36","Get Report Data - Invalid id","QA|Nova Bank - Infopool","Wed May 14 16:22:25 GMT 2025","failed","Wed May 14 16:22:25 GMT 2025","v1 > Report > Get Report Data","Bank Admin","",""
"","32","No Auth - Add Comment to Issue","QA|Nova Bank - Infopool","Wed May 14 16:22:07 GMT 2025","passed","Wed May 14 16:22:07 GMT 2025","v1 > Customer 360 > Issues > add comment to an issue","Bank User","",""
"","38","Create organization - empty city value","QA|Nova Bank - Infopool","Wed May 14 16:22:16 GMT 2025","failed","Wed May 14 16:22:16 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","163","Create a New Issue","QA|Nova Bank - Infopool","Wed May 14 16:22:06 GMT 2025","failed","Wed May 14 16:22:06 GMT 2025","v1 > Customer 360 > Issues > create a new issue","Bank User","",""
"Get Email or SMS OTP. For OTP, you need to provide either `email` or `phone` if you are not logged in.
    `operation` can be one of: 
- LOGIN
- FORGOT_PASSWORD
- CREATE_ROLE
- UPDATE_ROLE
- DELETE_ROLE","43","Empty Channel - Get Email or SMS OTP","QA|Nova Bank - Infopool","Wed May 14 16:22:04 GMT 2025","passed","Wed May 14 16:22:04 GMT 2025","v1 > Auth > MFA > Request","Bank User","",""
"","37","Create organization - empty street value","QA|Nova Bank - Infopool","Wed May 14 16:22:16 GMT 2025","failed","Wed May 14 16:22:16 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","30","No Auth - Delete Customer Comment","QA|Nova Bank - Infopool","Wed May 14 16:22:07 GMT 2025","passed","Wed May 14 16:22:08 GMT 2025","v1 > Customer 360 > Comments > delete customer comment","Bank User","",""
"Get a paginated list of reports with optional filtering","32","Get Reports - No auth","QA|Nova Bank - Infopool","Wed May 14 16:22:18 GMT 2025","passed","Wed May 14 16:22:18 GMT 2025","v1 > Report > Get Report","Bank Admin","",""
"","36","Search Customers","QA|Nova Bank - Infopool","Wed May 14 16:22:08 GMT 2025","failed","Wed May 14 16:22:08 GMT 2025","v1 > Customer 360 > Search for a customer > search by phone number","Bank User","",""
"","36","Fetch Customer By ID","QA|Nova Bank - Infopool","Wed May 14 16:22:08 GMT 2025","failed","Wed May 14 16:22:08 GMT 2025","v1 > Customer 360 > Fetch customer by ID","Bank User","",""
"","36","Update Customer Comment","QA|Nova Bank - Infopool","Wed May 14 16:22:07 GMT 2025","failed","Wed May 14 16:22:07 GMT 2025","v1 > Customer 360 > Comments > update comment to customer","Bank User","",""
"","31","Update organization details by ID - No auth","QA|Nova Bank - Infopool","Wed May 14 16:22:16 GMT 2025","passed","Wed May 14 16:22:16 GMT 2025","v1 > Organizations > Update organization","Bank Admin","",""
"","33","No email - Forgot Password","QA|Nova Bank - Infopool","Wed May 14 16:22:04 GMT 2025","passed","Wed May 14 16:22:04 GMT 2025","v1 > Auth > Forgot password > Initiate forget password","Bank User","",""
"","33","Get profile roles - No Auth","QA|Nova Bank - Infopool","Wed May 14 16:22:05 GMT 2025","passed","Wed May 14 16:22:05 GMT 2025","v1 > Profile > Roles","Bank User","",""
"","36","Invalid attachment id - Delete Attachment from Issue","QA|Nova Bank - Infopool","Wed May 14 16:22:07 GMT 2025","failed","Wed May 14 16:22:07 GMT 2025","v1 > Customer 360 > Issues > delete attachment to an issue","Bank User","",""
"","36","Get all permissions","QA|Nova Bank - Infopool","Wed May 14 16:22:18 GMT 2025","failed","Wed May 14 16:22:18 GMT 2025","v1 > Permissions > Get permissions","Bank Admin","",""
"Get a paginated list of reports with optional filtering","36","Get Reports","QA|Nova Bank - Infopool","Wed May 14 16:22:18 GMT 2025","failed","Wed May 14 16:22:18 GMT 2025","v1 > Report > Get Report","Bank Admin","",""
"","32","Create organization - empty mis code","QA|Nova Bank - Infopool","Wed May 14 16:22:16 GMT 2025","failed","Wed May 14 16:22:16 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","32","No Auth - Get Issue by ID","QA|Nova Bank - Infopool","Wed May 14 16:22:07 GMT 2025","passed","Wed May 14 16:22:07 GMT 2025","v1 > Customer 360 > Issues > get issue by Id","Bank User","",""
"","40","Create roles - Existing role","QA|Nova Bank - Infopool","Wed May 14 16:22:17 GMT 2025","failed","Wed May 14 16:22:17 GMT 2025","v1 > Roles > Create role","Bank Admin","",""
"","37","Get Report Data - Question","QA|Nova Bank - Infopool","Wed May 14 16:22:25 GMT 2025","failed","Wed May 14 16:22:25 GMT 2025","v1 > Report > Get Report Data","Bank Admin","",""
"","33","Empty last name - Send user invitation token","QA|Nova Bank - Infopool","Wed May 14 16:22:06 GMT 2025","passed","Wed May 14 16:22:06 GMT 2025","v1 > Onboarding > Complete profile","Bank User","",""
"","38","Create organization - no country ID","QA|Nova Bank - Infopool","Wed May 14 16:22:16 GMT 2025","failed","Wed May 14 16:22:16 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","30","No auth - Update role status","QA|Nova Bank - Infopool","Wed May 14 16:22:17 GMT 2025","passed","Wed May 14 16:22:17 GMT 2025","v1 > Roles > Update role","Bank Admin","",""
"","8","New Request","QA|Nova Bank - Infopool","Wed May 14 16:22:04 GMT 2025","broken","Wed May 14 16:22:04 GMT 2025","v1 > Auth > Forgot password > Reset password","Bank User","",""
"","37","Invalid ID - Add Comment to Customer","QA|Nova Bank - Infopool","Wed May 14 16:22:07 GMT 2025","failed","Wed May 14 16:22:07 GMT 2025","v1 > Customer 360 > Comments > add comment to customer","Bank User","",""
"","6879","Successful login","QA|Nova Bank - Infopool","Wed May 14 16:21:57 GMT 2025","passed","Wed May 14 16:22:04 GMT 2025","v1 > Auth > Session > Login","Bank User","",""
"Get a specific report by ID","36","Get Report by ID - Invalid id","QA|Nova Bank - Infopool","Wed May 14 16:22:18 GMT 2025","failed","Wed May 14 16:22:18 GMT 2025","v1 > Report > Get Report by Id","Bank Admin","",""
"","133","Update profile - Invalid file size","QA|Nova Bank - Infopool","Wed May 14 16:22:05 GMT 2025","failed","Wed May 14 16:22:05 GMT 2025","v1 > Profile > update profile image","Bank User","",""
"","36","Fetch all users in an organization","QA|Nova Bank - Infopool","Wed May 14 16:22:17 GMT 2025","failed","Wed May 14 16:22:17 GMT 2025","v1 > Organizations > Users > Fetch users in an organization","Bank Admin","",""
"Get a paginated list of reports with optional filtering","38","Get Report Objects - Dashboard","QA|Nova Bank - Infopool","Wed May 14 16:22:18 GMT 2025","failed","Wed May 14 16:22:18 GMT 2025","v1 > Report > Get Report Object","Bank Admin","",""
"","32","No auth - managers","QA|Nova Bank - Infopool","Wed May 14 16:22:17 GMT 2025","passed","Wed May 14 16:22:17 GMT 2025","v1 > Organizations > Managers > Fetch managers of an organization","Bank Admin","",""
"","32","Empty first name - Send user invitation token","QA|Nova Bank - Infopool","Wed May 14 16:22:06 GMT 2025","passed","Wed May 14 16:22:06 GMT 2025","v1 > Onboarding > Complete profile","Bank User","",""
"","39","Invalid ID - Update Customer Comment","QA|Nova Bank - Infopool","Wed May 14 16:22:07 GMT 2025","failed","Wed May 14 16:22:07 GMT 2025","v1 > Customer 360 > Comments > update comment to customer","Bank User","",""
"","38","Update user - empty action field","QA|Nova Bank - Infopool","Wed May 14 16:22:15 GMT 2025","failed","Wed May 14 16:22:15 GMT 2025","v1 > Users > Update user","Bank Admin","",""
"","33","Update profile - No Auth","QA|Nova Bank - Infopool","Wed May 14 16:22:05 GMT 2025","passed","Wed May 14 16:22:05 GMT 2025","v1 > Profile > update profile image","Bank User","",""
"Get a paginated list of reports with optional filtering","38","Get Reports - filter by invalid category Id","QA|Nova Bank - Infopool","Wed May 14 16:22:18 GMT 2025","failed","Wed May 14 16:22:18 GMT 2025","v1 > Report > Get Report","Bank Admin","",""
"Get Email or SMS OTP. For OTP, you need to provide either `email` or `phone` if you are not logged in.
    `operation` can be one of: 
- LOGIN
- FORGOT_PASSWORD
- CREATE_ROLE
- UPDATE_ROLE
- DELETE_ROLE","39","Invalid Operation - Get Email or SMS OTP","QA|Nova Bank - Infopool","Wed May 14 16:22:04 GMT 2025","passed","Wed May 14 16:22:04 GMT 2025","v1 > Auth > MFA > Request","Bank User","",""
"","39","Get Issue by ID","QA|Nova Bank - Infopool","Wed May 14 16:22:07 GMT 2025","failed","Wed May 14 16:22:07 GMT 2025","v1 > Customer 360 > Issues > get issue by Id","Bank User","",""
"","43","Change password - successful","QA|Nova Bank - Infopool","Wed May 14 16:22:05 GMT 2025","failed","Wed May 14 16:22:05 GMT 2025","v1 > Profile > Password","Bank User","",""
"","30","No auth - Fetch sub-organizations of a parent organization","QA|Nova Bank - Infopool","Wed May 14 16:22:17 GMT 2025","passed","Wed May 14 16:22:17 GMT 2025","v1 > Organizations > Sub-organizations > Fetch sub-organizations","Bank Admin","",""
