"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","22","Get role by ID - no auth","QA|Nova Bank - Infopool","Sun May 18 20:26:35 GMT 2025","passed","Sun May 18 20:26:35 GMT 2025","v1 > Roles > Get role by ID","Bank Admin","",""
"","23","No auth - category by id","QA|Nova Bank - Infopool","Sun May 18 20:26:35 GMT 2025","passed","Sun May 18 20:26:35 GMT 2025","v1 > Notifications > Category > Fetch category by d","Bank Admin","",""
"","25","Update organization details by ID - No auth","QA|Nova Bank - Infopool","Sun May 18 20:26:34 GMT 2025","passed","Sun May 18 20:26:34 GMT 2025","v1 > Organizations > Update organization","Bank Admin","",""
"","36","Empty priority - Create a New Issue","QA|Nova Bank - Infopool","Sun May 18 20:26:25 GMT 2025","failed","Sun May 18 20:26:25 GMT 2025","v1 > Customer 360 > Issues > create a new issue","Bank User","",""
"","24","Fetch Customer By ID no Auth","QA|Nova Bank - Infopool","Sun May 18 20:26:26 GMT 2025","passed","Sun May 18 20:26:26 GMT 2025","v1 > Customer 360 > Fetch customer by ID","Bank User","",""
"","27","No Auth - Get profile roles - successful","QA|Nova Bank - Infopool","Sun May 18 20:26:23 GMT 2025","passed","Sun May 18 20:26:23 GMT 2025","v1 > Profile > Roles","Bank User","",""
"","25","Get profile - user not logged in","QA|Nova Bank - Infopool","Sun May 18 20:26:24 GMT 2025","passed","Sun May 18 20:26:24 GMT 2025","v1 > Profile > Get profile","Bank User","",""
"","24","No auth - Create  organization","QA|Nova Bank - Infopool","Sun May 18 20:26:33 GMT 2025","passed","Sun May 18 20:26:33 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","32","audit trail","QA|Nova Bank - Infopool","Sun May 18 20:26:24 GMT 2025","failed","Sun May 18 20:26:24 GMT 2025","v1 > Audit trail > Audit trail","Bank User","",""
"","25","No Auth - Change password","QA|Nova Bank - Infopool","Sun May 18 20:26:23 GMT 2025","passed","Sun May 18 20:26:23 GMT 2025","v1 > Profile > Password","Bank User","",""
"","32","Get events - invalid start date","QA|Nova Bank - Infopool","Sun May 18 20:26:24 GMT 2025","failed","Sun May 18 20:26:24 GMT 2025","v1 > Audit trail > Event","Bank User","",""
"","26","Get role by ID - successful","QA|Nova Bank - Infopool","Sun May 18 20:26:35 GMT 2025","failed","Sun May 18 20:26:35 GMT 2025","v1 > Roles > Get role by ID","Bank Admin","",""
"","25","No auth - Update role status","QA|Nova Bank - Infopool","Sun May 18 20:26:35 GMT 2025","passed","Sun May 18 20:26:35 GMT 2025","v1 > Roles > Update role","Bank Admin","",""
"","27","category by id","QA|Nova Bank - Infopool","Sun May 18 20:26:35 GMT 2025","failed","Sun May 18 20:26:35 GMT 2025","v1 > Notifications > Category > Fetch category by d","Bank Admin","",""
"","27","ID does not exist - Get single definition","QA|Nova Bank - Infopool","Sun May 18 20:26:33 GMT 2025","failed","Sun May 18 20:26:33 GMT 2025","v1 > Static Definitions > Retrieve definition by ID","Bank Admin","",""
"","31","No user credentials","QA|Nova Bank - Infopool","Sun May 18 20:26:23 GMT 2025","passed","Sun May 18 20:26:23 GMT 2025","v1 > Auth > Session > Login","Bank User","",""
"","30","Fetch user by ID - ID does not exist","QA|Nova Bank - Infopool","Sun May 18 20:26:33 GMT 2025","failed","Sun May 18 20:26:33 GMT 2025","v1 > Users > Fetch user by ID","Bank Admin","",""
"","30","Update Customer Comment","QA|Nova Bank - Infopool","Sun May 18 20:26:25 GMT 2025","failed","Sun May 18 20:26:25 GMT 2025","v1 > Customer 360 > Comments > update comment to customer","Bank User","",""
"","30","Empty first name - Send user invitation token","QA|Nova Bank - Infopool","Sun May 18 20:26:24 GMT 2025","passed","Sun May 18 20:26:24 GMT 2025","v1 > Onboarding > Complete profile","Bank User","",""
"Get Email or SMS OTP. For OTP, you need to provide either `email` or `phone` if you are not logged in.
    `operation` can be one of: 
- LOGIN
- FORGOT_PASSWORD
- CREATE_ROLE
- UPDATE_ROLE
- DELETE_ROLE","32","Invalid Operation - Get Email or SMS OTP","QA|Nova Bank - Infopool","Sun May 18 20:26:23 GMT 2025","passed","Sun May 18 20:26:23 GMT 2025","v1 > Auth > MFA > Request","Bank User","",""
"","43","Fetch sub-organizations of a parent organization","QA|Nova Bank - Infopool","Sun May 18 20:26:34 GMT 2025","failed","Sun May 18 20:26:34 GMT 2025","v1 > Organizations > Sub-organizations > Fetch sub-organizations","Bank Admin","",""
"Get a paginated list of reports with optional filtering","26","Get Reports - No auth","QA|Nova Bank - Infopool","Sun May 18 20:26:35 GMT 2025","passed","Sun May 18 20:26:35 GMT 2025","v1 > Report > Get Report","Bank Admin","",""
"","25","No Auth - Fetch Customer Comments","QA|Nova Bank - Infopool","Sun May 18 20:26:25 GMT 2025","passed","Sun May 18 20:26:25 GMT 2025","v1 > Customer 360 > Comments > fetch customer comment","Bank User","",""
"","27","get all category","QA|Nova Bank - Infopool","Sun May 18 20:26:35 GMT 2025","failed","Sun May 18 20:26:35 GMT 2025","v1 > Notifications > Category > Fetch all category","Bank Admin","",""
"","27","Logout session successfully","QA|Nova Bank - Infopool","Sun May 18 20:26:35 GMT 2025","failed","Sun May 18 20:26:35 GMT 2025","v1 > Logout","Bank Admin","",""
"","29","Search Customers","QA|Nova Bank - Infopool","Sun May 18 20:26:26 GMT 2025","failed","Sun May 18 20:26:26 GMT 2025","v1 > Customer 360 > Search for a customer > search by phone number","Bank User","",""
