"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Delete a report (soft delete)","59","Delete Report","QA|Nova Bank - Infopool","Sat May 24 01:38:44 GMT 2025","failed","Sat May 24 01:38:44 GMT 2025","v1 > Report > Delete Report","Bank Admin","",""
"","60","Fetch organizations by ID - successful","QA|Nova Bank - Infopool","Sat May 24 01:38:39 GMT 2025","failed","Sat May 24 01:38:39 GMT 2025","v1 > Organizations > Fetch organiation by ID","Bank Admin","",""
"","57","No Auth - Search Customers","QA|Nova Bank - Infopool","Sat May 24 01:38:36 GMT 2025","passed","Sat May 24 01:38:36 GMT 2025","v1 > Customer 360 > Search for a customer > search by name","Bank User","",""
"Delete a report (soft delete)","60","Delete Report - Invalid id","QA|Nova Bank - Infopool","Sat May 24 01:38:44 GMT 2025","failed","Sat May 24 01:38:44 GMT 2025","v1 > Report > Delete Report","Bank Admin","",""
"Get Email or SMS OTP. For OTP, you need to provide either `email` or `phone` if you are not logged in.
    `operation` can be one of: 
- LOGIN
- FORGOT_PASSWORD
- CREATE_ROLE
- UPDATE_ROLE
- DELETE_ROLE","63","Invalid Auth - Empty Channel - Get Email or SMS OTP","QA|Nova Bank - Infopool","Sat May 24 01:38:30 GMT 2025","passed","Sat May 24 01:38:30 GMT 2025","v1 > Auth > MFA > Request","Bank User","",""
"","61","No Auth - Get all Issues","QA|Nova Bank - Infopool","Sat May 24 01:38:34 GMT 2025","passed","Sat May 24 01:38:34 GMT 2025","v1 > Customer 360 > Issues > get all issues","Bank User","",""
"Update an existing report","58","Update Report","QA|Nova Bank - Infopool","Sat May 24 01:38:43 GMT 2025","passed","Sat May 24 01:38:44 GMT 2025","v1 > Report > Update Report","Bank Admin","",""
"","60","Fetch Customer By ID - invalid id","QA|Nova Bank - Infopool","Sat May 24 01:38:36 GMT 2025","failed","Sat May 24 01:38:36 GMT 2025","v1 > Customer 360 > Fetch customer by ID","Bank User","",""
"","57","Get roles - successful","QA|Nova Bank - Infopool","Sat May 24 01:38:41 GMT 2025","passed","Sat May 24 01:38:41 GMT 2025","v1 > Roles > Get roles","Bank Admin","",""
"","59","No auth - Update role status","QA|Nova Bank - Infopool","Sat May 24 01:38:41 GMT 2025","passed","Sat May 24 01:38:41 GMT 2025","v1 > Roles > Update role","Bank Admin","",""
"","61","No Auth - Fetch all organizations","QA|Nova Bank - Infopool","Sat May 24 01:38:39 GMT 2025","passed","Sat May 24 01:38:39 GMT 2025","v1 > Organizations > Fetch organization","Bank Admin","",""
"Get a paginated list of reports with optional filtering","63","Get Report Objects - Dashboard","QA|Nova Bank - Infopool","Sat May 24 01:38:43 GMT 2025","failed","Sat May 24 01:38:43 GMT 2025","v1 > Report > Get Report Object","Bank Admin","",""
"","61","No Auth - Fetch Customer Comments","QA|Nova Bank - Infopool","Sat May 24 01:38:35 GMT 2025","failed","Sat May 24 01:38:35 GMT 2025","v1 > Customer 360 > Comments > fetch customer comment","Bank User","",""
"","59","Fetch Customers Transactions","QA|Nova Bank - Infopool","Sat May 24 01:38:36 GMT 2025","failed","Sat May 24 01:38:36 GMT 2025","v1 > Customer 360 > Fetch customers transaction","Bank User","",""
"","63","Empty new password - Change password","QA|Nova Bank - Infopool","Sat May 24 01:38:31 GMT 2025","failed","Sat May 24 01:38:31 GMT 2025","v1 > Profile > Password","Bank User","",""
"","58","Get all permissions","QA|Nova Bank - Infopool","Sat May 24 01:38:42 GMT 2025","failed","Sat May 24 01:38:42 GMT 2025","v1 > Permissions > Get permissions","Bank Admin","",""
"","62","Empty authentication type - Send user invitation token","QA|Nova Bank - Infopool","Sat May 24 01:38:32 GMT 2025","failed","Sat May 24 01:38:32 GMT 2025","v1 > Onboarding > Complete profile","Bank User","",""
"","63","Create organization - organization type ID does not exist","QA|Nova Bank - Infopool","Sat May 24 01:38:39 GMT 2025","failed","Sat May 24 01:38:39 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","62","Update profile","QA|Nova Bank - Infopool","Sat May 24 01:38:31 GMT 2025","failed","Sat May 24 01:38:31 GMT 2025","v1 > Profile > update profile image","Bank User","",""
"","756","Create a New Issue","QA|Nova Bank - Infopool","Sat May 24 01:38:32 GMT 2025","passed","Sat May 24 01:38:33 GMT 2025","v1 > Customer 360 > Issues > create a new issue","Bank User","",""
"","60","Empty current password - Change password","QA|Nova Bank - Infopool","Sat May 24 01:38:31 GMT 2025","failed","Sat May 24 01:38:31 GMT 2025","v1 > Profile > Password","Bank User","",""
"","61","Update organization details by ID - incorrect operation manager ID","QA|Nova Bank - Infopool","Sat May 24 01:38:40 GMT 2025","failed","Sat May 24 01:38:40 GMT 2025","v1 > Organizations > Update organization","Bank Admin","",""
"","61","Delete Attachment from Issue","QA|Nova Bank - Infopool","Sat May 24 01:38:35 GMT 2025","failed","Sat May 24 01:38:35 GMT 2025","v1 > Customer 360 > Issues > delete attachment to an issue","Bank User","",""
"","60","No auth - Add Comment to Customer","QA|Nova Bank - Infopool","Sat May 24 01:38:35 GMT 2025","passed","Sat May 24 01:38:35 GMT 2025","v1 > Customer 360 > Comments > add comment to customer","Bank User","",""
"","58","No Auth - Fetch Customers Accounts","QA|Nova Bank - Infopool","Sat May 24 01:38:37 GMT 2025","passed","Sat May 24 01:38:37 GMT 2025","v1 > Customer 360 > Fetch customer accounts","Bank User","",""
"","60","Role does not exist - update role","QA|Nova Bank - Infopool","Sat May 24 01:38:38 GMT 2025","failed","Sat May 24 01:38:38 GMT 2025","v1 > Users > Role > Update role","Bank Admin","",""
"","59","Update role status","QA|Nova Bank - Infopool","Sat May 24 01:38:41 GMT 2025","failed","Sat May 24 01:38:41 GMT 2025","v1 > Roles > Update role","Bank Admin","",""
"","58","No auth - Fetch all users in an organization","QA|Nova Bank - Infopool","Sat May 24 01:38:40 GMT 2025","passed","Sat May 24 01:38:40 GMT 2025","v1 > Organizations > Users > Fetch users in an organization","Bank Admin","",""
"","10","New Request","QA|Nova Bank - Infopool","Sat May 24 01:38:30 GMT 2025","broken","Sat May 24 01:38:30 GMT 2025","v1 > Auth > Forgot password > Reset password","Bank User","",""
"","59","Fetch Customer By ID no Auth","QA|Nova Bank - Infopool","Sat May 24 01:38:36 GMT 2025","passed","Sat May 24 01:38:36 GMT 2025","v1 > Customer 360 > Fetch customer by ID","Bank User","",""
"","59","Fetch user by ID - successful","QA|Nova Bank - Infopool","Sat May 24 01:38:37 GMT 2025","failed","Sat May 24 01:38:37 GMT 2025","v1 > Users > Fetch user by ID","Bank Admin","",""
"","58","Fetch user by ID - no auth","QA|Nova Bank - Infopool","Sat May 24 01:38:37 GMT 2025","passed","Sat May 24 01:38:37 GMT 2025","v1 > Users > Fetch user by ID","Bank Admin","",""
"","58","Get single definition","QA|Nova Bank - Infopool","Sat May 24 01:38:37 GMT 2025","failed","Sat May 24 01:38:37 GMT 2025","v1 > Static Definitions > Retrieve definition by ID","Bank Admin","",""
"","72","Get profile roles - successful","QA|Nova Bank - Infopool","Sat May 24 01:38:30 GMT 2025","passed","Sat May 24 01:38:30 GMT 2025","v1 > Profile > Roles","Bank User","",""
"","59","Update user - successful","QA|Nova Bank - Infopool","Sat May 24 01:38:38 GMT 2025","failed","Sat May 24 01:38:38 GMT 2025","v1 > Users > Update user","Bank Admin","",""
"","71","No user credentials","QA|Nova Bank - Infopool","Sat May 24 01:38:29 GMT 2025","passed","Sat May 24 01:38:29 GMT 2025","v1 > Auth > Session > Login","Bank User","",""
"","73","Invalid email format","QA|Nova Bank - Infopool","Sat May 24 01:38:29 GMT 2025","passed","Sat May 24 01:38:29 GMT 2025","v1 > Auth > Session > Login","Bank User","",""
"","57","Add user to an organization -user ID does not exist","QA|Nova Bank - Infopool","Sat May 24 01:38:41 GMT 2025","passed","Sat May 24 01:38:41 GMT 2025","v1 > Organizations > Users > Add users to an organization","Bank Admin","",""
"Get a paginated list of reports with optional filtering","58","Get Reports Stats - No Auth","QA|Nova Bank - Infopool","Sat May 24 01:38:43 GMT 2025","passed","Sat May 24 01:38:43 GMT 2025","v1 > Report > Get Report Stats","Bank Admin","",""
"","59","get all category","QA|Nova Bank - Infopool","Sat May 24 01:38:42 GMT 2025","failed","Sat May 24 01:38:42 GMT 2025","v1 > Notifications > Category > Fetch all category","Bank Admin","",""
"","60","Create organization - no name","QA|Nova Bank - Infopool","Sat May 24 01:38:39 GMT 2025","failed","Sat May 24 01:38:39 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"Delete a report (soft delete)","58","Delete Report -No auth","QA|Nova Bank - Infopool","Sat May 24 01:38:44 GMT 2025","failed","Sat May 24 01:38:44 GMT 2025","v1 > Report > Delete Report","Bank Admin","",""
"","62","No Auth - Fetch all users","QA|Nova Bank - Infopool","Sat May 24 01:38:38 GMT 2025","passed","Sat May 24 01:38:38 GMT 2025","v1 > Users > Fetch users","Bank Admin","",""
"Create a new report","62","Create Report - No auth","QA|Nova Bank - Infopool","Sat May 24 01:38:43 GMT 2025","passed","Sat May 24 01:38:43 GMT 2025","v1 > Report > Create Report","Bank Admin","",""
"","61","Delete Customer Comment","QA|Nova Bank - Infopool","Sat May 24 01:38:35 GMT 2025","failed","Sat May 24 01:38:35 GMT 2025","v1 > Customer 360 > Comments > delete customer comment","Bank User","",""
"","61","Update Customer Comment","QA|Nova Bank - Infopool","Sat May 24 01:38:35 GMT 2025","failed","Sat May 24 01:38:35 GMT 2025","v1 > Customer 360 > Comments > update comment to customer","Bank User","",""
"","65","No Auth - Update Issue","QA|Nova Bank - Infopool","Sat May 24 01:38:34 GMT 2025","passed","Sat May 24 01:38:34 GMT 2025","v1 > Customer 360 > Issues > update issue","Bank User","",""
"","118","Get profile - successfully","QA|Nova Bank - Infopool","Sat May 24 01:38:31 GMT 2025","failed","Sat May 24 01:38:31 GMT 2025","v1 > Profile > Get profile","Bank User","",""
"Get a paginated list of reports with optional filtering","63","Get Reports - filter by invalid category Id","QA|Nova Bank - Infopool","Sat May 24 01:38:42 GMT 2025","failed","Sat May 24 01:38:43 GMT 2025","v1 > Report > Get Report","Bank Admin","",""
"","61","Export Report Data","QA|Nova Bank - Infopool","Sat May 24 01:38:44 GMT 2025","failed","Sat May 24 01:38:44 GMT 2025","v1 > Report > Export Report Data","Bank Admin","",""
"","58","Remove user from an organization - no auth","QA|Nova Bank - Infopool","Sat May 24 01:38:41 GMT 2025","passed","Sat May 24 01:38:41 GMT 2025","v1 > Organizations > Users > Remove users from an organization","Bank Admin","",""
"","120","Add Comment to Customer","QA|Nova Bank - Infopool","Sat May 24 01:38:35 GMT 2025","passed","Sat May 24 01:38:35 GMT 2025","v1 > Customer 360 > Comments > add comment to customer","Bank User","",""
"","60","Update user - ID does not exist","QA|Nova Bank - Infopool","Sat May 24 01:38:38 GMT 2025","failed","Sat May 24 01:38:38 GMT 2025","v1 > Users > Update user","Bank Admin","",""
"Create a new report","60","Create Report","QA|Nova Bank - Infopool","Sat May 24 01:38:43 GMT 2025","failed","Sat May 24 01:38:43 GMT 2025","v1 > Report > Create Report","Bank Admin","",""
"","59","Invalid ID - Get single definition","QA|Nova Bank - Infopool","Sat May 24 01:38:37 GMT 2025","failed","Sat May 24 01:38:37 GMT 2025","v1 > Static Definitions > Retrieve definition by ID","Bank Admin","",""
"","63","Create organization - operations manager ID does not exist","QA|Nova Bank - Infopool","Sat May 24 01:38:39 GMT 2025","failed","Sat May 24 01:38:39 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","59","Create roles - Existing role","QA|Nova Bank - Infopool","Sat May 24 01:38:41 GMT 2025","failed","Sat May 24 01:38:41 GMT 2025","v1 > Roles > Create role","Bank Admin","",""
"Get a specific report by ID","61","Get Report by ID - Invalid id","QA|Nova Bank - Infopool","Sat May 24 01:38:43 GMT 2025","failed","Sat May 24 01:38:43 GMT 2025","v1 > Report > Get Report by Id","Bank Admin","",""
