"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","44","Get roles - successful","Nova Bank - Infopool","Sun Feb 23 20:22:58 GMT 2025","passed","Sun Feb 23 20:22:58 GMT 2025","v1 > Roles > Get roles","Bank Admin","",""
"","28","Logout session - no session","Nova Bank - Infopool","Sun Feb 23 20:22:59 GMT 2025","failed","Sun Feb 23 20:22:59 GMT 2025","v1 > Logout","Bank Admin","",""
"","20","Add user to an organization -user ID does not exist","Nova Bank - Infopool","Sun Feb 23 20:22:58 GMT 2025","passed","Sun Feb 23 20:22:58 GMT 2025","v1 > Organizations > Users > Add users to an organization","Bank Admin","",""
"","24","Get permission by ID - successful","Nova Bank - Infopool","Sun Feb 23 20:22:59 GMT 2025","failed","Sun Feb 23 20:22:59 GMT 2025","v1 > Permissions > Get permission by ID","Bank Admin","",""
"","18","Retrieve setting by ID - invalid ID","Nova Bank - Infopool","Sun Feb 23 20:22:56 GMT 2025","passed","Sun Feb 23 20:22:56 GMT 2025","v1 > System Settings > Retrieve setting by ID","Bank Admin","",""
"","63","Create roles - successful","Nova Bank - Infopool","Sun Feb 23 20:22:58 GMT 2025","passed","Sun Feb 23 20:22:59 GMT 2025","v1 > Roles > Create role","Bank Admin","",""
"","20","Update Setting - successful","Nova Bank - Infopool","Sun Feb 23 20:22:56 GMT 2025","passed","Sun Feb 23 20:22:56 GMT 2025","v1 > System Settings > Update Settings","Bank Admin","",""
"","20","Retrieve setting by entity ID","Nova Bank - Infopool","Sun Feb 23 20:22:56 GMT 2025","passed","Sun Feb 23 20:22:56 GMT 2025","v1 > System Settings > Entity","Bank Admin","",""
"","53","Delete organization details by ID - successful","Nova Bank - Infopool","Sun Feb 23 20:22:58 GMT 2025","failed","Sun Feb 23 20:22:58 GMT 2025","v1 > Organizations > Delete organization","Bank Admin","",""
"","51","Fetch organizations by ID - successful","Nova Bank - Infopool","Sun Feb 23 20:22:57 GMT 2025","failed","Sun Feb 23 20:22:57 GMT 2025","v1 > Organizations > Fetch organiation by ID","Bank Admin","",""
"","20","Retrieve setting by ID","Nova Bank - Infopool","Sun Feb 23 20:22:56 GMT 2025","passed","Sun Feb 23 20:22:56 GMT 2025","v1 > System Settings > Retrieve setting by ID","Bank Admin","",""
"","20","Create master setting - empty maximum value","Nova Bank - Infopool","Sun Feb 23 20:22:56 GMT 2025","passed","Sun Feb 23 20:22:56 GMT 2025","v1 > System Settings > Master > Create Master Setting","Bank Admin","",""
"","19","Create Settings - missing meta values","Nova Bank - Infopool","Sun Feb 23 20:22:56 GMT 2025","passed","Sun Feb 23 20:22:56 GMT 2025","v1 > System Settings > Create Settings","Bank Admin","",""
"","53","Create organization - organization type ID does not exist","Nova Bank - Infopool","Sun Feb 23 20:22:57 GMT 2025","failed","Sun Feb 23 20:22:57 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","49","Get all definitions","Nova Bank - Infopool","Sun Feb 23 20:22:55 GMT 2025","failed","Sun Feb 23 20:22:55 GMT 2025","v1 > Static Definitions > Retrieve definition by ID","Bank Admin","",""
"","52","Change password - invalid current password","Nova Bank - Infopool","Sun Feb 23 20:22:53 GMT 2025","failed","Sun Feb 23 20:22:53 GMT 2025","v1 > Profile > Password","Bank User","",""
"","49","update notification template","Nova Bank - Infopool","Sun Feb 23 20:22:59 GMT 2025","passed","Sun Feb 23 20:22:59 GMT 2025","v1 > Notifications > Templates","Bank Admin","",""
