"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","38","Update user - successful","QA|Nova Bank - Infopool","Sun May 25 15:21:02 GMT 2025","failed","Sun May 25 15:21:02 GMT 2025","v1 > Users > Update user","Bank Admin","",""
"","38","Get Report Data - No auth","QA|Nova Bank - Infopool","Sun May 25 15:21:12 GMT 2025","passed","Sun May 25 15:21:12 GMT 2025","v1 > Report > Get Report Data","Bank Admin","",""
"","38","Create organization - empty city value","QA|Nova Bank - Infopool","Sun May 25 15:21:03 GMT 2025","failed","Sun May 25 15:21:03 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","37","Empty password - Send user invitation token","QA|Nova Bank - Infopool","Sun May 25 15:20:59 GMT 2025","passed","Sun May 25 15:20:59 GMT 2025","v1 > Onboarding > Complete profile","Bank User","",""
"","39","Empty new password - Change password","QA|Nova Bank - Infopool","Sun May 25 15:20:58 GMT 2025","failed","Sun May 25 15:20:58 GMT 2025","v1 > Profile > Password","Bank User","",""
"","44","No user credentials","QA|Nova Bank - Infopool","Sun May 25 15:20:57 GMT 2025","passed","Sun May 25 15:20:57 GMT 2025","v1 > Auth > Session > Login","Bank User","",""
"","34","Get events - invalid end date","QA|Nova Bank - Infopool","Sun May 25 15:20:58 GMT 2025","failed","Sun May 25 15:20:58 GMT 2025","v1 > Audit trail > Event","Bank User","",""
"","36","Search Customers","QA|Nova Bank - Infopool","Sun May 25 15:21:01 GMT 2025","failed","Sun May 25 15:21:01 GMT 2025","v1 > Customer 360 > Search for a customer > search by name","Bank User","",""
"","35","No Auth - Fetch Customers Accounts","QA|Nova Bank - Infopool","Sun May 25 15:21:02 GMT 2025","passed","Sun May 25 15:21:02 GMT 2025","v1 > Customer 360 > Fetch customer accounts","Bank User","",""
"Get a paginated list of reports with optional filtering","37","Get Reports - filter by invalid category Id","QA|Nova Bank - Infopool","Sun May 25 15:21:11 GMT 2025","failed","Sun May 25 15:21:11 GMT 2025","v1 > Report > Get Report","Bank Admin","",""
"","33","No auth - get user role","QA|Nova Bank - Infopool","Sun May 25 15:21:03 GMT 2025","passed","Sun May 25 15:21:03 GMT 2025","v1 > Users > Role > Get role","Bank Admin","",""
"","35","No Auth - Search Customers","QA|Nova Bank - Infopool","Sun May 25 15:21:01 GMT 2025","passed","Sun May 25 15:21:01 GMT 2025","v1 > Customer 360 > Search for a customer > search by name","Bank User","",""
"","36","Delete organization details by ID -Invalid Id","QA|Nova Bank - Infopool","Sun May 25 15:21:04 GMT 2025","failed","Sun May 25 15:21:04 GMT 2025","v1 > Organizations > Delete organization","Bank Admin","",""
"","37","No Auth - Get profile roles - successful","QA|Nova Bank - Infopool","Sun May 25 15:20:58 GMT 2025","passed","Sun May 25 15:20:58 GMT 2025","v1 > Profile > Roles","Bank User","",""
"","37","Create organization - empty description","QA|Nova Bank - Infopool","Sun May 25 15:21:03 GMT 2025","failed","Sun May 25 15:21:03 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","37","Get Report Data - Invalid id","QA|Nova Bank - Infopool","Sun May 25 15:21:12 GMT 2025","failed","Sun May 25 15:21:12 GMT 2025","v1 > Report > Get Report Data","Bank Admin","",""
"","36","audit trail","QA|Nova Bank - Infopool","Sun May 25 15:20:58 GMT 2025","failed","Sun May 25 15:20:59 GMT 2025","v1 > Audit trail > Audit trail","Bank User","",""
"Get a paginated list of reports with optional filtering","35","Get Reports Stats - No Auth","QA|Nova Bank - Infopool","Sun May 25 15:21:11 GMT 2025","passed","Sun May 25 15:21:11 GMT 2025","v1 > Report > Get Report Stats","Bank Admin","",""
