"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","82","Fetch all users","QA|Nova Bank - Infopool","Sun May 25 15:26:58 GMT 2025","failed","Sun May 25 15:26:58 GMT 2025","v1 > Users > Fetch users","Bank Admin","",""
"","80","Create organization - empty description","QA|Nova Bank - Infopool","Sun May 25 15:27:00 GMT 2025","failed","Sun May 25 15:27:00 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","80","category by id","QA|Nova Bank - Infopool","Sun May 25 15:27:10 GMT 2025","failed","Sun May 25 15:27:10 GMT 2025","v1 > Notifications > Category > Fetch category by d","Bank Admin","",""
"","79","No Auth - Search Customers","QA|Nova Bank - Infopool","Sun May 25 15:26:56 GMT 2025","passed","Sun May 25 15:26:56 GMT 2025","v1 > Customer 360 > Search for a customer > search by name","Bank User","",""
"","87","Fetch sub-organizations of a parent organization","QA|Nova Bank - Infopool","Sun May 25 15:27:08 GMT 2025","failed","Sun May 25 15:27:08 GMT 2025","v1 > Organizations > Sub-organizations > Fetch sub-organizations","Bank Admin","",""
"","82","Invalid ID - Update Customer Comment","QA|Nova Bank - Infopool","Sun May 25 15:26:55 GMT 2025","failed","Sun May 25 15:26:55 GMT 2025","v1 > Customer 360 > Comments > update comment to customer","Bank User","",""
"Get Email or SMS OTP. For OTP, you need to provide either `email` or `phone` if you are not logged in.
    `operation` can be one of: 
- LOGIN
- FORGOT_PASSWORD
- CREATE_ROLE
- UPDATE_ROLE
- DELETE_ROLE","89","Empty Operation - Get Email or SMS OTP","QA|Nova Bank - Infopool","Sun May 25 15:26:48 GMT 2025","passed","Sun May 25 15:26:48 GMT 2025","v1 > Auth > MFA > Request","Bank User","",""
"","80","No auth - update role","QA|Nova Bank - Infopool","Sun May 25 15:26:59 GMT 2025","passed","Sun May 25 15:26:59 GMT 2025","v1 > Users > Role > Update role","Bank Admin","",""
"","80","Get all definitions","QA|Nova Bank - Infopool","Sun May 25 15:26:57 GMT 2025","failed","Sun May 25 15:26:57 GMT 2025","v1 > Static Definitions > Retrieve definition by ID","Bank Admin","",""
"Verify TOTP or OTP. For OTP, you need to provide either `email` or `phone` as the recipient if you are not logged in.
    Make sure the operation matches the one used to generate the OTP.

    `operation` can be one of: 
- LOGIN
- FORGOT_PASSWORD
- CREATE_ROLE
- UPDATE_ROLE
- DELETE_ROLE
    ","125","Invalid OTP - Verify MFA code, MFA backup code, Email or SMS OTP","QA|Nova Bank - Infopool","Sun May 25 15:26:48 GMT 2025","failed","Sun May 25 15:26:49 GMT 2025","v1 > Auth > MFA > Verify","Bank User","",""
"","83","Update user - invalid action","QA|Nova Bank - Infopool","Sun May 25 15:26:59 GMT 2025","failed","Sun May 25 15:26:59 GMT 2025","v1 > Users > Update user","Bank Admin","",""
"","79","Fetch Customer By ID no Auth","QA|Nova Bank - Infopool","Sun May 25 15:26:56 GMT 2025","passed","Sun May 25 15:26:56 GMT 2025","v1 > Customer 360 > Fetch customer by ID","Bank User","",""
"","91","Update organization details by ID - name already exists","QA|Nova Bank - Infopool","Sun May 25 15:27:07 GMT 2025","failed","Sun May 25 15:27:07 GMT 2025","v1 > Organizations > Update organization","Bank Admin","",""
"","81","No auth - Update role status","QA|Nova Bank - Infopool","Sun May 25 15:27:09 GMT 2025","passed","Sun May 25 15:27:09 GMT 2025","v1 > Roles > Update role","Bank Admin","",""
"","82","Update organization details by ID - empty name","QA|Nova Bank - Infopool","Sun May 25 15:27:07 GMT 2025","failed","Sun May 25 15:27:07 GMT 2025","v1 > Organizations > Update organization","Bank Admin","",""
"Update an existing report","78","Update Report","QA|Nova Bank - Infopool","Sun May 25 15:27:12 GMT 2025","passed","Sun May 25 15:27:12 GMT 2025","v1 > Report > Update Report","Bank Admin","",""
"Update an existing report","80","Update Report - No auth","QA|Nova Bank - Infopool","Sun May 25 15:27:12 GMT 2025","passed","Sun May 25 15:27:12 GMT 2025","v1 > Report > Update Report","Bank Admin","",""
"Get a paginated list of reports with optional filtering","80","Get Report Objects - No Auth","QA|Nova Bank - Infopool","Sun May 25 15:27:11 GMT 2025","passed","Sun May 25 15:27:11 GMT 2025","v1 > Report > Get Report Object","Bank Admin","",""
"","80","Fetch Customers Transactions","QA|Nova Bank - Infopool","Sun May 25 15:26:56 GMT 2025","failed","Sun May 25 15:26:56 GMT 2025","v1 > Customer 360 > Fetch customers transaction","Bank User","",""
"","81","No auth - Create  organization","QA|Nova Bank - Infopool","Sun May 25 15:26:59 GMT 2025","passed","Sun May 25 15:26:59 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","85","No user credentials","QA|Nova Bank - Infopool","Sun May 25 15:26:47 GMT 2025","passed","Sun May 25 15:26:47 GMT 2025","v1 > Auth > Session > Login","Bank User","",""
"","92","Invalid email format","QA|Nova Bank - Infopool","Sun May 25 15:26:47 GMT 2025","passed","Sun May 25 15:26:47 GMT 2025","v1 > Auth > Session > Login","Bank User","",""
